Ville;Latitude;Longitude;Date;weathercode;pictogramme;condition_meteo;temperature_2m_max;temperature_2m_min;apparent_temperature_max;apparent_temperature_min;sunrise;sunset;uv_index_max;uv_index_clear_sky_max;precipitation_sum;rain_sum;showers_sum;snowfall_sum;precipitation_hours;precipitation_probability_max;windspeed_10m_max;windgusts_10m_max;winddirection_10m_dominant;shortwave_radiation_sum
Manosque;43.8293;5.7896;28/05/2026;2;P8;Éclaircies;32.5;16.3;34.2;15.6;05:59;21:08;7.65;7.65;0.0;0.0;0.0;0.0;0.0;25;19.5;31.3;174;28.34
Manosque;43.8293;5.7896;29/05/2026;95;P10;Orageux;28.7;16.3;30.8;16.2;05:59;21:09;7.6;7.6;1.7;1.7;0.0;0.0;2.0;78;34.9;49.7;19;21.67
Manosque;43.8293;5.7896;30/05/2026;3;P4;Nuageux;29.9;15.6;32.6;15.7;05:58;21:10;7.3;7.65;0.08;0.0;0.08;0.0;1.0;23;14.8;26.2;294;24.71
Manosque;43.8293;5.7896;31/05/2026;80;P9;Averses;32.9;14.7;34.5;15.3;05:58;21:11;7.25;7.6;0.3;0.0;0.3;0.0;2.0;5;20.9;39.2;311;26.04
Manosque;43.8293;5.7896;01/06/2026;3;P4;Nuageux;31.8;16.3;32.0;16.8;05:57;21:11;7.15;7.65;0.0;0.0;0.0;0.0;0.0;1;17.4;34.6;299;27.96
Manosque;43.8293;5.7896;02/06/2026;3;P4;Nuageux;26.2;13.6;25.5;13.4;05:57;21:12;3.85;7.6;0.3;0.0;0.3;0.0;3.0;16;25.8;50.0;304;21.83
Manosque;43.8293;5.7896;03/06/2026;0;P1;Ensoleillé;25.6;16.1;21.5;13.9;05:56;21:13;7.35;7.35;0.0;0.0;0.0;0.0;0.0;18;31.2;61.6;316;29.92
Manosque;43.8293;5.7896;04/06/2026;63;P10;Pluie;23.2;10.4;22.2;8.7;05:56;21:14;7.35;7.4;17.4;14.4;2.7;0.0;9.0;7;9.2;24.1;292;13.11
Manosque;43.8293;5.7896;05/06/2026;63;P10;Pluie;22.1;14.4;20.7;14.1;05:55;21:14;7.4;7.4;24.9;8.7;16.2;0.0;9.0;15;18.6;48.6;264;28.72
Manosque;43.8293;5.7896;06/06/2026;51;P10;Pluie faible;21.6;11.8;21.4;11.5;05:55;21:15;7.2;7.4;0.6;0.0;0.6;0.0;6.0;9;12.5;36.0;264;26.82
Manosque;43.8293;5.7896;07/06/2026;61;P10;Pluie;22.0;12.9;20.2;9.5;05:55;21:16;7.25;7.35;11.4;0.6;10.8;0.0;6.0;4;25.3;57.6;162;25.74
