Ville;Latitude;Longitude;Date;Heure;temperature_2m;relativehumidity_2m;dewpoint_2m;apparent_temperature;precipitation_probability;precipitation;rain;showers;snowfall;snow_depth;weathercode;pictogramme;condition_meteo;pressure_msl;surface_pressure;cloudcover;cloudcover_low;cloudcover_mid;cloudcover_high;visibility;evapotranspiration;vapour_pressure_deficit;windspeed_10m;windgusts_10m;winddirection_10m;soil_temperature_0cm;soil_temperature_6cm;soil_temperature_18cm;soil_temperature_54cm;soil_moisture_0_1cm;soil_moisture_1_3cm;soil_moisture_3_9cm;soil_moisture_9_27cm;soil_moisture_27_81cm
Manosque;43.8293;5.7896;28/05/2026;00:00;20.8;65;13.9;21.7;0;0.0;0.0;0.0;0.0;0.0;2;P8;Éclaircies;1018.4;977.2;87;0;0;87;40160.0;0.01;0.86;2.3;9.7;18;17.6;22.2;23.3;18.3;0.099;0.116;0.145;0.185;0.248
Manosque;43.8293;5.7896;28/05/2026;01:00;19.0;69;13.1;19.0;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1018.7;977.2;5;0;0;5;38540.0;0.01;0.68;6.3;9.4;336;17.4;21.2;23.0;18.4;0.101;0.116;0.145;0.185;0.248
Manosque;43.8293;5.7896;28/05/2026;02:00;18.4;81;15.1;19.3;0;0.0;0.0;0.0;0.0;0.0;2;P8;Éclaircies;1018.2;976.6;1;0;0;1;31860.0;0.01;0.4;5.9;9.4;346;16.8;20.6;22.7;18.4;0.102;0.116;0.145;0.185;0.248
Manosque;43.8293;5.7896;28/05/2026;03:00;18.0;82;14.8;18.7;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1017.7;976.1;0;0;0;0;31060.0;-0.0;0.37;5.7;9.0;342;16.3;19.9;22.3;18.4;0.104;0.116;0.145;0.185;0.248
Manosque;43.8293;5.7896;28/05/2026;04:00;17.2;76;12.9;17.4;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1017.5;975.8;2;0;0;2;29000.0;0.01;0.47;5.4;9.4;340;15.4;19.3;22.0;18.4;0.105;0.116;0.145;0.185;0.248
Manosque;43.8293;5.7896;28/05/2026;05:00;16.5;71;11.2;15.8;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1016.8;975.0;0;0;0;0;36500.0;0.01;0.55;7.4;9.4;337;15.1;18.9;21.6;18.4;0.112;0.12;0.147;0.189;0.252
Manosque;43.8293;5.7896;28/05/2026;06:00;16.3;70;10.8;15.6;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1017.3;975.5;0;0;0;0;33300.0;0.01;0.56;7.0;11.5;339;14.7;18.3;21.3;18.4;0.113;0.12;0.147;0.189;0.252
Manosque;43.8293;5.7896;28/05/2026;07:00;17.3;71;12.0;17.2;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1017.7;976.0;0;0;0;0;28400.0;0.02;0.57;4.9;10.4;343;16.3;18.0;20.9;18.5;0.113;0.121;0.147;0.189;0.252
Manosque;43.8293;5.7896;28/05/2026;08:00;19.4;74;14.7;20.8;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1017.6;976.2;0;0;0;0;28640.0;0.03;0.59;1.1;6.8;342;21.8;18.7;20.6;18.5;0.114;0.121;0.147;0.189;0.252
Manosque;43.8293;5.7896;28/05/2026;09:00;21.8;70;16.0;23.5;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1017.7;976.6;0;0;0;0;36360.0;0.12;0.78;2.3;5.0;141;25.4;20.3;20.4;18.5;0.113;0.121;0.146;0.189;0.252
Manosque;43.8293;5.7896;28/05/2026;10:00;24.7;59;16.1;26.4;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1017.9;977.2;0;0;0;0;40240.0;0.24;1.27;2.2;5.8;99;28.8;22.0;20.4;18.5;0.11;0.121;0.146;0.189;0.252
Manosque;43.8293;5.7896;28/05/2026;11:00;27.8;43;14.1;29.5;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1017.3;977.1;0;0;0;0;42620.0;0.34;2.13;3.6;6.8;90;32.3;24.1;20.6;18.5;0.107;0.12;0.145;0.188;0.252
Manosque;43.8293;5.7896;28/05/2026;12:00;29.9;35;12.8;32.1;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1017.1;977.1;0;0;0;0;44800.0;0.43;2.74;2.9;8.3;180;34.7;25.9;20.9;18.5;0.103;0.119;0.144;0.188;0.251
Manosque;43.8293;5.7896;28/05/2026;13:00;31.1;40;15.9;33.9;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1016.7;976.9;0;0;0;0;42900.0;0.45;2.71;8.6;15.8;213;37.6;27.5;21.3;18.5;0.098;0.118;0.144;0.187;0.251
Manosque;43.8293;5.7896;28/05/2026;14:00;32.1;39;16.4;34.2;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1016.2;976.5;4;2;0;2;42940.0;0.45;2.91;14.2;23.8;204;38.3;29.1;21.8;18.5;0.094;0.117;0.143;0.186;0.251
Manosque;43.8293;5.7896;28/05/2026;15:00;32.5;37;15.9;33.8;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1016.0;976.4;8;8;0;0;43580.0;0.43;3.07;16.9;21.6;196;37.3;29.9;22.3;18.5;0.09;0.116;0.142;0.185;0.25
Manosque;43.8293;5.7896;28/05/2026;16:00;32.3;36;15.3;32.4;5;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1015.7;976.1;2;2;0;0;43780.0;0.38;3.09;19.5;25.6;177;35.9;30.1;22.8;18.5;0.087;0.114;0.141;0.185;0.25
