Ville;Latitude;Longitude;Date;weathercode;pictogramme;condition_meteo;temperature_2m_max;temperature_2m_min;apparent_temperature_max;apparent_temperature_min;sunrise;sunset;uv_index_max;uv_index_clear_sky_max;precipitation_sum;rain_sum;showers_sum;snowfall_sum;precipitation_hours;precipitation_probability_max;windspeed_10m_max;windgusts_10m_max;winddirection_10m_dominant;shortwave_radiation_sum
Nice;43.7032;7.2528;28/05/2026;3;P4;Nuageux;25.2;20.5;28.7;23.0;05:54;21:02;7.55;7.55;0.0;0.0;0.0;0.0;0.0;3;10.8;19.8;104;22.4
Nice;43.7032;7.2528;29/05/2026;3;P4;Nuageux;25.6;20.9;28.8;23.1;05:53;21:02;7.3;7.45;0.0;0.0;0.0;0.0;0.0;5;9.5;18.4;184;23.99
Nice;43.7032;7.2528;30/05/2026;3;P4;Nuageux;28.1;21.8;30.4;22.4;05:53;21:03;7.55;7.55;0.0;0.0;0.0;0.0;0.0;0;10.1;15.1;217;25.31
Nice;43.7032;7.2528;31/05/2026;3;P4;Nuageux;25.4;20.5;29.8;21.4;05:52;21:04;7.45;7.5;0.0;0.0;0.0;0.0;0.0;0;9.8;20.5;138;24.9
Nice;43.7032;7.2528;01/06/2026;3;P4;Nuageux;25.8;21.6;29.5;24.3;05:52;21:05;7.0;7.45;0.0;0.0;0.0;0.0;0.0;6;11.3;24.5;112;23.66
Nice;43.7032;7.2528;02/06/2026;3;P4;Nuageux;31.3;21.4;30.4;23.2;05:51;21:06;5.35;7.45;0.0;0.0;0.0;0.0;0.0;40;21.3;39.6;248;24.09
Nice;43.7032;7.2528;03/06/2026;1;P2;Éclaircies;26.4;20.2;28.5;19.1;05:51;21:07;7.05;7.15;0.0;0.0;0.0;0.0;0.0;40;11.8;24.5;108;27.13
Nice;43.7032;7.2528;04/06/2026;61;P10;Pluie;25.2;19.5;25.4;19.4;05:50;21:07;7.2;7.35;4.8;4.8;0.0;0.0;6.0;20;19.2;40.7;226;19.78
Nice;43.7032;7.2528;05/06/2026;63;P10;Pluie;26.9;17.6;25.3;18.2;05:50;21:08;7.3;7.3;18.0;4.95;13.05;0.0;9.0;20;24.3;55.8;242;25.66
Nice;43.7032;7.2528;06/06/2026;1;P2;Éclaircies;22.6;16.2;21.6;15.8;05:50;21:09;7.3;7.3;0.0;0.0;0.0;0.0;0.0;15;24.8;60.1;217;27.59
Nice;43.7032;7.2528;07/06/2026;51;P10;Pluie faible;22.5;15.7;24.4;15.7;05:49;21:10;7.1;7.3;1.2;0.6;0.6;0.0;6.0;6;14.2;39.6;96;28.0
