Ville;Latitude;Longitude;Date;Heure;temperature_2m;relativehumidity_2m;dewpoint_2m;apparent_temperature;precipitation_probability;precipitation;rain;showers;snowfall;snow_depth;weathercode;pictogramme;condition_meteo;pressure_msl;surface_pressure;cloudcover;cloudcover_low;cloudcover_mid;cloudcover_high;visibility;evapotranspiration;vapour_pressure_deficit;windspeed_10m;windgusts_10m;winddirection_10m;soil_temperature_0cm;soil_temperature_6cm;soil_temperature_18cm;soil_temperature_54cm;soil_moisture_0_1cm;soil_moisture_1_3cm;soil_moisture_3_9cm;soil_moisture_9_27cm;soil_moisture_27_81cm
Nice;43.7032;7.2528;28/05/2026;00:00;23.9;71;18.4;26.3;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1016.4;1013.0;44;0;27;21;37280.0;0.02;0.86;5.1;8.3;82;22.6;26.8;29.2;24.0;0.124;0.198;0.244;0.281;0.334
Nice;43.7032;7.2528;28/05/2026;01:00;23.3;73;18.2;25.6;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1016.8;1013.4;6;0;6;1;36300.0;0.03;0.77;5.4;9.4;90;22.3;26.1;28.8;24.0;0.127;0.197;0.244;0.281;0.334
Nice;43.7032;7.2528;28/05/2026;02:00;22.1;84;19.3;25.0;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1016.9;1013.5;0;0;0;0;27980.0;0.02;0.43;4.1;9.0;75;22.2;25.5;28.4;24.0;0.131;0.197;0.244;0.281;0.334
Nice;43.7032;7.2528;28/05/2026;03:00;21.6;87;19.3;24.6;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1016.4;1013.0;0;0;0;0;24760.0;0.02;0.34;3.7;7.2;61;21.9;24.9;28.0;24.1;0.134;0.196;0.243;0.281;0.334
Nice;43.7032;7.2528;28/05/2026;04:00;21.1;88;19.1;24.1;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1016.4;1013.0;0;0;0;0;21420.0;0.01;0.3;3.4;6.1;58;21.7;24.4;27.6;24.1;0.137;0.196;0.243;0.281;0.334
Nice;43.7032;7.2528;28/05/2026;05:00;20.8;88;18.7;23.5;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1015.9;1012.5;4;4;0;0;20460.0;0.01;0.29;4.1;6.5;45;21.4;23.9;27.3;24.1;0.172;0.211;0.249;0.285;0.34
Nice;43.7032;7.2528;28/05/2026;06:00;20.5;87;18.3;23.0;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1016.6;1013.2;8;8;0;0;20260.0;0.02;0.31;4.1;7.2;38;21.2;23.4;26.9;24.1;0.175;0.211;0.249;0.285;0.34
Nice;43.7032;7.2528;28/05/2026;07:00;20.6;85;18.0;23.0;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1017.1;1013.7;8;8;0;0;23240.0;0.02;0.37;3.9;7.2;22;21.7;23.2;26.5;24.1;0.178;0.21;0.249;0.285;0.34
Nice;43.7032;7.2528;28/05/2026;08:00;21.8;84;19.0;24.5;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1017.3;1013.9;60;47;20;0;26100.0;0.02;0.42;4.7;6.5;94;23.4;23.8;26.2;24.1;0.18;0.21;0.248;0.285;0.34
Nice;43.7032;7.2528;28/05/2026;09:00;22.3;83;19.3;24.8;0;0.0;0.0;0.0;0.0;0.0;2;P8;Éclaircies;1017.7;1014.3;56;46;18;0;25800.0;0.05;0.46;7.6;14.4;90;25.2;25.4;26.0;24.1;0.179;0.21;0.248;0.285;0.34
Nice;43.7032;7.2528;28/05/2026;10:00;22.8;82;19.6;25.0;0;0.0;0.0;0.0;0.0;0.0;2;P8;Éclaircies;1018.3;1014.9;55;44;27;0;26160.0;0.07;0.5;10.2;18.4;98;26.8;27.4;26.0;24.1;0.175;0.209;0.248;0.285;0.34
Nice;43.7032;7.2528;28/05/2026;11:00;23.5;76;19.0;25.7;0;0.0;0.0;0.0;0.0;0.0;2;P8;Éclaircies;1018.0;1014.6;33;0;33;0;31400.0;0.09;0.69;10.4;18.7;104;28.7;29.7;26.2;24.1;0.168;0.209;0.248;0.285;0.34
Nice;43.7032;7.2528;28/05/2026;12:00;23.9;74;19.0;27.0;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1018.5;1015.1;37;0;37;0;32620.0;0.11;0.77;9.9;19.8;109;29.9;31.7;26.5;24.1;0.16;0.208;0.247;0.285;0.34
Nice;43.7032;7.2528;28/05/2026;13:00;24.2;71;18.7;27.5;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1018.6;1015.2;37;0;37;0;34580.0;0.12;0.88;10.2;19.8;108;30.8;33.5;26.9;24.1;0.152;0.207;0.247;0.285;0.34
Nice;43.7032;7.2528;28/05/2026;14:00;24.5;71;18.9;28.0;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1018.3;1014.9;3;0;3;0;34480.0;0.12;0.89;10.8;19.4;127;31.3;34.8;27.4;24.1;0.144;0.206;0.247;0.285;0.34
Nice;43.7032;7.2528;28/05/2026;15:00;25.0;68;18.7;28.7;0;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1018.0;1014.6;100;0;11;100;36360.0;0.12;1.02;7.6;19.4;121;30.8;35.8;28.0;24.1;0.137;0.205;0.246;0.285;0.34
Nice;43.7032;7.2528;28/05/2026;16:00;25.2;65;18.2;27.1;0;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1017.3;1013.9;100;0;0;100;38020.0;0.1;1.12;8.2;16.6;128;29.1;35.4;28.5;24.2;0.133;0.204;0.246;0.285;0.34
Nice;43.7032;7.2528;28/05/2026;17:00;25.0;69;18.9;27.6;3;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1017.2;1013.8;100;0;3;100;36720.0;0.08;0.98;4.9;15.1;126;27.0;33.7;28.9;24.2;0.132;0.204;0.246;0.285;0.34
Nice;43.7032;7.2528;28/05/2026;18:00;24.7;70;18.9;27.2;0;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1017.2;1013.8;100;0;0;100;36620.0;0.06;0.93;5.4;11.2;138;26.0;32.2;29.1;24.2;0.132;0.203;0.246;0.285;0.34
Nice;43.7032;7.2528;28/05/2026;19:00;24.3;71;18.7;26.8;0;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1017.0;1013.6;100;0;0;100;36280.0;0.05;0.88;4.7;10.8;113;25.2;30.7;29.1;24.2;0.133;0.202;0.245;0.285;0.339
Nice;43.7032;7.2528;28/05/2026;20:00;23.5;76;19.0;26.5;0;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1017.4;1014.0;100;0;0;100;32980.0;0.04;0.69;2.8;9.0;140;24.0;29.2;29.0;24.3;0.135;0.201;0.245;0.285;0.339
Nice;43.7032;7.2528;28/05/2026;21:00;22.9;81;19.5;26.0;0;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1017.3;1013.9;100;0;0;100;28860.0;0.02;0.53;3.1;7.2;144;23.1;27.8;28.8;24.3;0.138;0.201;0.245;0.285;0.339
Nice;43.7032;7.2528;28/05/2026;22:00;22.5;86;20.0;26.1;0;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1017.4;1014.0;100;0;0;100;25100.0;0.01;0.38;1.8;5.4;191;22.7;26.7;28.6;24.3;0.141;0.2;0.245;0.285;0.339
Nice;43.7032;7.2528;28/05/2026;23:00;22.1;90;20.4;25.7;3;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1017.8;1014.4;0;0;0;0;19640.0;0.01;0.27;3.8;6.8;131;22.3;25.8;28.3;24.3;0.144;0.2;0.244;0.285;0.339
Nice;43.7032;7.2528;29/05/2026;00:00;21.9;91;20.4;25.8;3;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1018.3;1014.9;10;10;0;0;17000.0;0.01;0.24;1.5;6.5;104;22.1;25.2;27.9;24.3;0.147;0.199;0.244;0.285;0.339
Nice;43.7032;7.2528;29/05/2026;01:00;21.6;92;20.2;25.1;0;0.0;0.0;0.0;0.0;0.0;2;P8;Éclaircies;1018.9;1015.5;19;19;0;0;16580.0;0.01;0.21;3.5;5.8;66;21.9;24.7;27.6;24.4;0.151;0.199;0.244;0.285;0.339
Nice;43.7032;7.2528;29/05/2026;02:00;21.3;93;20.2;24.7;0;0.0;0.0;0.0;0.0;0.0;2;P8;Éclaircies;1018.8;1015.4;37;0;37;0;15840.0;0.01;0.18;4.0;6.8;350;21.7;24.2;27.2;24.4;0.154;0.199;0.244;0.285;0.339
Nice;43.7032;7.2528;29/05/2026;03:00;21.3;93;20.1;24.7;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1018.6;1015.2;56;47;11;0;15380.0;0.01;0.18;3.3;6.8;13;21.6;23.8;26.9;24.4;0.157;0.199;0.244;0.285;0.339
Nice;43.7032;7.2528;29/05/2026;04:00;21.3;86;18.9;24.1;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1017.9;1014.5;22;0;22;0;25980.0;0.01;0.35;3.4;5.4;328;21.4;23.5;26.5;24.4;0.16;0.199;0.244;0.285;0.339
Nice;43.7032;7.2528;29/05/2026;05:00;21.2;83;18.2;24.0;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1017.9;1014.5;39;0;39;0;29120.0;0.01;0.43;1.5;5.0;45;21.2;23.1;26.2;24.4;0.163;0.198;0.243;0.285;0.339
Nice;43.7032;7.2528;29/05/2026;06:00;21.0;85;18.4;23.7;3;0.0;0.0;0.0;0.0;0.0;2;P8;Éclaircies;1018.7;1015.3;66;0;66;0;27400.0;0.01;0.37;2.9;4.7;83;21.2;22.8;25.9;24.4;0.165;0.198;0.243;0.285;0.339
Nice;43.7032;7.2528;29/05/2026;07:00;20.9;86;18.5;23.1;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1019.9;1016.5;19;14;7;0;25960.0;0.02;0.35;6.5;10.4;360;21.7;22.7;25.6;24.4;0.167;0.199;0.243;0.285;0.339
Nice;43.7032;7.2528;29/05/2026;08:00;21.9;79;18.1;24.4;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1020.1;1016.7;16;0;16;0;31520.0;0.03;0.55;3.1;11.9;21;23.4;23.4;25.3;24.4;0.168;0.199;0.243;0.285;0.339
Nice;43.7032;7.2528;29/05/2026;09:00;23.2;74;18.3;26.0;3;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1020.4;1017.0;10;0;10;0;34800.0;0.04;0.74;1.6;4.7;153;25.4;25.1;25.2;24.3;0.167;0.199;0.243;0.285;0.339
Nice;43.7032;7.2528;29/05/2026;10:00;23.0;78;19.0;25.7;3;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1020.9;1017.5;0;0;0;0;30620.0;0.06;0.62;5.2;10.1;155;27.5;27.4;25.3;24.3;0.163;0.199;0.242;0.285;0.339
Nice;43.7032;7.2528;29/05/2026;11:00;23.5;76;19.0;26.1;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1021.3;1017.9;0;0;0;0;31480.0;0.09;0.69;9.5;18.0;151;29.0;29.7;25.5;24.3;0.157;0.198;0.242;0.284;0.339
Nice;43.7032;7.2528;29/05/2026;12:00;23.8;73;18.7;27.3;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1021.6;1018.2;0;0;0;0;33540.0;0.11;0.8;7.4;18.4;151;30.5;31.9;25.9;24.3;0.149;0.198;0.242;0.284;0.339
Nice;43.7032;7.2528;29/05/2026;13:00;24.5;71;18.9;28.6;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1021.7;1018.3;0;0;0;0;34540.0;0.11;0.89;7.2;14.4;186;31.6;34.0;26.5;24.3;0.14;0.197;0.242;0.284;0.339
Nice;43.7032;7.2528;29/05/2026;14:00;24.8;70;19.0;28.8;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1021.2;1017.8;0;0;0;0;35500.0;0.12;0.94;9.2;17.3;191;32.0;35.5;27.1;24.3;0.132;0.197;0.241;0.284;0.339
Nice;43.7032;7.2528;29/05/2026;15:00;24.9;67;18.3;27.4;0;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1021.1;1017.7;100;0;0;100;37220.0;0.11;1.04;7.6;17.3;211;28.8;35.7;27.7;24.3;0.127;0.196;0.241;0.284;0.339
Nice;43.7032;7.2528;29/05/2026;16:00;25.1;65;18.1;27.1;3;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1021.1;1017.7;100;0;0;100;38100.0;0.08;1.12;7.0;15.5;201;28.8;34.1;28.2;24.4;0.125;0.195;0.241;0.284;0.339
Nice;43.7032;7.2528;29/05/2026;17:00;25.1;65;18.1;27.1;0;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1020.7;1017.3;100;0;0;100;38300.0;0.08;1.12;6.6;14.0;171;28.8;33.8;28.6;24.4;0.122;0.195;0.241;0.284;0.339
Nice;43.7032;7.2528;29/05/2026;18:00;25.5;62;17.7;27.5;5;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1020.5;1017.1;100;0;0;100;39340.0;0.08;1.24;5.3;12.2;208;28.1;33.4;28.9;24.4;0.12;0.194;0.24;0.284;0.339
Nice;43.7032;7.2528;29/05/2026;19:00;25.6;61;17.5;27.5;3;0.0;0.0;0.0;0.0;0.0;2;P8;Éclaircies;1020.5;1017.1;96;0;0;96;39720.0;0.07;1.28;5.2;10.8;214;26.8;32.6;29.1;24.4;0.119;0.194;0.24;0.284;0.339
Nice;43.7032;7.2528;29/05/2026;20:00;25.2;63;17.7;27.4;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1020.4;1017.0;37;0;0;37;39380.0;0.06;1.19;4.3;10.4;222;25.2;31.2;29.2;24.4;0.12;0.193;0.24;0.284;0.339
Nice;43.7032;7.2528;29/05/2026;21:00;24.7;68;18.4;27.3;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1020.6;1017.2;1;0;0;1;38240.0;0.04;1.0;3.1;8.3;234;23.8;29.4;29.2;24.5;0.121;0.193;0.24;0.284;0.339
Nice;43.7032;7.2528;29/05/2026;22:00;24.0;74;19.1;27.1;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1020.8;1017.4;0;0;0;0;35700.0;0.02;0.78;2.8;5.0;320;23.2;27.9;29.0;24.5;0.124;0.192;0.24;0.284;0.339
Nice;43.7032;7.2528;29/05/2026;23:00;23.0;81;19.6;25.9;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1021.1;1017.7;0;0;0;0;30920.0;0.02;0.54;5.4;9.0;340;22.7;26.8;28.7;24.5;0.126;0.192;0.239;0.284;0.339
Nice;43.7032;7.2528;30/05/2026;00:00;22.8;79;19.0;25.3;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1021.0;1017.6;0;0;0;0;32140.0;0.02;0.58;5.9;10.1;346;22.3;25.9;28.4;24.5;0.129;0.191;0.239;0.284;0.339
Nice;43.7032;7.2528;30/05/2026;01:00;22.7;79;18.9;25.1;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1020.8;1017.4;0;0;0;0;32820.0;0.03;0.58;6.2;10.4;350;22.0;25.2;28.1;24.6;0.132;0.191;0.239;0.284;0.339
Nice;43.7032;7.2528;30/05/2026;02:00;22.6;80;19.0;25.0;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1020.4;1017.0;0;0;0;0;32240.0;0.03;0.55;6.6;11.2;351;21.9;24.6;27.7;24.6;0.134;0.191;0.239;0.284;0.339
Nice;43.7032;7.2528;30/05/2026;03:00;22.5;80;18.9;24.8;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1020.2;1016.8;0;0;0;0;32160.0;0.03;0.54;6.9;11.9;351;21.7;24.2;27.3;24.6;0.137;0.191;0.239;0.284;0.339
Nice;43.7032;7.2528;30/05/2026;04:00;22.4;74;17.6;24.2;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1020.0;1016.6;0;0;0;0;36120.0;0.04;0.71;6.8;11.9;357;21.5;23.8;27.0;24.6;0.14;0.19;0.239;0.284;0.339
Nice;43.7032;7.2528;30/05/2026;05:00;22.2;67;15.8;23.2;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1019.9;1016.5;0;0;0;0;38860.0;0.05;0.88;6.9;11.5;354;21.3;23.4;26.6;24.6;0.142;0.19;0.239;0.284;0.339
Nice;43.7032;7.2528;30/05/2026;06:00;21.8;65;15.0;22.4;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1020.0;1016.6;0;0;0;0;39340.0;0.05;0.92;7.3;11.9;351;21.1;23.0;26.3;24.6;0.143;0.19;0.239;0.284;0.339
Nice;43.7032;7.2528;30/05/2026;07:00;22.1;64;15.0;22.8;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1020.3;1016.9;0;0;0;0;39640.0;0.05;0.96;6.9;11.9;351;21.8;22.9;26.0;24.6;0.145;0.19;0.238;0.284;0.339
Nice;43.7032;7.2528;30/05/2026;08:00;23.8;58;15.0;24.7;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1020.4;1017.0;0;0;0;0;40580.0;0.07;1.24;5.4;11.5;356;23.8;23.7;25.7;24.6;0.145;0.19;0.238;0.284;0.338
Nice;43.7032;7.2528;30/05/2026;09:00;25.7;47;13.6;26.3;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1020.5;1017.1;0;0;0;0;42000.0;0.08;1.75;4.3;9.4;5;26.4;25.7;25.6;24.6;0.143;0.19;0.238;0.284;0.338
Nice;43.7032;7.2528;30/05/2026;10:00;27.2;42;13.2;28.2;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1020.3;1016.9;0;0;0;0;42680.0;0.09;2.1;0.7;7.9;90;28.5;28.5;25.7;24.5;0.138;0.189;0.238;0.284;0.338
Nice;43.7032;7.2528;30/05/2026;11:00;28.0;43;14.3;29.5;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1020.3;1017.0;0;0;0;0;42560.0;0.1;2.16;5.4;10.4;172;30.8;31.1;26.0;24.5;0.132;0.189;0.238;0.283;0.338
Nice;43.7032;7.2528;30/05/2026;12:00;28.0;44;14.7;29.8;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1020.3;1017.0;0;0;0;0;42140.0;0.15;2.12;8.4;13.3;173;32.2;33.9;26.5;24.5;0.124;0.189;0.237;0.283;0.338
Nice;43.7032;7.2528;30/05/2026;13:00;28.1;45;15.1;30.2;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1020.1;1016.8;0;0;0;0;41860.0;0.16;2.1;10.0;12.6;165;33.0;36.0;27.1;24.5;0.116;0.188;0.237;0.283;0.338
