Ville;Latitude;Longitude;Date;weathercode;pictogramme;condition_meteo;temperature_2m_max;temperature_2m_min;apparent_temperature_max;apparent_temperature_min;sunrise;sunset;uv_index_max;uv_index_clear_sky_max;precipitation_sum;rain_sum;showers_sum;snowfall_sum;precipitation_hours;precipitation_probability_max;windspeed_10m_max;windgusts_10m_max;winddirection_10m_dominant;shortwave_radiation_sum
Bourg-en-Bresse;46.2;5.22;28/05/2026;1;P2;Éclaircies;31.2;15.8;30.2;15.5;05:53;21:19;7.25;7.25;0.0;0.0;0.0;0.0;0.0;0;24.6;52.9;3;28.15
Bourg-en-Bresse;46.2;5.22;29/05/2026;2;P8;Éclaircies;32.1;15.2;32.4;14.4;05:53;21:20;7.25;7.25;0.0;0.0;0.0;0.0;0.0;0;24.2;51.5;357;28.67
Bourg-en-Bresse;46.2;5.22;30/05/2026;3;P4;Nuageux;31.7;14.7;33.1;14.2;05:52;21:21;6.7;7.3;0.0;0.0;0.0;0.0;0.0;0;9.5;22.3;173;26.59
Bourg-en-Bresse;46.2;5.22;31/05/2026;80;P9;Averses;26.1;16.6;28.6;17.3;05:51;21:21;6.9;7.2;2.0;0.0;2.0;0.0;6.0;43;15.3;30.2;336;20.65
Bourg-en-Bresse;46.2;5.22;01/06/2026;3;P4;Nuageux;25.3;13.9;24.4;13.7;05:51;21:22;7.0;7.3;0.0;0.0;0.0;0.0;0.0;12;16.2;27.7;356;26.38
Bourg-en-Bresse;46.2;5.22;02/06/2026;95;P10;Orageux;21.0;15.0;22.0;14.8;05:50;21:23;5.75;7.2;11.85;3.45;8.25;0.0;12.0;74;13.0;38.9;220;15.52
Bourg-en-Bresse;46.2;5.22;03/06/2026;3;P4;Nuageux;22.4;14.0;21.1;13.8;05:50;21:24;6.75;6.95;0.3;0.0;0.3;0.0;3.0;75;10.4;20.2;258;20.45
Bourg-en-Bresse;46.2;5.22;04/06/2026;80;P9;Averses;20.9;15.7;18.4;15.0;05:49;21:25;6.35;7.05;11.7;9.3;2.4;0.0;9.0;48;22.6;39.2;175;9.49
Bourg-en-Bresse;46.2;5.22;05/06/2026;53;P10;Pluie faible;18.5;13.1;19.0;12.1;05:49;21:26;6.55;7.05;11.55;7.05;4.5;0.0;18.0;50;12.2;29.2;261;23.77
Bourg-en-Bresse;46.2;5.22;06/06/2026;53;P10;Pluie faible;18.6;11.6;18.9;11.3;05:48;21:27;6.7;7.0;5.7;1.5;4.2;0.0;21.0;33;8.5;34.6;150;24.99
Bourg-en-Bresse;46.2;5.22;07/06/2026;61;P10;Pluie;14.9;11.6;14.7;8.2;05:48;21:27;4.15;6.7;22.8;9.6;13.2;0.0;18.0;26;22.0;38.9;160;10.34
Bourg-en-Bresse;46.2;5.22;08/06/2026;61;P10;Pluie;14.4;10.4;13.9;7.1;05:47;21:28;6.8;6.85;19.8;9.6;10.2;0.0;18.0;20;23.0;48.6;202;5.21
Bourg-en-Bresse;46.2;5.22;09/06/2026;51;P10;Pluie faible;19.4;9.6;20.6;8.4;05:47;21:29;6.75;6.95;1.2;1.2;0.0;0.0;12.0;19;7.5;26.6;273;26.94
Bourg-en-Bresse;46.2;5.22;10/06/2026;61;P10;Pluie;16.4;12.7;15.5;12.6;05:47;21:29;7.05;7.05;15.6;1.2;14.4;0.0;18.0;21;15.4;40.0;222;17.21
Bourg-en-Bresse;46.2;5.22;11/06/2026;51;P10;Pluie faible;19.0;10.3;18.9;10.0;05:47;21:30;5.95;7.05;0.6;0.6;0.0;0.0;6.0;22;12.8;30.6;2;28.0
Bourg-en-Bresse;46.2;5.22;12/06/2026;3;P4;Nuageux;31.8;9.9;32.6;9.1;05:47;21:30;6.5;7.1;0.0;0.0;0.0;0.0;0.0;;11.7;26.3;184;26.6
Vichy;46.12;3.42;28/05/2026;1;P2;Éclaircies;32.4;14.2;32.6;14.0;06:01;21:26;7.5;7.5;0.0;0.0;0.0;0.0;0.0;0;16.6;36.4;41;28.44
Vichy;46.12;3.42;29/05/2026;3;P4;Nuageux;33.1;14.9;31.5;15.0;06:00;21:26;7.55;7.55;0.0;0.0;0.0;0.0;0.0;0;16.6;35.6;44;28.98
Vichy;46.12;3.42;30/05/2026;3;P4;Nuageux;33.5;14.8;33.5;14.1;05:59;21:27;6.7;7.6;0.0;0.0;0.0;0.0;0.0;5;8.7;19.1;122;26.59
Vichy;46.12;3.42;31/05/2026;3;P4;Nuageux;26.1;17.8;25.5;17.1;05:59;21:28;6.8;7.55;0.1;0.0;0.1;0.0;1.0;18;18.8;37.8;304;19.4
Vichy;46.12;3.42;01/06/2026;3;P4;Nuageux;26.4;12.8;26.0;12.3;05:58;21:29;7.6;7.6;0.0;0.0;0.0;0.0;0.0;5;8.7;16.9;341;22.69
Vichy;46.12;3.42;02/06/2026;80;P9;Averses;22.7;16.0;20.6;14.7;05:58;21:30;4.65;7.45;6.9;4.8;1.95;0.0;9.0;59;26.9;56.5;263;17.48
Vichy;46.12;3.42;03/06/2026;61;P10;Pluie;22.1;12.6;19.5;11.8;05:57;21:31;6.8;7.25;0.3;0.3;0.0;0.0;3.0;59;18.7;36.4;264;15.11
Vichy;46.12;3.42;04/06/2026;80;P9;Averses;20.8;14.0;18.2;12.7;05:57;21:32;5.85;7.3;2.4;1.2;1.2;0.0;9.0;36;22.7;49.3;212;9.96
Vichy;46.12;3.42;05/06/2026;53;P10;Pluie faible;19.4;11.9;17.8;9.9;05:56;21:33;5.95;7.35;6.15;1.2;4.95;0.0;21.0;41;15.3;37.4;244;23.97
Vichy;46.12;3.42;06/06/2026;53;P10;Pluie faible;18.0;10.4;17.6;8.8;05:56;21:33;5.65;7.3;4.2;0.6;3.6;0.0;12.0;42;10.5;36.7;205;24.52
Vichy;46.12;3.42;07/06/2026;61;P10;Pluie;14.6;10.1;12.0;7.8;05:55;21:34;2.65;7.05;17.7;2.1;15.6;0.0;21.0;32;24.3;55.1;231;12.32
Vichy;46.12;3.42;08/06/2026;53;P10;Pluie faible;18.0;10.1;16.5;6.5;05:55;21:35;6.7;7.15;4.5;2.1;2.4;0.0;15.0;23;23.5;50.0;266;19.74
Vichy;46.12;3.42;09/06/2026;51;P10;Pluie faible;18.8;10.9;18.8;9.5;05:55;21:35;5.95;7.2;0.3;0.3;0.0;0.0;3.0;20;9.9;26.6;240;24.74
Vichy;46.12;3.42;10/06/2026;53;P10;Pluie faible;17.2;11.6;16.3;11.1;05:54;21:36;7.25;7.35;9.9;2.7;7.2;0.0;21.0;24;13.8;46.4;258;16.05
Vichy;46.12;3.42;11/06/2026;51;P10;Pluie faible;19.0;9.8;18.9;8.9;05:54;21:37;6.3;7.3;0.6;0.0;0.6;0.0;6.0;18;9.9;28.4;340;25.54
Vichy;46.12;3.42;12/06/2026;1;P2;Éclaircies;35.8;9.9;36.7;9.0;05:54;21:37;7.35;7.35;0.0;0.0;0.0;0.0;0.0;;24.5;26.6;302;29.24
Montluçon;46.34;2.6;28/05/2026;45;brouillards;Brouillard;32.4;12.2;33.6;11.8;06:03;21:30;7.5;7.5;0.0;0.0;0.0;0.0;0.0;0;10.5;25.9;90;28.84
Montluçon;46.34;2.6;29/05/2026;45;brouillards;Brouillard;32.7;12.1;32.9;11.8;06:02;21:31;7.55;7.55;0.0;0.0;0.0;0.0;0.0;0;11.5;28.4;100;29.01
Montluçon;46.34;2.6;30/05/2026;45;brouillards;Brouillard;33.8;12.8;34.7;12.6;06:02;21:32;7.25;7.55;0.0;0.0;0.0;0.0;0.0;3;11.3;25.6;199;26.86
Montluçon;46.34;2.6;31/05/2026;3;P4;Nuageux;26.3;17.0;25.4;17.0;06:01;21:33;6.5;7.5;0.0;0.0;0.0;0.0;0.0;8;17.9;36.0;275;17.51
Montluçon;46.34;2.6;01/06/2026;3;P4;Nuageux;26.4;10.9;25.9;10.2;06:01;21:33;7.1;7.6;0.0;0.0;0.0;0.0;0.0;5;13.4;29.5;251;21.65
Montluçon;46.34;2.6;02/06/2026;80;P9;Averses;22.5;14.9;18.6;13.6;06:00;21:34;5.55;7.3;5.1;3.3;1.8;0.0;6.0;68;31.3;61.9;253;18.16
Montluçon;46.34;2.6;03/06/2026;61;P10;Pluie;20.5;13.2;17.0;11.4;05:59;21:35;5.5;7.25;0.6;0.6;0.0;0.0;3.0;36;26.7;48.2;247;13.85
Montluçon;46.34;2.6;04/06/2026;3;P4;Nuageux;22.9;15.2;18.3;12.6;05:59;21:36;5.3;7.2;2.4;0.9;0.9;0.0;6.0;33;33.5;62.3;237;16.71
Montluçon;46.34;2.6;05/06/2026;51;P10;Pluie faible;19.0;11.8;16.1;9.3;05:58;21:37;5.6;7.3;1.95;0.75;1.2;0.0;15.0;46;20.3;48.6;252;23.68
Montluçon;46.34;2.6;06/06/2026;3;P4;Nuageux;18.9;10.8;16.6;8.2;05:58;21:38;4.2;7.2;0.0;0.0;0.0;0.0;0.0;37;19.1;46.4;229;26.66
Montluçon;46.34;2.6;07/06/2026;61;P10;Pluie;15.0;10.6;12.0;7.1;05:58;21:38;5.1;7.0;14.1;4.8;9.3;0.0;21.0;21;28.2;66.2;231;14.34
Montluçon;46.34;2.6;08/06/2026;53;P10;Pluie faible;17.5;9.9;14.4;5.8;05:57;21:39;6.4;7.1;5.7;3.6;2.1;0.0;15.0;16;27.6;59.8;271;23.01
Montluçon;46.34;2.6;09/06/2026;51;P10;Pluie faible;18.6;10.6;16.6;8.6;05:57;21:40;4.8;7.15;0.3;0.3;0.0;0.0;3.0;25;13.6;36.0;242;20.03
Montluçon;46.34;2.6;10/06/2026;53;P10;Pluie faible;17.6;12.3;15.3;11.4;05:57;21:40;7.25;7.35;6.9;0.9;6.0;0.0;15.0;22;21.4;49.3;256;17.88
Montluçon;46.34;2.6;11/06/2026;3;P4;Nuageux;19.8;9.5;19.6;8.5;05:57;21:41;4.75;7.25;0.0;0.0;0.0;0.0;0.0;20;10.3;33.5;343;26.63
Montluçon;46.34;2.6;12/06/2026;2;P8;Éclaircies;33.9;11.1;33.6;10.2;05:56;21:41;7.2;7.35;0.0;0.0;0.0;0.0;0.0;;19.0;28.1;287;28.98
Moulins;46.56;3.33;28/05/2026;2;P8;Éclaircies;32.8;14.6;32.8;14.5;05:59;21:27;7.45;7.45;0.0;0.0;0.0;0.0;0.0;0;14.6;39.2;15;28.1
