Ville;Latitude;Longitude;Date;weathercode;pictogramme;condition_meteo;temperature_2m_max;temperature_2m_min;apparent_temperature_max;apparent_temperature_min;sunrise;sunset;uv_index_max;uv_index_clear_sky_max;precipitation_sum;rain_sum;showers_sum;snowfall_sum;precipitation_hours;precipitation_probability_max;windspeed_10m_max;windgusts_10m_max;winddirection_10m_dominant;shortwave_radiation_sum
Châtillon-sur-Seine;47.86;4.57;28/05/2026;2;P8;Éclaircies;31.7;14.5;31.5;14.8;05:49;21:28;7.1;7.3;0.0;0.0;0.0;0.0;0.0;0;19.9;33.8;57;28.16
Châtillon-sur-Seine;47.86;4.57;29/05/2026;3;P4;Nuageux;32.8;13.1;32.8;13.3;05:49;21:29;7.3;7.3;0.0;0.0;0.0;0.0;0.0;0;15.6;26.3;53;28.38
Châtillon-sur-Seine;47.86;4.57;30/05/2026;3;P4;Nuageux;33.9;14.4;33.6;14.0;05:48;21:30;6.8;7.35;0.0;0.0;0.0;0.0;0.0;5;9.3;15.8;191;26.19
Châtillon-sur-Seine;47.86;4.57;31/05/2026;3;P4;Nuageux;25.5;17.9;23.8;17.6;05:47;21:31;5.3;7.15;0.0;0.0;0.0;0.0;0.0;13;21.1;37.4;281;23.94
Châtillon-sur-Seine;47.86;4.57;01/06/2026;3;P4;Nuageux;24.3;12.6;23.6;12.5;05:46;21:32;5.85;7.35;0.0;0.0;0.0;0.0;0.0;5;12.7;24.5;260;18.63
Châtillon-sur-Seine;47.86;4.57;02/06/2026;80;P9;Averses;21.2;15.5;18.5;14.3;05:46;21:33;4.95;7.1;6.9;4.8;1.8;0.0;9.0;77;25.2;56.9;239;14.32
Châtillon-sur-Seine;47.86;4.57;03/06/2026;80;P9;Averses;21.5;13.3;17.9;10.9;05:45;21:34;6.4;7.05;1.5;0.0;1.5;0.0;9.0;69;23.7;44.3;245;17.93
Châtillon-sur-Seine;47.86;4.57;04/06/2026;95;P10;Orageux;22.7;14.1;18.7;12.6;05:45;21:34;2.45;6.9;2.1;0.0;2.1;0.0;6.0;44;28.9;56.5;230;13.96
Châtillon-sur-Seine;47.86;4.57;05/06/2026;51;P10;Pluie faible;16.6;12.3;14.1;10.2;05:44;21:35;5.0;7.1;3.6;0.6;3.0;0.0;18.0;54;18.6;39.2;253;18.57
Châtillon-sur-Seine;47.86;4.57;06/06/2026;51;P10;Pluie faible;16.0;10.7;14.4;8.7;05:44;21:36;6.8;7.15;1.8;0.6;1.2;0.0;12.0;47;14.7;37.4;228;22.28
Châtillon-sur-Seine;47.86;4.57;07/06/2026;61;P10;Pluie;14.3;9.4;13.6;7.3;05:43;21:37;2.3;6.85;14.1;4.2;9.9;0.0;15.0;26;22.1;50.0;143;13.25
Châtillon-sur-Seine;47.86;4.57;08/06/2026;61;P10;Pluie;14.7;9.4;13.5;6.1;05:43;21:38;6.6;6.85;23.7;10.5;13.2;0.0;24.0;24;28.0;55.4;262;7.48
Châtillon-sur-Seine;47.86;4.57;09/06/2026;51;P10;Pluie faible;15.4;10.2;14.5;8.4;05:43;21:38;6.9;7.0;2.4;0.9;1.5;0.0;18.0;29;12.8;33.1;244;14.05
Châtillon-sur-Seine;47.86;4.57;10/06/2026;61;P10;Pluie;13.9;10.1;14.4;8.7;05:42;21:39;7.05;7.1;15.6;4.2;11.4;0.0;21.0;33;11.3;34.2;255;9.19
Châtillon-sur-Seine;47.86;4.57;11/06/2026;51;P10;Pluie faible;18.0;8.6;18.3;7.0;05:42;21:40;5.7;7.1;0.6;0.6;0.0;0.0;6.0;25;8.3;27.0;275;26.8
Châtillon-sur-Seine;47.86;4.57;12/06/2026;2;P8;Éclaircies;29.9;10.1;30.7;8.9;05:42;21:40;6.45;7.15;0.0;0.0;0.0;0.0;0.0;;16.2;21.6;181;26.69
Dijon;47.32;5.04;28/05/2026;1;P2;Éclaircies;31.2;19.1;31.3;18.8;05:50;21:24;7.15;7.25;0.0;0.0;0.0;0.0;0.0;0;14.9;35.6;30;28.51
Dijon;47.32;5.04;29/05/2026;3;P4;Nuageux;32.0;18.0;31.0;17.6;05:49;21:25;7.25;7.25;0.0;0.0;0.0;0.0;0.0;0;11.8;28.4;33;28.8
Dijon;47.32;5.04;30/05/2026;3;P4;Nuageux;32.5;18.6;32.1;18.2;05:48;21:26;6.65;7.3;0.0;0.0;0.0;0.0;0.0;3;6.9;16.0;122;25.71
Dijon;47.32;5.04;31/05/2026;96;P10;Orageux;26.9;17.6;26.3;17.7;05:47;21:27;6.25;7.2;4.2;0.0;4.2;0.0;3.0;15;18.0;39.6;287;23.35
Dijon;47.32;5.04;01/06/2026;3;P4;Nuageux;25.1;14.7;24.7;14.3;05:47;21:28;6.9;7.3;0.0;0.0;0.0;0.0;0.0;3;10.0;24.1;291;21.01
Dijon;47.32;5.04;02/06/2026;3;P4;Nuageux;21.2;16.2;19.7;16.0;05:46;21:29;5.7;7.2;6.6;6.15;0.45;0.0;6.0;64;28.5;57.2;258;15.75
Dijon;47.32;5.04;03/06/2026;3;P4;Nuageux;21.8;13.4;18.1;11.0;05:46;21:29;5.65;6.95;0.0;0.0;0.0;0.0;0.0;57;22.9;46.1;257;21.47
Dijon;47.32;5.04;04/06/2026;80;P9;Averses;21.7;15.2;17.7;13.4;05:45;21:30;4.1;6.95;3.6;1.8;1.8;0.0;9.0;36;28.0;59.4;228;14.1
Dijon;47.32;5.04;05/06/2026;51;P10;Pluie faible;18.5;12.9;16.3;11.4;05:45;21:31;5.65;7.05;2.4;1.2;1.2;0.0;18.0;41;15.3;40.3;257;21.51
Dijon;47.32;5.04;06/06/2026;51;P10;Pluie faible;17.9;11.6;15.7;9.9;05:44;21:32;7.05;7.05;1.8;0.6;1.2;0.0;6.0;41;12.4;39.6;234;22.38
Dijon;47.32;5.04;07/06/2026;61;P10;Pluie;14.8;10.9;14.2;8.6;05:44;21:33;2.25;6.75;17.4;4.2;13.2;0.0;12.0;27;17.8;41.4;182;14.18
Dijon;47.32;5.04;08/06/2026;55;P10;Pluie faible;13.6;9.9;12.6;5.9;05:44;21:33;5.5;6.8;13.8;7.2;6.6;0.0;18.0;20;29.0;64.4;263;7.69
Dijon;47.32;5.04;09/06/2026;51;P10;Pluie faible;18.0;10.2;16.9;8.8;05:43;21:34;4.5;6.9;1.8;1.2;0.6;0.0;9.0;22;10.9;28.4;245;22.04
Dijon;47.32;5.04;10/06/2026;53;P10;Pluie faible;13.7;11.3;13.6;9.3;05:43;21:35;7.05;7.05;12.0;3.6;8.4;0.0;21.0;25;17.6;39.2;259;12.78
Dijon;47.32;5.04;11/06/2026;51;P10;Pluie faible;18.4;9.4;18.6;8.1;05:43;21:35;6.55;7.05;0.6;0.0;0.6;0.0;6.0;20;10.3;38.5;316;25.84
Dijon;47.32;5.04;12/06/2026;3;P4;Nuageux;32.4;11.3;33.1;9.9;05:43;21:36;6.35;7.1;0.0;0.0;0.0;0.0;0.0;;13.2;22.1;342;26.58
Pouilly-en-Auxois;47.25;4.55;28/05/2026;2;P8;Éclaircies;29.7;16.3;29.8;15.6;05:52;21:25;7.4;7.4;0.0;0.0;0.0;0.0;0.0;0;19.3;29.9;39;28.43
Pouilly-en-Auxois;47.25;4.55;29/05/2026;3;P4;Nuageux;30.6;17.2;29.4;16.1;05:51;21:26;7.4;7.4;0.0;0.0;0.0;0.0;0.0;0;16.3;26.3;64;29.14
