Ville;Latitude;Longitude;Date;weathercode;pictogramme;condition_meteo;temperature_2m_max;temperature_2m_min;apparent_temperature_max;apparent_temperature_min;sunrise;sunset;uv_index_max;uv_index_clear_sky_max;precipitation_sum;rain_sum;showers_sum;snowfall_sum;precipitation_hours;precipitation_probability_max;windspeed_10m_max;windgusts_10m_max;winddirection_10m_dominant;shortwave_radiation_sum
Marseille;43.2803;5.3806;28/05/2026;3;P4;Nuageux;29.2;20.3;29.6;22.0;06:03;21:08;7.75;7.75;0.0;0.0;0.0;0.0;0.0;0;13.5;30.6;209;28.41
Marseille;43.2803;5.3806;29/05/2026;3;P4;Nuageux;29.3;20.6;28.9;23.3;06:02;21:09;7.75;7.75;0.0;0.0;0.0;0.0;0.0;35;16.8;35.6;211;27.36
Marseille;43.2803;5.3806;30/05/2026;3;P4;Nuageux;28.6;21.4;28.1;23.0;06:02;21:09;7.55;7.75;0.0;0.0;0.0;0.0;0.0;10;15.3;30.6;245;26.77
Marseille;43.2803;5.3806;31/05/2026;2;P8;Éclaircies;29.9;22.5;31.1;22.7;06:01;21:10;7.7;7.7;0.0;0.0;0.0;0.0;0.0;8;13.4;24.1;235;28.52
Marseille;43.2803;5.3806;01/06/2026;3;P4;Nuageux;33.2;21.8;31.8;22.2;06:01;21:11;7.3;7.75;0.0;0.0;0.0;0.0;0.0;3;24.9;47.5;285;28.58
Marseille;43.2803;5.3806;02/06/2026;80;P9;Averses;23.4;19.6;26.2;20.2;06:00;21:12;4.05;7.75;4.2;1.5;2.7;0.0;6.0;16;20.6;42.8;180;21.32
Marseille;43.2803;5.3806;03/06/2026;2;P8;Éclaircies;22.9;18.9;22.4;16.4;06:00;21:13;7.35;7.45;0.0;0.0;0.0;0.0;0.0;18;24.8;60.1;285;29.8
Marseille;43.2803;5.3806;04/06/2026;63;P10;Pluie;23.0;18.2;25.1;19.5;05:59;21:13;7.55;7.5;8.7;3.9;4.8;0.0;9.0;9;21.8;54.7;151;25.83
Marseille;43.2803;5.3806;05/06/2026;63;P10;Pluie;21.1;16.9;19.8;15.1;05:59;21:14;7.5;7.5;11.7;4.5;7.2;0.0;9.0;10;22.4;57.6;286;28.67
Marseille;43.2803;5.3806;06/06/2026;51;P10;Pluie faible;19.9;16.3;21.5;15.6;05:59;21:15;6.85;7.5;1.2;0.3;0.9;0.0;3.0;16;16.7;50.8;243;26.04
Marseille;43.2803;5.3806;07/06/2026;51;P10;Pluie faible;19.9;16.0;19.3;11.4;05:58;21:16;6.45;7.45;4.2;1.5;2.7;0.0;15.0;13;31.1;69.5;131;23.04
Marseille;43.2803;5.3806;08/06/2026;1;P2;Éclaircies;20.9;14.1;17.6;9.5;05:58;21:16;7.35;7.45;0.0;0.0;0.0;0.0;0.0;16;29.8;70.6;302;25.92
Marseille;43.2803;5.3806;09/06/2026;3;P4;Nuageux;20.8;14.9;21.5;12.7;05:58;21:17;7.5;7.5;0.0;0.0;0.0;0.0;0.0;12;16.6;47.9;287;29.57
