Ville;Latitude;Longitude;Date;Heure;temperature_2m;relativehumidity_2m;dewpoint_2m;apparent_temperature;precipitation_probability;precipitation;rain;showers;snowfall;snow_depth;weathercode;pictogramme;condition_meteo;pressure_msl;surface_pressure;cloudcover;cloudcover_low;cloudcover_mid;cloudcover_high;visibility;evapotranspiration;vapour_pressure_deficit;windspeed_10m;windgusts_10m;winddirection_10m;soil_temperature_0cm;soil_temperature_6cm;soil_temperature_18cm;soil_temperature_54cm;soil_moisture_0_1cm;soil_moisture_1_3cm;soil_moisture_3_9cm;soil_moisture_9_27cm;soil_moisture_27_81cm
Lannion;48.73;-3.46;28/05/2026;00:00;19.1;86;16.7;21.0;0;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1019.8;1019.3;100;0;100;0;34200.0;0.01;0.31;7.6;8.6;188;19.2;21.2;22.8;17.2;0.185;0.187;0.194;0.199;0.224
Lannion;48.73;-3.46;28/05/2026;01:00;18.4;89;16.6;20.6;0;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1020.9;1020.4;100;0;95;0;34200.0;0.01;0.23;5.6;11.9;135;18.8;20.5;22.4;17.3;0.186;0.187;0.194;0.199;0.224
Lannion;48.73;-3.46;28/05/2026;02:00;18.6;87;16.4;20.0;0;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1020.0;1019.5;100;0;0;0;34200.0;-0.0;0.28;8.2;5.0;142;17.5;20.3;22.0;17.3;0.17;0.171;0.18;0.201;0.225
Lannion;48.73;-3.46;28/05/2026;03:00;18.5;85;16.0;21.0;0;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1019.5;1019.0;100;0;34;93;30160.0;-0.0;0.32;7.4;6.5;157;17.9;19.8;21.7;17.3;0.17;0.172;0.18;0.201;0.225
Lannion;48.73;-3.46;28/05/2026;04:00;20.6;67;14.3;21.0;0;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1019.6;1019.1;97;0;100;0;37580.0;-0.0;0.8;7.8;3.6;193;19.0;19.3;21.3;17.4;0.171;0.172;0.18;0.201;0.225
Lannion;48.73;-3.46;28/05/2026;05:00;20.0;77;15.9;21.3;3;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1019.5;1019.0;0;0;89;0;37580.0;0.01;0.54;6.9;8.3;141;18.2;19.1;20.9;17.4;0.171;0.173;0.18;0.201;0.225
Lannion;48.73;-3.46;28/05/2026;06:00;19.3;81;16.0;21.0;0;0.0;0.0;0.0;0.0;0.0;2;P8;Éclaircies;1019.3;1018.8;73;0;95;0;37580.0;0.02;0.43;4.5;7.6;151;17.9;19.0;20.6;17.4;0.171;0.173;0.18;0.201;0.225
Lannion;48.73;-3.46;28/05/2026;07:00;19.7;76;15.4;20.8;0;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1018.4;1017.9;100;0;100;100;40680.0;0.03;0.55;6.5;16.9;183;18.3;19.0;20.3;17.4;0.171;0.173;0.18;0.201;0.225
Lannion;48.73;-3.46;28/05/2026;08:00;20.7;70;15.0;21.7;3;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1019.6;1019.1;100;0;100;100;40680.0;0.03;0.73;3.8;9.7;131;21.0;19.1;20.1;17.4;0.171;0.173;0.18;0.201;0.225
Lannion;48.73;-3.46;28/05/2026;09:00;23.7;54;13.8;23.7;5;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1020.2;1019.7;100;0;100;100;37580.0;0.07;1.35;8.3;18.0;180;23.7;19.7;19.9;17.4;0.17;0.173;0.18;0.201;0.225
Lannion;48.73;-3.46;28/05/2026;10:00;25.2;50;14.0;25.8;5;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1020.2;1019.7;98;0;100;100;40680.0;0.1;1.6;9.0;23.8;203;26.4;21.0;19.9;17.4;0.17;0.173;0.18;0.2;0.225
Lannion;48.73;-3.46;28/05/2026;11:00;27.4;44;14.1;26.9;5;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1020.8;1020.3;100;0;100;100;44640.0;0.2;2.05;7.6;19.8;185;28.9;22.3;20.0;17.4;0.167;0.172;0.179;0.2;0.225
Lannion;48.73;-3.46;28/05/2026;12:00;29.5;36;12.9;28.0;3;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1020.2;1019.7;100;0;100;100;40680.0;0.32;2.64;11.8;22.3;192;29.0;23.4;20.2;17.5;0.163;0.17;0.179;0.2;0.225
Lannion;48.73;-3.46;28/05/2026;13:00;30.6;33;12.5;29.7;0;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1019.7;1019.2;100;0;100;19;44640.0;0.36;2.95;8.8;27.0;161;30.1;24.3;20.4;17.5;0.16;0.169;0.178;0.199;0.225
Lannion;48.73;-3.46;28/05/2026;14:00;32.2;29;11.9;31.2;0;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1020.0;1019.5;100;0;100;52;53300.0;0.39;3.41;15.1;30.6;179;34.0;25.4;20.7;17.5;0.156;0.167;0.177;0.198;0.225
Lannion;48.73;-3.46;28/05/2026;15:00;33.1;27;11.6;32.4;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1019.3;1018.8;3;0;0;0;53300.0;0.37;3.7;16.9;33.1;180;35.8;26.6;21.1;17.5;0.152;0.165;0.176;0.198;0.224
Lannion;48.73;-3.46;28/05/2026;16:00;29.4;42;15.2;29.5;0;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1020.3;1019.8;96;0;100;3;44640.0;0.38;2.38;2.2;31.0;351;33.2;27.6;21.5;17.5;0.147;0.162;0.176;0.197;0.224
Lannion;48.73;-3.46;28/05/2026;17:00;24.4;56;15.1;26.8;0;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1020.5;1020.0;100;0;100;48;40700.0;0.38;1.34;14.2;36.0;261;32.0;28.6;22.0;17.5;0.143;0.159;0.175;0.197;0.224
Lannion;48.73;-3.46;28/05/2026;18:00;25.2;57;16.1;23.3;0;0.0;0.0;0.0;0.0;0.0;2;P8;Éclaircies;1021.4;1020.9;78;0;0;37;37600.0;0.32;1.38;13.7;41.0;265;28.2;28.3;22.4;17.6;0.141;0.157;0.174;0.196;0.224
Lannion;48.73;-3.46;28/05/2026;19:00;21.7;71;16.2;22.9;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1021.3;1020.8;3;0;100;7;34220.0;0.21;0.75;9.0;29.5;286;25.2;26.9;22.8;17.6;0.142;0.156;0.173;0.196;0.224
Lannion;48.73;-3.46;28/05/2026;20:00;20.8;74;16.0;21.8;0;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1021.1;1020.6;99;0;100;8;34220.0;0.12;0.64;7.9;19.8;294;23.6;25.2;22.9;17.6;0.143;0.155;0.173;0.196;0.224
Lannion;48.73;-3.46;28/05/2026;21:00;18.8;82;15.7;19.2;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1021.3;1020.8;11;15;99;4;34220.0;0.06;0.39;10.9;24.8;287;21.0;23.6;22.8;17.7;0.145;0.154;0.172;0.195;0.223
Lannion;48.73;-3.46;28/05/2026;22:00;17.1;85;14.6;17.6;0;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1021.8;1021.3;100;62;19;23;30180.0;0.02;0.29;8.4;18.7;277;18.7;22.1;22.6;17.7;0.148;0.154;0.172;0.195;0.223
Lannion;48.73;-3.46;28/05/2026;23:00;17.0;85;14.5;17.3;0;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1022.8;1022.3;100;10;0;0;26520.0;0.01;0.29;3.7;10.4;281;18.5;20.8;22.4;17.7;0.15;0.155;0.172;0.195;0.223
Lannion;48.73;-3.46;29/05/2026;00:00;16.8;84;14.1;17.3;0;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1022.3;1021.8;100;8;1;0;21920.0;0.01;0.31;9.5;15.8;295;17.5;20.0;22.0;17.7;0.151;0.155;0.172;0.195;0.223
Lannion;48.73;-3.46;29/05/2026;01:00;16.5;84;13.9;17.0;3;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1022.1;1021.6;100;0;100;100;14920.0;0.01;0.29;6.0;13.1;327;16.0;19.4;21.6;17.8;0.152;0.156;0.172;0.195;0.223
Lannion;48.73;-3.46;29/05/2026;02:00;16.5;82;13.5;17.0;0;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1022.1;1021.6;100;0;100;100;14920.0;0.01;0.33;7.7;14.5;308;15.6;18.9;21.3;17.8;0.153;0.157;0.172;0.195;0.223
Lannion;48.73;-3.46;29/05/2026;03:00;16.4;82;13.4;15.8;0;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1022.3;1021.8;100;13;50;86;14920.0;0.01;0.33;9.8;19.2;317;15.1;18.4;20.9;17.8;0.154;0.157;0.171;0.195;0.223
Lannion;48.73;-3.46;29/05/2026;04:00;16.1;84;13.4;15.9;0;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1022.5;1022.0;100;3;25;75;14940.0;0.01;0.29;8.6;20.5;321;14.9;18.1;20.6;17.8;0.155;0.158;0.171;0.195;0.223
Lannion;48.73;-3.46;29/05/2026;05:00;15.9;87;13.7;15.9;0;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1022.7;1022.2;100;0;0;100;14940.0;0.01;0.24;8.1;17.3;315;14.4;17.9;20.2;17.8;0.156;0.159;0.171;0.195;0.223
Lannion;48.73;-3.46;29/05/2026;06:00;15.7;87;13.5;15.8;0;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1022.6;1022.1;100;0;100;100;14940.0;0.01;0.23;7.0;15.1;325;14.4;17.7;19.9;17.8;0.157;0.159;0.171;0.195;0.223
Lannion;48.73;-3.46;29/05/2026;07:00;15.8;87;13.7;16.1;0;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1023.0;1022.5;100;7;100;100;21940.0;0.01;0.23;6.6;13.3;319;14.7;17.4;19.6;17.8;0.157;0.16;0.171;0.195;0.223
Lannion;48.73;-3.46;29/05/2026;08:00;16.4;84;13.7;16.8;0;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1023.2;1022.7;100;9;100;100;26540.0;0.02;0.3;5.6;13.3;333;16.7;17.5;19.4;17.8;0.158;0.16;0.171;0.195;0.223
