Ville;Latitude;Longitude;Date;weathercode;pictogramme;condition_meteo;temperature_2m_max;temperature_2m_min;apparent_temperature_max;apparent_temperature_min;sunrise;sunset;uv_index_max;uv_index_clear_sky_max;precipitation_sum;rain_sum;showers_sum;snowfall_sum;precipitation_hours;precipitation_probability_max;windspeed_10m_max;windgusts_10m_max;winddirection_10m_dominant;shortwave_radiation_sum
LILLE;50.62;3.05;28/05/2026;3;P4;Nuageux;30.8;17.6;31.4;14.8;05:43;21:46;6.8;6.9;0.0;0.0;0.0;0.0;0.0;22;20.9;53.6;100;27.27
LILLE;50.62;3.05;29/05/2026;3;P4;Nuageux;32.7;21.4;33.5;21.3;05:43;21:47;6.6;7.0;0.0;0.0;0.0;0.0;0.0;15;17.6;46.4;193;19.08
LILLE;50.62;3.05;30/05/2026;3;P4;Nuageux;29.0;20.3;30.7;20.7;05:42;21:48;6.7;7.0;0.0;0.0;0.0;0.0;0.0;57;14.8;29.5;39;23.86
LILLE;50.62;3.05;31/05/2026;3;P4;Nuageux;24.1;16.5;23.0;14.7;05:41;21:49;6.4;6.95;0.05;0.03;0.03;0.0;1.0;37;22.9;50.4;269;20.98
LILLE;50.62;3.05;01/06/2026;3;P4;Nuageux;22.4;13.6;20.3;12.8;05:40;21:50;4.75;7.0;0.0;0.0;0.0;0.0;0.0;25;16.2;39.6;244;17.7
LILLE;50.62;3.05;02/06/2026;55;P10;Pluie faible;20.1;14.6;18.1;13.0;05:39;21:51;5.05;6.75;8.7;2.7;6.0;0.0;15.0;81;24.7;56.5;234;22.35
LILLE;50.62;3.05;03/06/2026;61;P10;Pluie;17.0;12.8;14.5;11.1;05:39;21:52;4.25;6.7;12.0;7.5;4.5;0.0;12.0;78;21.8;50.8;206;13.11
LILLE;50.62;3.05;04/06/2026;53;P10;Pluie faible;17.0;12.2;13.9;8.9;05:38;21:53;6.0;6.65;4.5;2.1;2.4;0.0;15.0;89;31.3;68.8;224;19.01
LILLE;50.62;3.05;05/06/2026;51;P10;Pluie faible;16.7;12.2;14.6;11.2;05:37;21:54;6.55;6.7;3.0;1.2;1.8;0.0;12.0;61;14.2;40.7;244;20.09
LILLE;50.62;3.05;06/06/2026;51;P10;Pluie faible;17.0;11.7;14.9;10.3;05:37;21:55;3.45;6.6;1.8;0.6;1.2;0.0;18.0;38;18.2;44.3;222;22.91
LILLE;50.62;3.05;07/06/2026;51;P10;Pluie faible;18.8;10.4;17.8;9.5;05:36;21:56;3.4;6.55;1.2;1.2;0.0;0.0;12.0;35;16.9;33.5;42;22.63
LILLE;50.62;3.05;08/06/2026;51;P10;Pluie faible;18.9;13.3;17.7;11.4;05:36;21:57;6.3;6.55;1.8;0.9;0.9;0.0;9.0;25;16.9;39.2;338;25.08
LILLE;50.62;3.05;09/06/2026;51;P10;Pluie faible;15.8;11.4;12.7;10.6;05:36;21:58;6.55;6.65;3.0;1.5;1.5;0.0;21.0;27;20.9;46.8;243;21.0
LILLE;50.62;3.05;10/06/2026;53;P10;Pluie faible;18.4;10.5;18.4;9.4;05:35;21:58;6.25;6.75;3.6;1.2;2.4;0.0;12.0;36;8.9;34.2;287;24.26
