Ville;Latitude;Longitude;Date;weathercode;pictogramme;condition_meteo;temperature_2m_max;temperature_2m_min;apparent_temperature_max;apparent_temperature_min;sunrise;sunset;uv_index_max;uv_index_clear_sky_max;precipitation_sum;rain_sum;showers_sum;snowfall_sum;precipitation_hours;precipitation_probability_max;windspeed_10m_max;windgusts_10m_max;winddirection_10m_dominant;shortwave_radiation_sum
Ajaccio;41.92;8.73;28/05/2026;0;P1;Ensoleillé;26.6;16.8;28.8;16.8;05:54;20:50;7.95;7.95;0.0;0.0;0.0;0.0;0.0;0;9.3;21.6;193;28.11
Ajaccio;41.92;8.73;29/05/2026;3;P4;Nuageux;27.7;17.5;29.8;17.8;05:53;20:51;7.85;7.85;0.0;0.0;0.0;0.0;0.0;8;10.1;23.4;289;26.88
Ajaccio;41.92;8.73;30/05/2026;3;P4;Nuageux;27.8;19.6;30.5;21.0;05:53;20:52;7.85;7.85;0.0;0.0;0.0;0.0;0.0;0;11.4;26.3;280;27.15
Ajaccio;41.92;8.73;31/05/2026;3;P4;Nuageux;26.9;19.1;29.8;21.2;05:52;20:52;7.9;7.9;0.0;0.0;0.0;0.0;0.0;0;12.6;28.4;224;27.94
Ajaccio;41.92;8.73;01/06/2026;3;P4;Nuageux;25.4;19.0;28.7;19.8;05:52;20:53;7.85;7.85;0.0;0.0;0.0;0.0;0.0;3;13.4;31.3;176;25.99
Ajaccio;41.92;8.73;02/06/2026;3;P4;Nuageux;25.0;17.6;27.5;17.6;05:51;20:54;7.95;7.95;0.0;0.0;0.0;0.0;0.0;10;12.0;24.9;193;21.65
Ajaccio;41.92;8.73;03/06/2026;3;P4;Nuageux;23.0;20.1;24.5;21.4;05:51;20:55;7.55;7.55;0.0;0.0;0.0;0.0;0.0;15;19.2;37.1;305;24.2
Ajaccio;41.92;8.73;04/06/2026;3;P4;Nuageux;24.9;19.0;26.7;19.6;05:50;20:55;7.65;7.65;0.0;0.0;0.0;0.0;0.0;12;11.2;25.9;251;22.4
Ajaccio;41.92;8.73;05/06/2026;61;P10;Pluie;22.8;16.4;24.2;16.3;05:50;20:56;7.7;7.7;7.05;2.1;4.95;0.0;9.0;24;13.5;43.6;209;24.78
Ajaccio;41.92;8.73;06/06/2026;0;P1;Ensoleillé;24.1;13.9;27.0;13.2;05:50;20:57;7.7;7.7;0.0;0.0;0.0;0.0;0.0;9;7.2;23.4;55;28.96
Ajaccio;41.92;8.73;07/06/2026;51;P10;Pluie faible;27.1;16.8;30.0;16.6;05:49;20:57;7.6;7.65;0.6;0.3;0.3;0.0;3.0;7;12.9;33.1;232;27.12
Ajaccio;41.92;8.73;08/06/2026;51;P10;Pluie faible;19.9;15.1;18.1;14.6;05:49;20:58;7.6;7.65;0.6;0.3;0.3;0.0;3.0;6;21.4;53.3;295;25.83
Ajaccio;41.92;8.73;09/06/2026;0;P1;Ensoleillé;22.0;12.8;23.0;11.8;05:49;20:59;7.65;7.65;0.0;0.0;0.0;0.0;0.0;2;13.4;35.6;195;29.67
Ajaccio;41.92;8.73;10/06/2026;3;P4;Nuageux;24.4;14.6;25.6;14.0;05:49;20:59;7.7;7.7;0.0;0.0;0.0;0.0;0.0;2;10.8;28.1;342;28.44
Ajaccio;41.92;8.73;11/06/2026;2;P8;Éclaircies;24.2;14.8;24.6;12.8;05:49;21:00;7.75;7.75;0.0;0.0;0.0;0.0;0.0;8;12.6;32.0;264;29.25
Ajaccio;41.92;8.73;12/06/2026;3;P4;Nuageux;25.3;14.9;26.7;15.1;05:49;21:00;6.95;7.7;0.0;0.0;0.0;0.0;0.0;10;11.7;18.7;322;26.7
Figari;41.48;9.09;28/05/2026;0;P1;Ensoleillé;28.9;20.5;29.8;20.0;05:54;20:47;8.0;8.0;0.0;0.0;0.0;0.0;0.0;0;17.2;42.8;266;28.34
Figari;41.48;9.09;29/05/2026;3;P4;Nuageux;29.1;19.4;30.6;18.9;05:53;20:48;7.9;7.9;0.0;0.0;0.0;0.0;0.0;0;16.9;40.7;81;27.5
Figari;41.48;9.09;30/05/2026;3;P4;Nuageux;29.7;20.5;32.4;21.1;05:53;20:49;7.9;7.9;0.0;0.0;0.0;0.0;0.0;3;11.8;29.5;105;27.4
Figari;41.48;9.09;31/05/2026;3;P4;Nuageux;27.8;21.4;30.4;22.0;05:52;20:50;7.95;7.95;0.0;0.0;0.0;0.0;0.0;0;17.5;41.8;263;27.97
Figari;41.48;9.09;01/06/2026;3;P4;Nuageux;26.4;21.4;28.2;21.1;05:52;20:50;7.9;7.9;0.0;0.0;0.0;0.0;0.0;3;22.2;54.7;268;23.66
Figari;41.48;9.09;02/06/2026;3;P4;Nuageux;27.8;21.6;29.1;20.5;05:51;20:51;8.0;8.0;0.0;0.0;0.0;0.0;0.0;7;21.6;58.7;268;24.13
Figari;41.48;9.09;03/06/2026;3;P4;Nuageux;25.0;20.3;23.8;19.9;05:51;20:52;7.55;7.55;0.0;0.0;0.0;0.0;0.0;8;29.7;80.6;275;28.12
Figari;41.48;9.09;04/06/2026;3;P4;Nuageux;27.2;20.1;27.7;19.8;05:51;20:53;7.7;7.7;0.0;0.0;0.0;0.0;0.0;10;21.1;54.4;266;26.19
