Ville;Latitude;Longitude;Date;Heure;temperature_2m;relativehumidity_2m;dewpoint_2m;apparent_temperature;precipitation_probability;precipitation;rain;showers;snowfall;snow_depth;weathercode;pictogramme;condition_meteo;pressure_msl;surface_pressure;cloudcover;cloudcover_low;cloudcover_mid;cloudcover_high;visibility;evapotranspiration;vapour_pressure_deficit;windspeed_10m;windgusts_10m;winddirection_10m;soil_temperature_0cm;soil_temperature_6cm;soil_temperature_18cm;soil_temperature_54cm;soil_moisture_0_1cm;soil_moisture_1_3cm;soil_moisture_3_9cm;soil_moisture_9_27cm;soil_moisture_27_81cm
Ajaccio;41.92;8.73;28/05/2026;00:00;19.8;67;13.5;20.6;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1019.5;1007.2;0;0;0;0;37720.0;0.01;0.76;2.5;6.8;45;20.8;23.1;26.0;22.0;0.063;0.154;0.198;0.247;0.266
Ajaccio;41.92;8.73;28/05/2026;01:00;19.1;71;13.7;19.9;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1019.4;1007.1;0;0;0;0;36960.0;0.01;0.64;3.1;7.2;45;20.3;22.4;25.5;22.0;0.064;0.153;0.198;0.247;0.266
Ajaccio;41.92;8.73;28/05/2026;02:00;18.5;74;13.7;19.2;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1019.0;1006.7;0;0;0;0;35180.0;0.01;0.55;3.4;7.6;58;19.6;21.8;25.1;22.0;0.069;0.156;0.201;0.25;0.266
Ajaccio;41.92;8.73;28/05/2026;03:00;18.0;76;13.7;18.8;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1018.5;1006.2;0;0;0;0;34720.0;0.01;0.5;3.1;8.3;45;19.1;21.2;24.6;22.0;0.07;0.156;0.201;0.25;0.266
Ajaccio;41.92;8.73;28/05/2026;04:00;17.7;74;13.0;18.2;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1018.1;1005.8;0;0;0;0;35760.0;0.01;0.53;3.1;7.6;36;18.7;20.6;24.2;22.0;0.072;0.156;0.201;0.25;0.266
Ajaccio;41.92;8.73;28/05/2026;05:00;17.1;73;12.2;17.2;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1018.4;1006.0;0;0;0;0;36060.0;0.01;0.53;3.4;7.2;58;18.1;19.9;23.7;22.1;0.073;0.156;0.201;0.25;0.266
Ajaccio;41.92;8.73;28/05/2026;06:00;16.8;71;11.5;16.8;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1018.8;1006.4;0;0;0;0;37100.0;0.02;0.56;3.3;7.9;49;17.7;19.4;23.3;22.1;0.075;0.156;0.201;0.25;0.266
Ajaccio;41.92;8.73;28/05/2026;07:00;17.1;70;11.5;17.0;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1019.0;1006.6;0;0;0;0;36980.0;0.02;0.58;3.8;7.9;41;18.7;19.2;22.9;22.1;0.076;0.156;0.201;0.25;0.266
Ajaccio;41.92;8.73;28/05/2026;08:00;19.8;68;13.7;20.6;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1018.8;1006.5;0;0;0;0;37720.0;0.03;0.74;2.1;7.9;59;21.8;20.4;22.6;22.0;0.077;0.156;0.201;0.25;0.266
Ajaccio;41.92;8.73;28/05/2026;09:00;23.4;54;13.5;23.9;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1018.3;1006.2;0;0;0;0;40040.0;0.05;1.32;3.8;9.0;221;25.9;22.8;22.5;22.0;0.077;0.156;0.201;0.249;0.266
Ajaccio;41.92;8.73;28/05/2026;10:00;24.3;50;13.2;24.6;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1018.6;1006.5;0;0;0;0;40940.0;0.11;1.52;5.2;13.3;214;28.5;25.6;22.8;22.0;0.075;0.155;0.2;0.249;0.266
Ajaccio;41.92;8.73;28/05/2026;11:00;25.0;57;15.9;27.0;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1019.1;1007.0;0;0;0;0;38160.0;0.14;1.36;6.6;15.5;209;30.9;28.1;23.2;22.0;0.072;0.155;0.2;0.249;0.266
Ajaccio;41.92;8.73;28/05/2026;12:00;25.7;58;16.8;28.6;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1019.2;1007.2;0;0;0;0;36860.0;0.16;1.39;8.2;19.1;209;33.0;30.4;23.7;22.0;0.068;0.155;0.2;0.248;0.266
Ajaccio;41.92;8.73;28/05/2026;13:00;26.2;51;15.3;28.8;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1019.2;1007.2;0;0;0;0;39420.0;0.18;1.67;8.9;20.9;207;34.2;32.0;24.4;22.0;0.064;0.154;0.199;0.248;0.266
