Ville;Latitude;Longitude;Date;weathercode;pictogramme;condition_meteo;temperature_2m_max;temperature_2m_min;apparent_temperature_max;apparent_temperature_min;sunrise;sunset;uv_index_max;uv_index_clear_sky_max;precipitation_sum;rain_sum;showers_sum;snowfall_sum;precipitation_hours;precipitation_probability_max;windspeed_10m_max;windgusts_10m_max;winddirection_10m_dominant;shortwave_radiation_sum
Argent-sur-Sauldre;47.56;2.45;28/05/2026;2;P8;Éclaircies;31.5;14.8;33.4;15.2;05:59;21:35;7.35;7.35;0.0;0.0;0.0;0.0;0.0;0;11.6;19.8;67;28.74
Argent-sur-Sauldre;47.56;2.45;29/05/2026;3;P4;Nuageux;31.9;15.1;34.1;15.5;05:58;21:36;6.8;7.35;0.0;0.0;0.0;0.0;0.0;0;10.2;16.2;96;28.42
Argent-sur-Sauldre;47.56;2.45;30/05/2026;3;P4;Nuageux;32.5;17.6;35.1;18.5;05:58;21:37;7.35;7.35;0.0;0.0;0.0;0.0;0.0;0;10.9;20.2;150;26.75
Argent-sur-Sauldre;47.56;2.45;31/05/2026;3;P4;Nuageux;24.4;14.9;23.4;14.1;05:57;21:38;6.45;7.3;0.0;0.0;0.0;0.0;0.0;10;21.5;38.9;289;21.68
Argent-sur-Sauldre;47.56;2.45;01/06/2026;3;P4;Nuageux;25.5;14.3;23.6;14.6;05:56;21:39;6.55;7.4;0.0;0.0;0.0;0.0;0.0;3;15.8;29.9;236;20.47
Argent-sur-Sauldre;47.56;2.45;02/06/2026;80;P9;Averses;20.8;14.9;17.7;13.6;05:56;21:40;5.3;7.15;11.1;8.1;3.0;0.0;12.0;68;30.1;58.3;248;17.67
Argent-sur-Sauldre;47.56;2.45;03/06/2026;3;P4;Nuageux;20.1;13.0;17.0;10.4;05:55;21:41;6.35;7.05;0.6;0.0;0.6;0.0;3.0;49;27.9;48.2;235;16.79
Argent-sur-Sauldre;47.56;2.45;04/06/2026;80;P9;Averses;21.0;14.9;16.8;13.6;05:54;21:42;5.75;7.0;2.7;0.0;2.7;0.0;6.0;44;35.3;69.8;232;18.53
Argent-sur-Sauldre;47.56;2.45;05/06/2026;80;P9;Averses;17.4;11.0;16.2;9.0;05:54;21:42;4.8;7.05;4.35;0.75;3.6;0.0;21.0;48;16.4;38.2;245;22.63
Argent-sur-Sauldre;47.56;2.45;06/06/2026;51;P10;Pluie faible;16.5;10.2;14.2;8.0;05:54;21:43;3.75;7.0;2.4;0.0;2.4;0.0;12.0;25;17.2;41.0;220;22.92
Argent-sur-Sauldre;47.56;2.45;07/06/2026;53;P10;Pluie faible;14.7;9.9;14.6;7.9;05:53;21:44;5.75;6.85;11.1;5.1;6.0;0.0;15.0;24;23.3;53.3;213;12.08
Argent-sur-Sauldre;47.56;2.45;08/06/2026;53;P10;Pluie faible;17.9;9.9;15.9;6.8;05:53;21:45;6.5;6.85;8.7;6.3;2.4;0.0;21.0;20;22.0;47.2;275;19.89
Argent-sur-Sauldre;47.56;2.45;09/06/2026;53;P10;Pluie faible;16.4;10.9;14.4;9.5;05:52;21:45;4.95;6.95;1.5;1.2;0.3;0.0;3.0;17;13.2;31.0;240;14.4
Argent-sur-Sauldre;47.56;2.45;10/06/2026;61;P10;Pluie;15.9;11.9;14.3;11.2;05:52;21:46;7.05;7.1;12.9;3.0;9.9;0.0;15.0;24;19.2;43.9;314;12.91
Argent-sur-Sauldre;47.56;2.45;11/06/2026;3;P4;Nuageux;19.2;9.6;20.2;8.8;05:52;21:47;5.5;7.1;0.0;0.0;0.0;0.0;0.0;22;7.0;25.6;324;26.87
Argent-sur-Sauldre;47.56;2.45;12/06/2026;1;P2;Éclaircies;31.4;11.4;32.5;10.0;05:52;21:47;7.2;7.15;0.0;0.0;0.0;0.0;0.0;;17.1;23.1;201;28.99
Bourges;47.08;2.39;28/05/2026;1;P2;Éclaircies;32.8;15.6;33.5;16.2;06:01;21:33;7.4;7.4;0.0;0.0;0.0;0.0;0.0;0;15.0;25.2;46;28.85
Bourges;47.08;2.39;29/05/2026;3;P4;Nuageux;33.5;17.2;34.4;17.5;06:00;21:34;7.1;7.4;0.0;0.0;0.0;0.0;0.0;0;13.4;27.7;63;28.75
Bourges;47.08;2.39;30/05/2026;3;P4;Nuageux;34.6;19.0;35.8;19.7;06:00;21:35;7.45;7.45;0.0;0.0;0.0;0.0;0.0;0;11.4;22.9;161;27.44
