Ville;Latitude;Longitude;Date;Heure;temperature_2m;relativehumidity_2m;dewpoint_2m;apparent_temperature;precipitation_probability;precipitation;rain;showers;snowfall;snow_depth;weathercode;pictogramme;condition_meteo;pressure_msl;surface_pressure;cloudcover;cloudcover_low;cloudcover_mid;cloudcover_high;visibility;evapotranspiration;vapour_pressure_deficit;windspeed_10m;windgusts_10m;winddirection_10m;soil_temperature_0cm;soil_temperature_6cm;soil_temperature_18cm;soil_temperature_54cm;soil_moisture_0_1cm;soil_moisture_1_3cm;soil_moisture_3_9cm;soil_moisture_9_27cm;soil_moisture_27_81cm
Argent-sur-Sauldre;47.56;2.45;28/05/2026;00:00;19.5;72;14.3;20.0;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1021.9;1002.8;0;0;0;0;38120.0;0.02;0.63;5.9;9.7;47;17.1;20.7;21.5;16.4;0.195;0.197;0.208;0.232;0.28
Argent-sur-Sauldre;47.56;2.45;28/05/2026;01:00;18.2;79;14.5;19.0;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1021.6;1002.4;0;0;0;0;34620.0;0.01;0.44;4.7;8.6;67;16.4;19.9;21.3;16.4;0.197;0.199;0.208;0.232;0.28
Argent-sur-Sauldre;47.56;2.45;28/05/2026;02:00;18.0;76;13.7;18.8;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1021.7;1002.5;0;0;0;0;37100.0;-0.0;0.5;2.8;6.1;50;14.3;18.8;21.0;16.4;0.199;0.2;0.208;0.232;0.28
Argent-sur-Sauldre;47.56;2.45;28/05/2026;03:00;17.4;77;13.3;18.1;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1021.2;1002.0;0;0;0;0;37200.0;-0.0;0.46;3.0;5.0;76;14.3;18.1;20.7;16.5;0.201;0.201;0.208;0.232;0.28
Argent-sur-Sauldre;47.56;2.45;28/05/2026;04:00;16.6;80;13.1;17.2;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1021.0;1001.7;0;0;0;0;35200.0;-0.0;0.38;2.6;4.7;56;13.9;17.6;20.4;16.5;0.202;0.202;0.208;0.232;0.28
Argent-sur-Sauldre;47.56;2.45;28/05/2026;05:00;16.1;81;12.8;16.4;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1020.8;1001.5;0;0;0;0;34840.0;-0.0;0.35;4.0;5.4;63;12.8;16.7;20.1;16.5;0.21;0.211;0.214;0.234;0.281
Argent-sur-Sauldre;47.56;2.45;28/05/2026;06:00;14.8;90;13.1;15.2;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1021.3;1001.9;0;0;0;0;22640.0;0.0;0.17;3.5;6.5;66;13.3;16.4;19.7;16.5;0.211;0.211;0.214;0.234;0.281
Argent-sur-Sauldre;47.56;2.45;28/05/2026;07:00;14.9;92;13.6;15.8;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1022.0;1002.6;0;0;0;0;17960.0;0.0;0.14;2.2;5.4;81;14.9;16.3;19.4;16.5;0.211;0.212;0.214;0.234;0.281
Argent-sur-Sauldre;47.56;2.45;28/05/2026;08:00;18.5;89;16.6;20.1;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1021.9;1002.7;0;0;0;0;25660.0;0.03;0.23;4.5;5.4;61;20.3;17.2;19.1;16.5;0.211;0.212;0.215;0.234;0.281
Argent-sur-Sauldre;47.56;2.45;28/05/2026;09:00;22.2;78;18.1;24.4;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1021.6;1002.7;0;0;0;0;31980.0;0.13;0.59;5.2;9.0;74;23.8;18.5;19.0;16.5;0.21;0.212;0.215;0.234;0.281
Argent-sur-Sauldre;47.56;2.45;28/05/2026;10:00;24.6;69;18.5;26.7;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1022.1;1003.3;0;0;0;0;38580.0;0.28;0.96;6.6;12.2;77;26.0;20.0;18.9;16.5;0.208;0.21;0.214;0.233;0.281
Argent-sur-Sauldre;47.56;2.45;28/05/2026;11:00;26.8;63;19.1;30.2;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1021.9;1003.2;0;0;0;0;39800.0;0.4;1.3;4.2;10.4;70;29.3;21.7;19.0;16.5;0.205;0.209;0.214;0.233;0.28
Argent-sur-Sauldre;47.56;2.45;28/05/2026;12:00;28.8;52;18.0;32.4;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1022.3;1003.8;8;0;0;8;41480.0;0.5;1.9;5.1;10.1;82;31.3;23.2;19.2;16.5;0.202;0.206;0.213;0.232;0.28
Argent-sur-Sauldre;47.56;2.45;28/05/2026;13:00;30.3;40;15.2;32.8;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1022.1;1003.7;21;0;21;0;44240.0;0.6;2.58;7.6;13.3;82;32.7;24.5;19.4;16.6;0.197;0.204;0.212;0.231;0.28
Argent-sur-Sauldre;47.56;2.45;28/05/2026;14:00;30.8;38;14.8;33.2;0;0.0;0.0;0.0;0.0;0.0;2;P8;Éclaircies;1021.2;1002.8;0;0;0;0;44840.0;0.64;2.75;8.4;13.7;83;33.3;25.6;19.7;16.6;0.193;0.201;0.211;0.23;0.279
Argent-sur-Sauldre;47.56;2.45;28/05/2026;15:00;31.2;36;14.4;33.4;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1021.5;1003.1;0;0;0;0;45820.0;0.62;2.91;8.7;14.0;66;33.5;26.4;20.1;16.6;0.19;0.198;0.209;0.23;0.279
Argent-sur-Sauldre;47.56;2.45;28/05/2026;16:00;31.5;34;13.7;32.8;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1021.0;1002.6;0;0;0;0;46400.0;0.59;3.04;10.0;14.4;69;32.7;27.0;20.5;16.6;0.186;0.195;0.208;0.229;0.279
Argent-sur-Sauldre;47.56;2.45;28/05/2026;17:00;30.7;36;13.9;31.5;0;0.0;0.0;0.0;0.0;0.0;2;P8;Éclaircies;1020.8;1002.4;32;0;23;10;45580.0;0.54;2.82;9.6;16.9;77;30.8;26.7;20.8;16.6;0.184;0.192;0.207;0.228;0.278
Argent-sur-Sauldre;47.56;2.45;28/05/2026;18:00;30.5;37;14.1;30.3;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1021.1;1002.7;0;0;0;0;45160.0;0.46;2.74;11.6;19.8;54;29.2;26.6;21.1;16.6;0.183;0.191;0.205;0.227;0.278
Argent-sur-Sauldre;47.56;2.45;28/05/2026;19:00;29.8;43;15.8;30.4;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1020.7;1002.3;0;0;0;0;43100.0;0.35;2.39;9.4;18.4;58;28.0;26.1;21.3;16.7;0.182;0.19;0.205;0.227;0.278
Argent-sur-Sauldre;47.56;2.45;28/05/2026;20:00;28.3;47;15.9;28.8;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1021.0;1002.5;5;0;5;0;42380.0;0.22;2.04;10.5;17.3;52;25.7;25.6;21.5;16.7;0.183;0.189;0.204;0.227;0.278
Argent-sur-Sauldre;47.56;2.45;28/05/2026;21:00;26.1;49;14.5;26.3;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1021.2;1002.5;0;0;0;0;41940.0;0.12;1.72;8.5;16.6;62;22.5;24.7;21.7;16.7;0.185;0.189;0.204;0.227;0.277
Argent-sur-Sauldre;47.56;2.45;28/05/2026;22:00;23.1;62;15.4;24.0;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1021.4;1002.5;0;0;0;0;40280.0;0.04;1.07;6.4;13.3;74;19.8;23.4;21.7;16.7;0.187;0.19;0.203;0.227;0.277
Argent-sur-Sauldre;47.56;2.45;28/05/2026;23:00;20.6;71;15.1;21.5;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1022.0;1003.0;0;0;0;0;38300.0;0.02;0.7;5.6;9.4;75;18.2;22.1;21.6;16.7;0.189;0.192;0.203;0.227;0.277
Argent-sur-Sauldre;47.56;2.45;29/05/2026;00:00;19.2;74;14.4;19.9;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1022.5;1003.4;0;0;0;0;37220.0;0.02;0.58;5.2;8.6;102;17.2;21.0;21.5;16.8;0.191;0.193;0.203;0.227;0.277
Argent-sur-Sauldre;47.56;2.45;29/05/2026;01:00;18.3;77;14.2;18.8;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1022.5;1003.3;0;0;0;0;35880.0;0.01;0.48;5.8;9.0;97;16.5;20.1;21.3;16.8;0.193;0.194;0.203;0.227;0.277
Argent-sur-Sauldre;47.56;2.45;29/05/2026;02:00;17.6;78;13.7;17.9;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1022.3;1003.1;14;0;0;14;34980.0;0.01;0.44;6.1;9.7;93;15.9;19.4;21.1;16.8;0.194;0.195;0.203;0.227;0.277
Argent-sur-Sauldre;47.56;2.45;29/05/2026;03:00;17.0;79;13.3;17.2;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1022.2;1002.9;5;0;0;5;34240.0;0.01;0.41;5.8;9.4;97;15.3;18.8;20.8;16.8;0.195;0.196;0.203;0.227;0.277
Argent-sur-Sauldre;47.56;2.45;29/05/2026;04:00;16.6;79;13.0;16.6;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1022.0;1002.7;25;0;0;25;34420.0;0.01;0.4;6.6;10.4;99;15.0;18.3;20.5;16.8;0.196;0.197;0.203;0.227;0.277
Argent-sur-Sauldre;47.56;2.45;29/05/2026;05:00;16.5;78;12.7;16.4;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1022.0;1002.7;0;0;0;0;34920.0;0.01;0.41;6.4;10.1;106;14.7;17.8;20.3;16.9;0.197;0.198;0.204;0.227;0.277
Argent-sur-Sauldre;47.56;2.45;29/05/2026;06:00;15.8;80;12.4;15.8;0;0.0;0.0;0.0;0.0;0.0;2;P8;Éclaircies;1022.5;1003.1;63;0;0;63;34000.0;0.01;0.36;4.9;10.1;107;14.0;17.5;20.0;16.9;0.198;0.199;0.204;0.227;0.277
Argent-sur-Sauldre;47.56;2.45;29/05/2026;07:00;15.1;86;12.8;15.5;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1023.0;1003.6;0;0;0;0;28920.0;0.01;0.24;3.6;7.2;127;15.0;17.1;19.7;16.9;0.198;0.199;0.204;0.227;0.277
Argent-sur-Sauldre;47.56;2.45;29/05/2026;08:00;17.7;84;14.9;18.9;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1023.0;1003.8;9;0;0;9;30660.0;0.03;0.32;3.0;5.4;104;19.5;17.4;19.4;16.9;0.199;0.2;0.204;0.227;0.277
Argent-sur-Sauldre;47.56;2.45;29/05/2026;09:00;22.5;65;15.6;23.7;0;0.0;0.0;0.0;0.0;0.0;2;P8;Éclaircies;1022.9;1004.0;51;0;0;51;39760.0;0.1;0.95;4.2;6.5;121;24.5;18.6;19.3;16.9;0.198;0.2;0.204;0.227;0.277
Argent-sur-Sauldre;47.56;2.45;29/05/2026;10:00;24.8;56;15.4;25.7;0;0.0;0.0;0.0;0.0;0.0;2;P8;Éclaircies;1023.2;1004.4;51;0;0;51;41120.0;0.27;1.38;6.6;10.4;119;26.5;20.3;19.2;16.9;0.195;0.199;0.204;0.226;0.277
