Ville;Latitude;Longitude;Date;weathercode;pictogramme;condition_meteo;temperature_2m_max;temperature_2m_min;apparent_temperature_max;apparent_temperature_min;sunrise;sunset;uv_index_max;uv_index_clear_sky_max;precipitation_sum;rain_sum;showers_sum;snowfall_sum;precipitation_hours;precipitation_probability_max;windspeed_10m_max;windgusts_10m_max;winddirection_10m_dominant;shortwave_radiation_sum
Charleville-Mézières;49.76;4.71;28/05/2026;3;P4;Nuageux;31.1;17.3;32.0;16.7;05:41;21:35;7.0;7.0;0.0;0.0;0.0;0.0;0.0;18;10.8;23.0;56;28.79
Charleville-Mézières;49.76;4.71;29/05/2026;3;P4;Nuageux;32.6;19.1;34.4;19.0;05:40;21:36;7.0;7.05;0.0;0.0;0.0;0.0;0.0;4;17.3;32.0;146;26.41
Charleville-Mézières;49.76;4.71;30/05/2026;3;P4;Nuageux;33.4;21.8;35.2;22.2;05:39;21:37;6.3;7.05;0.0;0.0;0.0;0.0;0.0;27;18.4;47.5;152;27.86
Charleville-Mézières;49.76;4.71;31/05/2026;63;P10;Pluie;24.1;16.9;24.8;16.3;05:38;21:39;5.65;6.9;9.8;9.7;0.1;0.0;3.0;47;24.1;54.4;266;20.71
Charleville-Mézières;49.76;4.71;01/06/2026;51;P10;Pluie faible;22.0;12.4;20.7;11.3;05:38;21:40;6.05;7.05;0.1;0.0;0.1;0.0;1.0;12;13.7;28.8;248;20.13
Charleville-Mézières;49.76;4.71;02/06/2026;55;P10;Pluie faible;17.9;13.9;18.0;13.7;05:37;21:41;3.55;6.65;9.9;2.7;7.2;0.0;15.0;96;21.6;48.6;229;17.46
Charleville-Mézières;49.76;4.71;03/06/2026;61;P10;Pluie;18.1;10.9;15.4;9.6;05:36;21:42;5.3;6.65;7.5;3.0;4.5;0.0;12.0;70;22.3;55.1;208;19.06
Charleville-Mézières;49.76;4.71;04/06/2026;61;P10;Pluie;16.8;11.6;13.8;7.7;05:36;21:43;6.3;6.75;10.2;2.7;7.5;0.0;24.0;95;29.6;59.8;220;16.96
Charleville-Mézières;49.76;4.71;05/06/2026;51;P10;Pluie faible;14.6;11.9;13.1;10.9;05:35;21:43;4.65;6.7;6.9;3.6;3.3;0.0;24.0;74;15.5;38.2;244;11.88
Charleville-Mézières;49.76;4.71;06/06/2026;51;P10;Pluie faible;15.6;10.0;13.4;8.4;05:35;21:44;6.1;6.75;3.9;1.5;2.4;0.0;15.0;48;15.9;36.7;215;16.46
Charleville-Mézières;49.76;4.71;07/06/2026;53;P10;Pluie faible;17.9;8.5;16.5;7.2;05:34;21:45;2.05;6.65;4.8;1.5;3.3;0.0;9.0;43;15.2;32.0;75;20.37
Charleville-Mézières;49.76;4.71;08/06/2026;61;P10;Pluie;18.0;11.1;15.3;9.5;05:34;21:46;6.6;6.6;13.8;7.5;6.3;0.0;21.0;33;20.0;40.7;307;15.84
Charleville-Mézières;49.76;4.71;09/06/2026;51;P10;Pluie faible;16.5;10.2;14.5;9.3;05:33;21:47;6.5;6.7;0.9;0.3;0.6;0.0;9.0;28;17.6;40.0;243;20.81
Charleville-Mézières;49.76;4.71;10/06/2026;51;P10;Pluie faible;12.6;10.5;11.9;9.2;05:33;21:47;6.6;6.8;5.7;3.9;1.8;0.0;21.0;41;9.1;19.8;301;8.81
Charleville-Mézières;49.76;4.71;11/06/2026;51;P10;Pluie faible;17.8;8.5;17.6;7.4;05:33;21:48;6.5;6.8;1.2;0.0;1.2;0.0;12.0;32;11.3;27.7;269;24.02
Charleville-Mézières;49.76;4.71;12/06/2026;51;P10;Pluie faible;25.0;10.3;27.7;9.8;05:33;21:49;5.85;6.9;0.3;0.0;0.3;0.0;3.0;;8.3;19.1;22;25.22
Rethel;49.51;4.36;28/05/2026;3;P4;Nuageux;31.5;15.0;32.8;14.5;05:43;21:35;7.05;7.05;0.0;0.0;0.0;0.0;0.0;8;11.9;24.8;81;28.81
Rethel;49.51;4.36;29/05/2026;3;P4;Nuageux;32.3;18.7;34.0;18.9;05:42;21:37;7.1;7.1;0.0;0.0;0.0;0.0;0.0;4;10.1;25.9;153;26.61
Rethel;49.51;4.36;30/05/2026;3;P4;Nuageux;34.1;22.2;36.2;21.5;05:42;21:38;6.7;7.1;0.0;0.0;0.0;0.0;0.0;19;20.5;48.2;169;26.74
