Ville;Latitude;Longitude;Date;Heure;temperature_2m;relativehumidity_2m;dewpoint_2m;apparent_temperature;precipitation_probability;precipitation;rain;showers;snowfall;snow_depth;weathercode;pictogramme;condition_meteo;pressure_msl;surface_pressure;cloudcover;cloudcover_low;cloudcover_mid;cloudcover_high;visibility;evapotranspiration;vapour_pressure_deficit;windspeed_10m;windgusts_10m;winddirection_10m;soil_temperature_0cm;soil_temperature_6cm;soil_temperature_18cm;soil_temperature_54cm;soil_moisture_0_1cm;soil_moisture_1_3cm;soil_moisture_3_9cm;soil_moisture_9_27cm;soil_moisture_27_81cm
Charleville-Mézières;49.76;4.71;28/05/2026;00:00;22.5;47;10.6;21.2;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1023.7;1006.1;0;0;0;0;31900.0;0.03;1.44;10.4;20.2;52;18.5;23.2;24.9;18.4;0.226;0.227;0.229;0.245;0.285
Charleville-Mézières;49.76;4.71;28/05/2026;01:00;20.9;57;12.1;20.7;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1023.7;1006.0;0;0;0;0;26240.0;0.02;1.07;6.1;10.8;58;17.5;22.2;24.5;18.4;0.227;0.227;0.229;0.245;0.285
Charleville-Mézières;49.76;4.71;28/05/2026;02:00;19.9;59;11.6;19.2;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1023.8;1006.1;0;0;0;0;50000.0;0.01;0.95;8.3;13.0;27;16.0;21.1;24.1;18.4;0.228;0.228;0.23;0.245;0.285
Charleville-Mézières;49.76;4.71;28/05/2026;03:00;19.4;58;10.9;18.9;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1023.6;1005.8;0;0;0;0;25840.0;0.01;0.95;5.0;9.7;59;15.1;20.3;23.6;18.5;0.228;0.229;0.23;0.245;0.285
Charleville-Mézières;49.76;4.71;28/05/2026;04:00;18.2;63;11.0;17.8;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1023.4;1005.6;0;0;0;0;50000.0;0.01;0.77;4.7;7.9;61;14.6;19.5;23.2;18.5;0.229;0.229;0.231;0.245;0.285
Charleville-Mézières;49.76;4.71;28/05/2026;05:00;17.5;62;10.2;16.8;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1023.5;1005.7;0;0;0;0;23880.0;0.01;0.76;5.4;8.3;58;14.0;18.7;22.7;18.5;0.217;0.218;0.222;0.24;0.282
Charleville-Mézières;49.76;4.71;28/05/2026;06:00;17.3;64;10.5;16.7;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1023.7;1005.8;21;0;0;21;50000.0;0.01;0.71;5.0;8.6;58;13.9;18.0;22.2;18.5;0.218;0.219;0.222;0.24;0.282
Charleville-Mézières;49.76;4.71;28/05/2026;07:00;17.5;65;10.9;17.1;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1024.1;1006.3;0;0;0;0;21900.0;0.01;0.7;4.7;8.6;72;15.6;17.6;21.7;18.5;0.219;0.22;0.222;0.24;0.282
Charleville-Mézières;49.76;4.71;28/05/2026;08:00;19.3;54;9.8;18.3;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1024.5;1006.8;0;0;0;0;28120.0;0.02;1.03;6.5;13.7;98;19.2;18.4;21.3;18.6;0.22;0.22;0.223;0.24;0.282
Charleville-Mézières;49.76;4.71;28/05/2026;09:00;21.9;50;11.0;21.1;0;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1024.6;1007.0;92;0;0;92;30280.0;0.05;1.32;7.9;17.6;116;22.1;20.1;21.1;18.6;0.22;0.221;0.223;0.24;0.282
