Ville;Latitude;Longitude;Date;weathercode;pictogramme;condition_meteo;temperature_2m_max;temperature_2m_min;apparent_temperature_max;apparent_temperature_min;sunrise;sunset;uv_index_max;uv_index_clear_sky_max;precipitation_sum;rain_sum;showers_sum;snowfall_sum;precipitation_hours;precipitation_probability_max;windspeed_10m_max;windgusts_10m_max;winddirection_10m_dominant;shortwave_radiation_sum
Rosans;44.39;5.47;28/05/2026;2;P8;Éclaircies;29.3;16.7;31.7;16.3;05:59;21:11;7.7;7.7;0.0;0.0;0.0;0.0;0.0;3;18.6;33.8;346;28.98
Rosans;44.39;5.47;29/05/2026;3;P4;Nuageux;26.9;14.7;28.3;13.5;05:58;21:12;7.3;7.6;0.0;0.0;0.0;0.0;0.0;80;17.1;42.1;276;27.68
Rosans;44.39;5.47;30/05/2026;3;P4;Nuageux;26.6;15.0;28.5;15.6;05:57;21:13;6.75;7.75;0.03;0.0;0.03;0.0;1.0;5;13.8;21.2;245;26.04
Rosans;44.39;5.47;31/05/2026;3;P4;Nuageux;26.6;14.3;27.7;14.4;05:57;21:14;7.4;7.65;0.0;0.0;0.0;0.0;0.0;5;22.0;43.6;333;26.86
Rosans;44.39;5.47;01/06/2026;3;P4;Nuageux;24.1;14.8;23.8;14.7;05:56;21:15;7.45;7.75;0.0;0.0;0.0;0.0;0.0;1;18.2;37.1;323;28.15
Rosans;44.39;5.47;02/06/2026;61;P10;Pluie;20.6;13.7;19.9;13.6;05:56;21:16;4.6;7.65;2.25;0.15;2.1;0.0;6.0;37;20.7;47.5;298;18.48
Rosans;44.39;5.47;03/06/2026;2;P8;Éclaircies;20.8;13.4;17.4;11.3;05:55;21:16;7.45;7.45;0.0;0.0;0.0;0.0;0.0;40;26.5;56.9;329;29.24
Rosans;44.39;5.47;04/06/2026;63;P10;Pluie;18.6;10.7;18.4;9.4;05:55;21:17;7.5;7.5;16.2;15.0;1.2;0.0;12.0;37;8.1;21.2;297;10.61
Rosans;44.39;5.47;05/06/2026;61;P10;Pluie;18.7;12.2;17.5;11.3;05:55;21:18;7.45;7.45;22.05;10.95;11.1;0.0;15.0;39;15.6;44.6;299;27.4
Rosans;44.39;5.47;06/06/2026;51;P10;Pluie faible;18.0;10.5;16.5;9.6;05:54;21:19;7.2;7.45;3.3;0.6;2.7;0.0;21.0;23;13.4;39.2;223;23.81
Rosans;44.39;5.47;07/06/2026;61;P10;Pluie;17.0;9.3;14.8;6.6;05:54;21:19;7.45;7.45;11.4;3.0;8.4;0.0;24.0;14;26.0;74.2;164;23.29
Rosans;44.39;5.47;08/06/2026;51;P10;Pluie faible;14.8;6.8;12.3;4.2;05:54;21:20;7.35;7.45;3.3;2.4;0.9;0.0;21.0;12;20.9;59.4;306;21.14
Rosans;44.39;5.47;09/06/2026;3;P4;Nuageux;19.7;6.9;19.5;4.9;05:53;21:21;7.45;7.45;0.0;0.0;0.0;0.0;0.0;16;11.1;40.3;281;30.03
Rosans;44.39;5.47;10/06/2026;53;P10;Pluie faible;16.7;11.2;16.2;11.2;05:53;21:21;7.45;7.5;7.5;0.9;6.6;0.0;15.0;22;8.7;47.5;220;22.29
Rosans;44.39;5.47;11/06/2026;53;P10;Pluie faible;19.6;9.2;18.1;8.1;05:53;21:22;6.9;7.5;1.5;0.3;1.2;0.0;3.0;22;18.6;49.3;349;29.35
Rosans;44.39;5.47;12/06/2026;2;P8;Éclaircies;30.3;7.9;31.4;6.4;05:53;21:22;7.55;7.55;0.0;0.0;0.0;0.0;0.0;;10.8;45.4;274;29.4
Laragne-M.;44.31;5.82;28/05/2026;3;P4;Nuageux;31.0;15.1;31.9;14.2;05:58;21:09;7.65;7.65;0.0;0.0;0.0;0.0;0.0;23;20.2;33.1;293;28.13
Laragne-M.;44.31;5.82;29/05/2026;80;P9;Averses;28.8;13.4;32.1;13.0;05:57;21:10;7.3;7.6;0.1;0.1;0.0;0.0;1.0;88;35.8;69.1;277;25.48
Laragne-M.;44.31;5.82;30/05/2026;80;P9;Averses;28.4;13.5;30.9;13.7;05:56;21:11;6.95;7.65;0.1;0.0;0.1;0.0;1.0;22;17.1;25.6;289;24.85
Laragne-M.;44.31;5.82;31/05/2026;45;brouillards;Brouillard;29.6;13.6;31.4;13.6;05:56;21:12;7.55;7.6;0.1;0.0;0.1;0.0;1.0;0;18.4;36.7;299;26.96
Laragne-M.;44.31;5.82;01/06/2026;3;P4;Nuageux;28.0;16.5;27.5;16.3;05:55;21:13;7.4;7.7;0.0;0.0;0.0;0.0;0.0;0;18.9;38.2;297;28.07
Laragne-M.;44.31;5.82;02/06/2026;61;P10;Pluie;22.6;13.2;23.6;13.2;05:55;21:14;5.2;7.6;0.9;0.6;0.3;0.0;3.0;23;21.3;43.9;294;18.33
Laragne-M.;44.31;5.82;03/06/2026;1;P2;Éclaircies;23.4;13.4;19.1;12.2;05:54;21:15;7.35;7.35;0.0;0.0;0.0;0.0;0.0;25;31.6;63.7;313;29.49
Laragne-M.;44.31;5.82;04/06/2026;80;P9;Averses;21.4;9.5;21.0;8.4;05:54;21:15;7.45;7.45;18.6;16.2;2.4;0.0;9.0;14;5.6;15.5;279;13.11
Laragne-M.;44.31;5.82;05/06/2026;61;P10;Pluie;20.2;13.7;19.0;12.1;05:53;21:16;7.4;7.4;17.85;8.55;9.3;0.0;9.0;27;17.0;43.6;296;27.66
Laragne-M.;44.31;5.82;06/06/2026;53;P10;Pluie faible;19.4;10.1;18.9;9.0;05:53;21:17;7.25;7.4;3.9;1.2;2.7;0.0;15.0;17;9.2;31.3;193;24.41
Laragne-M.;44.31;5.82;07/06/2026;61;P10;Pluie;20.8;10.9;18.5;8.7;05:53;21:18;7.4;7.4;9.9;2.4;7.5;0.0;9.0;12;24.5;62.6;167;24.96
Laragne-M.;44.31;5.82;08/06/2026;51;P10;Pluie faible;16.1;8.5;12.8;6.3;05:52;21:18;7.35;7.4;1.2;1.2;0.0;0.0;12.0;12;23.0;59.4;310;21.81
Laragne-M.;44.31;5.82;09/06/2026;3;P4;Nuageux;22.3;8.3;23.6;6.0;05:52;21:19;7.35;7.4;0.0;0.0;0.0;0.0;0.0;18;11.2;43.6;268;30.18
Laragne-M.;44.31;5.82;10/06/2026;53;P10;Pluie faible;18.3;11.7;18.8;11.5;05:52;21:19;7.45;7.5;6.6;1.8;4.8;0.0;15.0;24;3.8;29.5;259;21.95
Laragne-M.;44.31;5.82;11/06/2026;51;P10;Pluie faible;21.2;10.3;20.2;8.8;05:52;21:20;7.1;7.45;0.6;0.6;0.0;0.0;3.0;27;17.7;44.6;308;29.89
Laragne-M.;44.31;5.82;12/06/2026;3;P4;Nuageux;32.9;9.4;35.0;8.2;05:52;21:20;7.5;7.5;0.0;0.0;0.0;0.0;0.0;;11.0;31.7;279;29.27
Veynes;44.53;5.82;28/05/2026;3;P4;Nuageux;29.6;13.8;30.6;12.5;05:57;21:10;7.75;7.75;0.0;0.0;0.0;0.0;0.0;15;16.9;29.9;352;29.37
Veynes;44.53;5.82;29/05/2026;96;P10;Orageux;27.4;12.8;28.6;11.5;05:56;21:11;6.55;7.65;5.1;4.3;0.8;0.0;4.0;93;19.6;39.2;242;24.03
Veynes;44.53;5.82;30/05/2026;99;P10;Orageux;26.4;12.8;27.8;12.5;05:56;21:12;6.8;7.75;8.68;8.48;0.2;0.0;2.0;53;16.5;40.7;104;23.97
Veynes;44.53;5.82;31/05/2026;3;P4;Nuageux;28.0;12.2;27.6;11.5;05:55;21:13;7.75;7.75;0.0;0.0;0.0;0.0;0.0;0;20.5;41.0;332;28.91
Veynes;44.53;5.82;01/06/2026;3;P4;Nuageux;25.8;14.8;25.5;14.4;05:55;21:14;7.45;7.85;0.0;0.0;0.0;0.0;0.0;0;16.6;35.6;310;29.01
Veynes;44.53;5.82;02/06/2026;3;P4;Nuageux;20.9;11.9;20.8;11.4;05:54;21:15;5.95;7.6;1.65;0.0;1.65;0.0;6.0;36;21.5;51.5;306;18.24
Veynes;44.53;5.82;03/06/2026;2;P8;Éclaircies;20.4;13.7;17.5;11.4;05:54;21:15;7.45;7.5;0.0;0.0;0.0;0.0;0.0;40;26.1;62.6;329;29.92
Veynes;44.53;5.82;04/06/2026;63;P10;Pluie;19.1;10.3;18.2;8.4;05:53;21:16;7.6;7.6;19.5;18.0;1.5;0.0;12.0;40;8.6;32.8;337;12.82
Veynes;44.53;5.82;05/06/2026;55;P10;Pluie faible;18.3;11.6;16.9;9.7;05:53;21:17;7.55;7.55;15.15;9.6;5.55;0.0;9.0;42;15.3;43.2;301;27.04
Veynes;44.53;5.82;06/06/2026;53;P10;Pluie faible;17.2;8.2;15.9;6.5;05:52;21:18;7.3;7.55;6.3;1.2;5.1;0.0;15.0;23;11.0;36.0;170;23.28
Veynes;44.53;5.82;07/06/2026;61;P10;Pluie;18.6;8.1;16.4;5.9;05:52;21:18;7.55;7.5;11.1;1.8;9.3;0.0;15.0;16;21.7;72.0;152;25.02
Veynes;44.53;5.82;08/06/2026;51;P10;Pluie faible;13.9;5.7;10.4;3.6;05:52;21:19;7.25;7.5;1.8;1.8;0.0;0.0;18.0;11;21.2;59.4;317;19.79
Veynes;44.53;5.82;09/06/2026;2;P8;Éclaircies;19.5;6.4;19.6;3.6;05:52;21:20;7.5;7.5;0.0;0.0;0.0;0.0;0.0;12;9.3;44.6;334;30.31
Veynes;44.53;5.82;10/06/2026;61;P10;Pluie;14.6;10.4;15.0;9.6;05:51;21:20;7.6;7.6;10.5;1.2;9.3;0.0;15.0;27;4.0;40.3;238;22.06
Veynes;44.53;5.82;11/06/2026;51;P10;Pluie faible;19.4;8.3;18.5;6.2;05:51;21:21;7.2;7.55;0.9;0.6;0.3;0.0;3.0;24;15.4;43.9;340;28.52
Veynes;44.53;5.82;12/06/2026;3;P4;Nuageux;29.3;8.0;31.5;6.3;05:51;21:21;7.65;7.6;0.0;0.0;0.0;0.0;0.0;;9.8;37.4;345;28.9
St-Étienne-D.;44.69;5.94;28/05/2026;3;P4;Nuageux;24.4;13.7;24.3;12.5;05:56;21:10;7.8;7.8;0.0;0.0;0.0;0.0;0.0;20;18.4;31.0;353;30.03
St-Étienne-D.;44.69;5.94;29/05/2026;80;P9;Averses;24.4;12.4;24.4;10.3;05:55;21:11;7.25;7.75;0.1;0.0;0.1;0.0;1.0;90;17.0;33.5;194;23.83
St-Étienne-D.;44.69;5.94;30/05/2026;96;P10;Orageux;22.8;13.2;23.3;12.0;05:55;21:12;7.1;7.85;9.62;9.55;0.17;0.0;3.0;63;19.6;45.4;126;22.75
St-Étienne-D.;44.69;5.94;31/05/2026;3;P4;Nuageux;23.7;11.6;24.0;10.2;05:54;21:13;7.8;7.8;0.0;0.0;0.0;0.0;0.0;3;14.6;29.9;316;28.69
St-Étienne-D.;44.69;5.94;01/06/2026;3;P4;Nuageux;20.7;12.3;20.9;11.4;05:53;21:14;7.5;7.9;0.0;0.0;0.0;0.0;0.0;2;12.5;26.6;319;28.9
St-Étienne-D.;44.69;5.94;02/06/2026;80;P9;Averses;18.4;10.5;17.8;8.6;05:53;21:15;6.1;7.7;4.5;0.0;4.5;0.0;6.0;25;15.6;63.0;307;17.84
St-Étienne-D.;44.69;5.94;03/06/2026;2;P8;Éclaircies;16.5;9.5;14.6;6.4;05:52;21:16;7.6;7.55;0.0;0.0;0.0;0.0;0.0;28;18.0;51.5;329;29.39
St-Étienne-D.;44.69;5.94;04/06/2026;63;P10;Pluie;15.9;10.5;14.2;8.1;05:52;21:16;7.65;7.65;24.6;23.1;1.2;0.0;12.0;26;12.7;47.5;74;14.09
St-Étienne-D.;44.69;5.94;05/06/2026;55;P10;Pluie faible;13.6;8.8;12.8;7.3;05:52;21:17;7.6;7.6;19.35;16.05;3.3;0.0;21.0;48;12.2;48.0;328;27.27
St-Étienne-D.;44.69;5.94;06/06/2026;51;P10;Pluie faible;13.6;6.6;12.6;5.4;05:51;21:18;7.4;7.6;3.0;1.2;1.8;0.0;15.0;27;9.7;35.3;153;21.34
St-Étienne-D.;44.69;5.94;07/06/2026;61;P10;Pluie;16.4;5.5;13.3;3.2;05:51;21:19;7.35;7.55;11.4;3.0;8.4;0.0;21.0;27;24.0;81.0;161;25.45
St-Étienne-D.;44.69;5.94;08/06/2026;51;P10;Pluie faible;9.2;3.4;5.1;1.2;05:51;21:19;7.05;7.5;4.8;3.6;1.2;0.0;18.0;18;21.1;69.8;327;17.65
St-Étienne-D.;44.69;5.94;09/06/2026;2;P8;Éclaircies;16.7;2.6;15.8;0.2;05:50;21:20;7.55;7.55;0.0;0.0;0.0;0.0;0.0;27;10.0;56.9;204;30.64
St-Étienne-D.;44.69;5.94;10/06/2026;55;P10;Pluie faible;11.2;8.1;10.0;7.3;05:50;21:20;7.6;7.65;10.2;1.8;8.4;0.0;15.0;31;7.4;35.6;164;19.07
St-Étienne-D.;44.69;5.94;11/06/2026;53;P10;Pluie faible;14.2;5.2;13.8;2.7;05:50;21:21;7.4;7.6;1.8;0.6;1.2;0.0;3.0;37;13.8;44.3;323;27.49
St-Étienne-D.;44.69;5.94;12/06/2026;51;P10;Pluie faible;25.0;4.7;26.9;3.0;05:50;21:22;7.55;7.65;0.3;0.3;0.0;0.0;3.0;;8.0;36.0;281;29.01
GAP;44.55;6.07;28/05/2026;3;P4;Nuageux;29.6;15.2;32.1;14.3;05:56;21:09;7.7;7.7;0.0;0.0;0.0;0.0;0.0;35;14.1;28.4;95;26.8
GAP;44.55;6.07;29/05/2026;96;P10;Orageux;28.9;14.2;29.0;13.8;05:55;21:10;7.35;7.6;1.2;1.1;0.1;0.0;3.0;78;16.4;43.2;222;23.76
GAP;44.55;6.07;30/05/2026;95;P10;Orageux;25.9;13.3;27.4;13.2;05:55;21:11;7.0;7.7;1.45;1.3;0.15;0.0;2.0;45;20.7;42.5;24;22.11
GAP;44.55;6.07;31/05/2026;3;P4;Nuageux;29.2;13.2;29.9;12.9;05:54;21:12;7.7;7.7;0.0;0.0;0.0;0.0;0.0;0;11.8;25.2;303;27.91
GAP;44.55;6.07;01/06/2026;3;P4;Nuageux;27.6;15.1;29.1;15.3;05:53;21:13;7.35;7.75;0.0;0.0;0.0;0.0;0.0;0;6.1;16.6;335;27.93
GAP;44.55;6.07;02/06/2026;3;P4;Nuageux;22.0;13.0;21.4;11.7;05:53;21:14;5.7;7.5;0.6;0.0;0.6;0.0;3.0;25;22.7;45.4;269;18.36
