Ville;Latitude;Longitude;Date;Heure;temperature_2m;relativehumidity_2m;dewpoint_2m;apparent_temperature;precipitation_probability;precipitation;rain;showers;snowfall;snow_depth;weathercode;pictogramme;condition_meteo;pressure_msl;surface_pressure;cloudcover;cloudcover_low;cloudcover_mid;cloudcover_high;visibility;evapotranspiration;vapour_pressure_deficit;windspeed_10m;windgusts_10m;winddirection_10m;soil_temperature_0cm;soil_temperature_6cm;soil_temperature_18cm;soil_temperature_54cm;soil_moisture_0_1cm;soil_moisture_1_3cm;soil_moisture_3_9cm;soil_moisture_9_27cm;soil_moisture_27_81cm
Rosans;44.39;5.47;28/05/2026;00:00;19.3;50;8.6;18.0;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1019.8;941.5;4;0;0;4;42400.0;0.06;1.12;6.2;11.2;350;16.4;19.2;19.9;15.5;0.155;0.162;0.187;0.223;0.281
Rosans;44.39;5.47;28/05/2026;01:00;18.6;53;8.8;17.6;0;0.0;0.0;0.0;0.0;0.0;2;P8;Éclaircies;1020.1;941.6;62;0;0;62;42340.0;0.03;1.01;4.7;9.0;9;14.8;18.2;19.6;15.6;0.158;0.164;0.187;0.223;0.281
Rosans;44.39;5.47;28/05/2026;02:00;18.1;62;10.7;17.6;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1019.8;941.2;0;0;0;0;41100.0;0.03;0.79;5.2;8.6;348;15.3;17.9;19.3;15.6;0.16;0.165;0.186;0.223;0.281
Rosans;44.39;5.47;28/05/2026;03:00;17.1;67;11.0;16.6;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1019.3;940.5;0;0;0;0;40100.0;0.03;0.65;5.5;9.0;349;14.7;17.3;19.0;15.6;0.162;0.166;0.186;0.223;0.281
Rosans;44.39;5.47;28/05/2026;04:00;17.1;66;10.7;16.6;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1019.4;940.6;0;0;0;0;40380.0;0.02;0.67;5.4;8.3;4;14.2;16.7;18.6;15.6;0.164;0.168;0.186;0.223;0.281
Rosans;44.39;5.47;28/05/2026;05:00;17.1;68;11.1;16.8;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1018.6;939.8;0;0;0;0;40220.0;0.02;0.62;4.3;7.6;355;13.9;16.5;18.3;15.6;0.168;0.172;0.19;0.225;0.282
Rosans;44.39;5.47;28/05/2026;06:00;16.7;67;10.5;16.3;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1019.0;940.1;0;0;0;0;40380.0;0.01;0.63;3.6;6.1;6;12.9;15.9;18.0;15.6;0.171;0.174;0.19;0.225;0.282
Rosans;44.39;5.47;28/05/2026;07:00;17.0;68;11.0;16.8;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1019.3;940.5;0;0;0;0;40560.0;-0.0;0.62;3.8;4.3;17;14.0;15.4;17.6;15.6;0.173;0.175;0.19;0.225;0.282
Rosans;44.39;5.47;28/05/2026;08:00;18.8;76;14.5;19.8;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1019.1;940.7;0;0;0;0;38500.0;0.02;0.52;3.3;4.3;6;18.7;16.0;17.4;15.6;0.174;0.177;0.19;0.225;0.282
Rosans;44.39;5.47;28/05/2026;09:00;21.3;74;16.5;23.4;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1018.8;941.1;0;0;0;0;37080.0;0.14;0.66;1.4;5.0;180;22.2;17.8;17.2;15.6;0.173;0.177;0.19;0.225;0.282
Rosans;44.39;5.47;28/05/2026;10:00;23.1;65;16.2;24.9;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1019.1;941.8;0;0;0;0;40000.0;0.32;0.99;2.5;6.1;172;24.1;19.4;17.3;15.6;0.171;0.177;0.189;0.225;0.282
