Ville;Latitude;Longitude;Date;weathercode;pictogramme;condition_meteo;temperature_2m_max;temperature_2m_min;apparent_temperature_max;apparent_temperature_min;sunrise;sunset;uv_index_max;uv_index_clear_sky_max;precipitation_sum;rain_sum;showers_sum;snowfall_sum;precipitation_hours;precipitation_probability_max;windspeed_10m_max;windgusts_10m_max;winddirection_10m_dominant;shortwave_radiation_sum
Amiens;49.894;2.295;28/05/2026;3;P4;Nuageux;32.4;18.8;33.7;17.2;05:50;21:45;6.8;7.0;0.0;0.0;0.0;0.0;0.0;17;17.3;34.6;125;26.45
Amiens;49.894;2.295;29/05/2026;3;P4;Nuageux;31.9;24.0;32.9;24.5;05:49;21:47;6.5;7.05;0.0;0.0;0.0;0.0;0.0;4;13.3;32.4;223;18.87
Amiens;49.894;2.295;30/05/2026;3;P4;Nuageux;31.2;21.5;33.2;20.8;05:48;21:48;6.7;7.05;0.0;0.0;0.0;0.0;0.0;39;13.3;29.9;306;20.97
Amiens;49.894;2.295;31/05/2026;3;P4;Nuageux;22.1;16.3;21.3;14.7;05:47;21:49;6.05;7.0;0.0;0.0;0.0;0.0;0.0;37;21.5;47.9;281;18.74
Amiens;49.894;2.295;01/06/2026;3;P4;Nuageux;22.6;13.4;21.6;12.3;05:47;21:50;6.15;7.1;0.0;0.0;0.0;0.0;0.0;29;15.5;36.4;260;19.4
Amiens;49.894;2.295;02/06/2026;53;P10;Pluie faible;18.8;14.1;18.2;12.4;05:46;21:51;6.65;6.85;9.3;2.1;7.2;0.0;21.0;86;21.4;49.0;248;21.87
Amiens;49.894;2.295;03/06/2026;63;P10;Pluie;17.3;11.9;14.5;10.2;05:45;21:52;6.2;6.75;17.7;6.3;11.4;0.0;12.0;73;24.7;59.8;212;11.19
Amiens;49.894;2.295;04/06/2026;53;P10;Pluie faible;16.6;12.7;14.7;9.2;05:45;21:53;5.95;6.75;4.8;1.2;3.6;0.0;18.0;84;27.0;64.4;225;20.03
Amiens;49.894;2.295;05/06/2026;53;P10;Pluie faible;17.4;12.1;16.4;10.8;05:44;21:54;6.45;6.75;4.5;1.2;3.3;0.0;15.0;77;15.4;39.6;258;23.52
Amiens;49.894;2.295;06/06/2026;51;P10;Pluie faible;16.4;10.4;15.4;8.8;05:44;21:55;2.3;6.55;4.5;1.5;3.0;0.0;21.0;52;14.3;39.2;217;24.84
Amiens;49.894;2.295;07/06/2026;51;P10;Pluie faible;17.8;9.9;15.9;9.0;05:43;21:55;3.4;6.55;1.2;1.2;0.0;0.0;12.0;39;16.1;34.2;45;18.62
Amiens;49.894;2.295;08/06/2026;51;P10;Pluie faible;18.2;11.8;17.9;9.2;05:43;21:56;6.25;6.6;2.7;1.5;1.2;0.0;15.0;27;16.7;41.0;317;23.52
Amiens;49.894;2.295;09/06/2026;51;P10;Pluie faible;14.7;11.4;12.4;10.2;05:42;21:57;5.9;6.65;1.5;0.9;0.6;0.0;15.0;25;14.6;38.5;244;18.1
Amiens;49.894;2.295;10/06/2026;51;P10;Pluie faible;17.0;11.2;15.8;11.1;05:42;21:58;5.75;6.8;2.7;1.5;1.2;0.0;15.0;35;14.9;36.0;308;21.21
Amiens;49.894;2.295;11/06/2026;51;P10;Pluie faible;18.6;11.0;18.6;9.8;05:42;21:58;6.25;6.8;1.2;1.2;0.0;0.0;6.0;27;12.3;33.5;272;23.36
Amiens;49.894;2.295;12/06/2026;51;P10;Pluie faible;26.1;11.1;27.0;10.3;05:41;21:59;5.65;6.85;0.3;0.0;0.3;0.0;3.0;;18.4;27.9;229;22.95
Château-Thierry;49.046;3.403;28/05/2026;3;P4;Nuageux;30.4;16.1;33.8;16.7;05:49;21:37;7.1;7.1;0.0;0.0;0.0;0.0;0.0;0;9.1;18.4;79;27.85
Château-Thierry;49.046;3.403;29/05/2026;3;P4;Nuageux;31.1;15.5;33.0;16.5;05:48;21:38;6.5;7.15;0.0;0.0;0.0;0.0;0.0;0;8.4;16.9;175;27.65
Château-Thierry;49.046;3.403;30/05/2026;3;P4;Nuageux;31.6;18.1;35.8;19.7;05:47;21:39;6.65;7.15;0.0;0.0;0.0;0.0;0.0;5;5.6;12.8;262;25.2
Château-Thierry;49.046;3.403;31/05/2026;3;P4;Nuageux;22.5;15.9;25.4;14.5;05:47;21:40;6.5;7.1;0.1;0.0;0.1;0.0;1.0;20;20.5;37.1;295;19.84
Château-Thierry;49.046;3.403;01/06/2026;3;P4;Nuageux;22.5;12.4;21.7;12.0;05:46;21:42;6.45;7.2;0.0;0.0;0.0;0.0;0.0;11;13.3;25.6;240;19.2
Château-Thierry;49.046;3.403;02/06/2026;80;P9;Averses;20.2;14.9;18.3;13.8;05:45;21:42;5.0;6.9;13.35;10.5;2.85;0.0;9.0;77;28.4;56.9;242;14.71
Château-Thierry;49.046;3.403;03/06/2026;3;P4;Nuageux;21.0;13.4;17.6;11.1;05:45;21:43;4.6;6.85;0.0;0.0;0.0;0.0;0.0;53;25.6;44.3;234;17.34
Château-Thierry;49.046;3.403;04/06/2026;80;P9;Averses;19.8;14.4;16.4;13.1;05:44;21:44;4.85;6.85;5.1;0.0;5.1;0.0;12.0;65;29.8;63.0;225;17.35
Château-Thierry;49.046;3.403;05/06/2026;53;P10;Pluie faible;16.6;11.1;14.7;9.7;05:44;21:45;3.6;6.8;7.95;3.15;4.8;0.0;24.0;54;15.9;36.0;246;17.28
Château-Thierry;49.046;3.403;06/06/2026;51;P10;Pluie faible;14.2;10.1;13.2;8.2;05:43;21:46;4.3;6.8;3.9;0.3;3.6;0.0;15.0;43;15.1;37.8;219;18.91
Château-Thierry;49.046;3.403;07/06/2026;63;P10;Pluie;14.4;9.7;13.6;8.3;05:43;21:47;2.5;6.7;22.5;9.3;13.2;0.0;15.0;31;23.7;45.7;47;13.7
Château-Thierry;49.046;3.403;08/06/2026;63;P10;Pluie;17.7;10.4;16.3;6.9;05:42;21:48;6.4;6.65;16.2;9.0;7.2;0.0;24.0;23;29.1;59.4;302;17.89
Château-Thierry;49.046;3.403;09/06/2026;51;P10;Pluie faible;16.2;10.4;14.6;9.3;05:42;21:48;6.5;6.8;2.1;0.9;1.2;0.0;18.0;28;14.7;34.6;247;20.62
Château-Thierry;49.046;3.403;10/06/2026;55;P10;Pluie faible;12.8;11.1;12.5;10.1;05:42;21:49;6.4;6.9;11.4;6.6;4.8;0.0;21.0;35;7.9;29.9;307;7.64
Château-Thierry;49.046;3.403;11/06/2026;51;P10;Pluie faible;18.4;9.5;18.7;7.9;05:41;21:50;6.0;6.9;1.2;1.2;0.0;0.0;12.0;27;9.6;25.9;281;26.91
Château-Thierry;49.046;3.403;12/06/2026;51;P10;Pluie faible;27.4;11.2;31.4;10.4;05:41;21:50;6.6;6.95;0.6;0.0;0.6;0.0;6.0;;9.0;20.9;82;26.74
Laon;49.56;3.62;28/05/2026;3;P4;Nuageux;31.9;17.2;32.8;16.4;05:46;21:39;6.95;7.0;0.0;0.0;0.0;0.0;0.0;14;10.1;24.8;93;28.52
Laon;49.56;3.62;29/05/2026;3;P4;Nuageux;32.6;22.0;33.1;22.0;05:45;21:40;6.35;7.1;0.0;0.0;0.0;0.0;0.0;6;12.6;31.0;210;25.74
Laon;49.56;3.62;30/05/2026;3;P4;Nuageux;33.8;23.2;35.6;24.2;05:44;21:41;6.95;7.05;0.0;0.0;0.0;0.0;0.0;31;11.2;27.4;225;26.73
Laon;49.56;3.62;31/05/2026;61;P10;Pluie;26.8;16.8;29.1;15.6;05:44;21:42;6.35;7.05;1.7;1.7;0.0;0.0;3.0;24;40.3;83.9;282;20.28
Laon;49.56;3.62;01/06/2026;3;P4;Nuageux;22.4;13.0;22.6;11.9;05:43;21:43;6.2;7.1;0.0;0.0;0.0;0.0;0.0;14;13.3;29.9;250;22.6
Laon;49.56;3.62;02/06/2026;51;P10;Pluie faible;20.6;15.1;19.5;14.3;05:42;21:44;5.2;6.75;3.9;1.8;2.1;0.0;21.0;91;20.4;45.0;238;21.1
Laon;49.56;3.62;03/06/2026;61;P10;Pluie;17.5;11.9;15.1;10.3;05:41;21:45;5.15;6.75;12.9;3.3;9.6;0.0;12.0;68;26.1;58.0;207;15.71
Laon;49.56;3.62;04/06/2026;55;P10;Pluie faible;18.0;12.4;15.6;9.1;05:41;21:46;6.05;6.75;11.4;3.9;7.5;0.0;24.0;95;26.2;59.8;217;20.01
Laon;49.56;3.62;05/06/2026;53;P10;Pluie faible;16.5;11.8;15.6;10.8;05:40;21:47;5.05;6.75;7.2;4.5;2.7;0.0;21.0;60;14.6;36.0;246;16.54
Laon;49.56;3.62;06/06/2026;51;P10;Pluie faible;15.6;10.6;13.7;8.8;05:40;21:48;4.6;6.7;1.2;0.0;1.2;0.0;12.0;51;17.1;37.1;221;21.43
Laon;49.56;3.62;07/06/2026;61;P10;Pluie;17.8;9.8;16.4;8.7;05:39;21:48;2.65;6.6;9.9;5.1;4.8;0.0;9.0;33;17.7;40.0;59;18.09
Laon;49.56;3.62;08/06/2026;61;P10;Pluie;18.3;11.6;17.0;8.6;05:39;21:49;6.4;6.6;19.8;10.5;9.3;0.0;24.0;27;24.6;47.9;322;20.3
Laon;49.56;3.62;09/06/2026;51;P10;Pluie faible;16.5;10.9;14.5;9.8;05:39;21:50;6.45;6.7;2.4;1.5;0.9;0.0;18.0;23;16.3;36.4;245;21.02
Laon;49.56;3.62;10/06/2026;61;P10;Pluie;14.4;11.5;14.5;11.1;05:38;21:51;6.4;6.8;14.7;6.3;8.4;0.0;21.0;43;9.1;23.4;279;10.82
Laon;49.56;3.62;11/06/2026;51;P10;Pluie faible;18.8;9.9;19.3;8.8;05:38;21:51;6.45;6.8;0.6;0.6;0.0;0.0;6.0;29;8.9;25.2;269;25.91
Laon;49.56;3.62;12/06/2026;51;P10;Pluie faible;26.3;11.1;29.2;10.7;05:38;21:52;6.5;6.9;0.3;0.0;0.3;0.0;3.0;;9.3;22.9;104;27.07
Saint-Quentin;49.85;3.29;28/05/2026;3;P4;Nuageux;31.5;18.6;33.2;17.3;05:46;21:41;6.85;7.0;0.0;0.0;0.0;0.0;0.0;19;13.0;26.3;99;28.22
Saint-Quentin;49.85;3.29;29/05/2026;3;P4;Nuageux;32.4;21.8;33.1;22.1;05:45;21:42;6.75;7.05;0.0;0.0;0.0;0.0;0.0;14;11.2;28.1;193;22.33
Saint-Quentin;49.85;3.29;30/05/2026;3;P4;Nuageux;33.3;21.7;35.1;22.0;05:44;21:44;6.85;7.05;0.0;0.0;0.0;0.0;0.0;35;13.0;28.8;38;25.51
Saint-Quentin;49.85;3.29;31/05/2026;53;P10;Pluie faible;25.4;16.4;26.8;15.2;05:44;21:45;6.35;7.0;0.8;0.9;0.0;0.0;1.0;22;29.2;70.9;274;20.36
Saint-Quentin;49.85;3.29;01/06/2026;3;P4;Nuageux;21.5;12.5;21.3;11.1;05:43;21:46;6.15;7.1;0.0;0.0;0.0;0.0;0.0;10;17.3;33.5;244;19.92
Saint-Quentin;49.85;3.29;02/06/2026;53;P10;Pluie faible;21.1;14.2;19.4;12.3;05:42;21:47;5.0;6.75;5.1;2.4;2.7;0.0;18.0;88;21.3;51.1;241;20.22
Saint-Quentin;49.85;3.29;03/06/2026;61;P10;Pluie;16.8;11.6;15.0;9.6;05:42;21:48;5.05;6.75;16.2;6.3;9.9;0.0;12.0;67;22.1;58.0;208;15.2
Saint-Quentin;49.85;3.29;04/06/2026;53;P10;Pluie faible;16.6;12.5;15.4;8.8;05:41;21:49;5.2;6.75;9.3;2.7;6.6;0.0;18.0;88;28.1;59.4;219;22.01
Saint-Quentin;49.85;3.29;05/06/2026;53;P10;Pluie faible;16.3;11.9;14.3;10.6;05:40;21:50;4.65;6.75;4.8;2.1;2.7;0.0;24.0;62;15.7;37.8;241;19.7
Saint-Quentin;49.85;3.29;06/06/2026;51;P10;Pluie faible;16.0;10.6;14.3;8.4;05:40;21:50;3.95;6.65;2.7;0.6;2.1;0.0;21.0;44;18.3;41.4;222;22.55
Saint-Quentin;49.85;3.29;07/06/2026;61;P10;Pluie;17.5;9.9;16.0;8.8;05:39;21:51;2.75;6.55;9.0;5.7;3.3;0.0;9.0;36;18.8;37.8;68;19.52
Saint-Quentin;49.85;3.29;08/06/2026;61;P10;Pluie;18.0;11.7;16.4;8.3;05:39;21:52;6.6;6.6;14.1;7.2;6.9;0.0;24.0;27;24.9;45.4;325;21.43
Saint-Quentin;49.85;3.29;09/06/2026;51;P10;Pluie faible;14.4;10.9;12.2;9.7;05:39;21:53;5.95;6.7;2.7;2.1;0.6;0.0;18.0;33;17.7;39.2;246;19.13
Saint-Quentin;49.85;3.29;10/06/2026;51;P10;Pluie faible;15.3;10.9;14.3;10.6;05:38;21:53;6.05;6.8;6.6;4.2;2.4;0.0;21.0;35;9.3;31.3;304;15.77
Saint-Quentin;49.85;3.29;11/06/2026;51;P10;Pluie faible;18.3;10.2;18.7;9.1;05:38;21:54;6.35;6.85;0.6;0.0;0.6;0.0;6.0;26;9.9;29.2;269;24.21
Saint-Quentin;49.85;3.29;12/06/2026;53;P10;Pluie faible;25.3;11.4;27.1;10.8;05:38;21:55;6.0;6.9;1.8;0.0;1.8;0.0;6.0;;10.9;23.6;197;25.01
Soissons;49.38;3.32;28/05/2026;3;P4;Nuageux;32.4;18.1;33.9;17.4;05:48;21:39;7.0;7.05;0.0;0.0;0.0;0.0;0.0;20;10.1;24.1;120;28.53
Soissons;49.38;3.32;29/05/2026;3;P4;Nuageux;31.7;20.2;34.0;20.8;05:47;21:40;6.55;7.1;0.0;0.0;0.0;0.0;0.0;8;10.4;24.8;200;26.75
Soissons;49.38;3.32;30/05/2026;3;P4;Nuageux;32.8;21.3;36.2;23.7;05:46;21:41;6.95;7.1;0.0;0.0;0.0;0.0;0.0;35;9.4;22.3;229;26.39
Soissons;49.38;3.32;31/05/2026;65;P11;Pluie;22.9;17.0;21.6;16.3;05:46;21:42;6.2;7.05;12.5;12.3;0.2;0.0;3.0;31;36.4;81.4;286;20.61
Soissons;49.38;3.32;01/06/2026;3;P4;Nuageux;22.9;13.2;22.8;12.5;05:45;21:43;6.35;7.15;0.0;0.0;0.0;0.0;0.0;14;13.6;30.2;251;24.71
Soissons;49.38;3.32;02/06/2026;53;P10;Pluie faible;20.9;15.1;19.7;13.6;05:44;21:44;5.8;6.85;5.4;1.8;3.6;0.0;21.0;94;21.1;45.7;239;20.47
Soissons;49.38;3.32;03/06/2026;55;P10;Pluie faible;18.4;12.0;15.3;10.3;05:44;21:45;5.05;6.8;8.7;2.7;6.0;0.0;12.0;73;24.5;60.1;211;16.66
Soissons;49.38;3.32;04/06/2026;55;P10;Pluie faible;17.5;12.4;15.0;9.1;05:43;21:46;5.15;6.8;11.7;3.6;8.1;0.0;24.0;92;26.3;57.6;220;19.26
Soissons;49.38;3.32;05/06/2026;55;P10;Pluie faible;17.5;11.6;16.2;10.6;05:42;21:47;6.6;6.75;8.1;3.9;4.2;0.0;21.0;60;15.0;37.4;249;19.3
Soissons;49.38;3.32;06/06/2026;51;P10;Pluie faible;15.9;10.7;14.0;8.7;05:42;21:48;4.1;6.7;1.2;0.0;1.2;0.0;12.0;44;16.3;36.4;220;21.28
Soissons;49.38;3.32;07/06/2026;61;P10;Pluie;16.9;9.9;15.4;8.8;05:42;21:49;3.55;6.6;13.8;7.8;6.0;0.0;9.0;29;20.7;39.2;50;16.31
Soissons;49.38;3.32;08/06/2026;61;P10;Pluie;16.8;11.1;15.8;7.6;05:41;21:50;6.35;6.6;20.4;11.1;9.3;0.0;24.0;27;26.9;51.8;312;20.75
Soissons;49.38;3.32;09/06/2026;51;P10;Pluie faible;16.2;10.9;13.9;9.8;05:41;21:50;6.45;6.7;3.6;1.5;2.1;0.0;18.0;25;16.5;36.4;248;19.55
Soissons;49.38;3.32;10/06/2026;55;P10;Pluie faible;14.1;11.4;14.1;10.8;05:40;21:51;6.3;6.85;15.3;6.3;9.0;0.0;24.0;39;8.6;28.1;284;10.44
Soissons;49.38;3.32;11/06/2026;51;P10;Pluie faible;18.7;9.9;18.9;8.4;05:40;21:52;6.25;6.85;1.5;0.9;0.6;0.0;15.0;29;9.9;27.0;266;26.45
Soissons;49.38;3.32;12/06/2026;51;P10;Pluie faible;27.1;11.0;30.8;10.4;05:40;21:52;6.55;6.9;0.6;0.0;0.6;0.0;3.0;;10.1;23.6;105;27.34
Vervins;49.83;3.91;28/05/2026;3;P4;Nuageux;29.4;15.2;31.2;13.8;05:44;21:39;6.85;7.0;0.0;0.0;0.0;0.0;0.0;16;14.8;25.2;80;28.61
Vervins;49.83;3.91;29/05/2026;3;P4;Nuageux;30.2;18.6;32.6;18.1;05:43;21:40;6.7;7.1;0.0;0.0;0.0;0.0;0.0;10;11.9;24.5;155;25.03
Vervins;49.83;3.91;30/05/2026;3;P4;Nuageux;31.1;19.7;34.0;20.5;05:42;21:41;6.75;7.05;0.0;0.0;0.0;0.0;0.0;39;16.2;34.9;115;27.49
