Ville;Latitude;Longitude;Date;Heure;temperature_2m;relativehumidity_2m;dewpoint_2m;apparent_temperature;precipitation_probability;precipitation;rain;showers;snowfall;snow_depth;weathercode;pictogramme;condition_meteo;pressure_msl;surface_pressure;cloudcover;cloudcover_low;cloudcover_mid;cloudcover_high;visibility;evapotranspiration;vapour_pressure_deficit;windspeed_10m;windgusts_10m;winddirection_10m;soil_temperature_0cm;soil_temperature_6cm;soil_temperature_18cm;soil_temperature_54cm;soil_moisture_0_1cm;soil_moisture_1_3cm;soil_moisture_3_9cm;soil_moisture_9_27cm;soil_moisture_27_81cm
Paris;48.85;2.35;28/05/2026;00:00;25.8;52;15.2;26.7;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1022.0;1016.6;0;0;0;0;41200.0;0.03;1.6;6.0;15.1;57;24.6;27.2;29.0;22.0;0.364;0.365;0.366;0.371;0.386
Paris;48.85;2.35;28/05/2026;01:00;24.6;58;15.8;25.9;0;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1021.9;1016.5;100;0;0;100;40460.0;0.02;1.3;5.3;14.0;62;23.8;26.3;28.6;22.0;0.365;0.365;0.367;0.372;0.387
Paris;48.85;2.35;28/05/2026;02:00;24.3;58;15.5;25.6;0;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1021.6;1016.2;84;0;0;84;40500.0;0.02;1.28;4.6;9.7;72;23.3;25.7;28.2;22.1;0.365;0.366;0.367;0.372;0.388
Paris;48.85;2.35;28/05/2026;03:00;23.3;61;15.4;24.9;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1021.5;1016.1;11;0;0;11;40100.0;0.01;1.12;1.5;8.6;76;22.3;25.0;27.7;22.1;0.366;0.366;0.368;0.373;0.388
Paris;48.85;2.35;28/05/2026;04:00;22.6;65;15.7;24.5;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1021.6;1016.2;6;0;0;6;39780.0;-0.0;0.96;0.8;3.2;27;21.6;24.3;27.3;22.1;0.366;0.367;0.368;0.373;0.389
Paris;48.85;2.35;28/05/2026;05:00;22.0;66;15.4;23.4;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1021.5;1016.1;0;0;0;0;39060.0;-0.0;0.9;3.1;5.4;54;20.9;23.6;26.8;22.2;0.351;0.351;0.354;0.359;0.376
Paris;48.85;2.35;28/05/2026;06:00;21.3;68;15.1;22.6;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1021.8;1016.4;0;0;0;0;38420.0;0.01;0.81;2.6;6.5;74;20.3;23.0;26.4;22.2;0.352;0.353;0.355;0.36;0.376
Paris;48.85;2.35;28/05/2026;07:00;21.0;69;15.1;22.1;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1022.3;1016.9;0;0;0;0;32740.0;0.01;0.77;4.3;8.6;90;21.3;22.6;26.0;22.2;0.354;0.354;0.356;0.36;0.376
Paris;48.85;2.35;28/05/2026;08:00;21.4;72;16.2;22.6;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1022.3;1016.9;45;0;0;45;30360.0;0.04;0.72;6.8;14.4;108;24.1;23.2;25.5;22.2;0.355;0.355;0.357;0.361;0.377
Paris;48.85;2.35;28/05/2026;09:00;22.5;67;16.1;23.5;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1022.0;1016.6;16;0;0;16;34680.0;0.07;0.9;7.8;17.3;124;27.1;24.4;25.3;22.2;0.355;0.356;0.358;0.362;0.377
