Ville;Latitude;Longitude;Date;weathercode;pictogramme;condition_meteo;temperature_2m_max;temperature_2m_min;apparent_temperature_max;apparent_temperature_min;sunrise;sunset;uv_index_max;uv_index_clear_sky_max;precipitation_sum;rain_sum;showers_sum;snowfall_sum;precipitation_hours;precipitation_probability_max;windspeed_10m_max;windgusts_10m_max;winddirection_10m_dominant;shortwave_radiation_sum
Angoulême;45.65;0.15;28/05/2026;2;P8;Éclaircies;35.8;15.7;36.4;16.8;06:15;21:37;7.5;7.5;0.0;0.0;0.0;0.0;0.0;5;14.0;27.4;37;29.02
Angoulême;45.65;0.15;29/05/2026;3;P4;Nuageux;35.8;16.0;35.0;16.1;06:15;21:38;7.55;7.55;0.0;0.0;0.0;0.0;0.0;0;15.6;33.1;73;27.82
Angoulême;45.65;0.15;30/05/2026;3;P4;Nuageux;31.2;16.4;34.2;16.1;06:14;21:39;7.55;7.6;0.0;0.0;0.0;0.0;0.0;0;16.5;32.2;239;25.91
Angoulême;45.65;0.15;31/05/2026;3;P4;Nuageux;26.1;17.3;25.2;18.5;06:13;21:40;5.45;7.5;0.0;0.0;0.0;0.0;0.0;0;17.8;33.8;287;20.88
Angoulême;45.65;0.15;01/06/2026;3;P4;Nuageux;25.8;16.0;25.6;17.4;06:13;21:41;7.55;7.6;0.0;0.0;0.0;0.0;0.0;3;17.6;33.1;281;20.03
Angoulême;45.65;0.15;02/06/2026;80;P9;Averses;22.1;15.9;19.1;15.4;06:12;21:41;7.3;7.4;4.5;0.6;3.9;0.0;6.0;65;28.9;52.3;259;20.12
Angoulême;45.65;0.15;03/06/2026;80;P9;Averses;18.8;14.3;17.8;13.5;06:12;21:42;4.5;7.25;1.2;0.0;1.5;0.0;6.0;31;24.5;50.0;215;7.0
Angoulême;45.65;0.15;04/06/2026;80;P9;Averses;22.2;15.3;18.0;14.1;06:11;21:43;4.4;7.15;2.1;0.0;2.1;0.0;9.0;43;33.3;69.8;243;20.43
Angoulême;45.65;0.15;05/06/2026;51;P10;Pluie faible;16.9;11.4;14.7;10.0;06:11;21:44;3.9;7.2;2.85;0.15;2.7;0.0;15.0;38;19.1;48.6;254;22.5
Angoulême;45.65;0.15;06/06/2026;51;P10;Pluie faible;17.8;11.6;16.4;10.2;06:11;21:45;6.35;7.15;3.0;0.6;2.4;0.0;18.0;22;17.0;40.0;210;21.48
Angoulême;45.65;0.15;07/06/2026;55;P10;Pluie faible;14.6;11.4;12.9;9.1;06:10;21:45;5.8;7.0;12.6;3.9;8.7;0.0;21.0;16;26.7;65.2;263;18.15
Angoulême;45.65;0.15;08/06/2026;51;P10;Pluie faible;19.5;10.8;17.6;9.1;06:10;21:46;6.1;7.15;2.4;1.5;0.9;0.0;15.0;14;19.7;54.7;267;26.52
Angoulême;45.65;0.15;09/06/2026;51;P10;Pluie faible;18.4;10.8;17.6;9.8;06:10;21:47;3.85;7.15;0.9;0.3;0.6;0.0;3.0;19;9.2;38.5;192;17.39
Angoulême;45.65;0.15;10/06/2026;53;P10;Pluie faible;19.9;12.7;18.8;12.0;06:09;21:47;7.15;7.3;5.7;0.9;4.8;0.0;21.0;16;18.2;45.4;255;19.72
Angoulême;45.65;0.15;11/06/2026;3;P4;Nuageux;21.3;11.2;22.4;10.8;06:09;21:48;4.15;7.25;0.0;0.0;0.0;0.0;0.0;15;9.2;30.6;18;28.5
Angoulême;45.65;0.15;12/06/2026;1;P2;Éclaircies;31.5;13.3;33.8;11.6;06:09;21:48;7.35;7.35;0.0;0.0;0.0;0.0;0.0;;11.9;23.8;71;29.09
La Rochelle;46.16;-1.15;28/05/2026;3;P4;Nuageux;35.3;20.0;33.0;20.4;06:19;21:44;7.5;7.5;0.0;0.0;0.0;0.0;0.0;0;14.4;28.8;308;28.61
La Rochelle;46.16;-1.15;29/05/2026;3;P4;Nuageux;33.3;24.7;31.7;23.6;06:18;21:45;7.45;7.55;0.0;0.0;0.0;0.0;0.0;0;17.6;32.4;219;26.61
La Rochelle;46.16;-1.15;30/05/2026;3;P4;Nuageux;26.9;22.4;28.5;23.4;06:17;21:46;7.55;7.55;0.0;0.0;0.0;0.0;0.0;0;19.3;36.0;239;27.61
La Rochelle;46.16;-1.15;31/05/2026;3;P4;Nuageux;29.4;21.1;27.0;19.0;06:17;21:47;7.05;7.55;0.0;0.0;0.0;0.0;0.0;3;35.1;57.2;301;25.4
La Rochelle;46.16;-1.15;01/06/2026;3;P4;Nuageux;28.2;19.2;27.0;18.5;06:16;21:48;7.55;7.55;0.0;0.0;0.0;0.0;0.0;5;26.6;44.3;308;27.07
La Rochelle;46.16;-1.15;02/06/2026;53;P10;Pluie faible;19.6;16.9;18.9;14.5;06:16;21:49;6.75;7.35;5.1;1.8;3.3;0.0;18.0;63;27.4;60.1;274;23.27
