Ville;Latitude;Longitude;Date;Heure;temperature_2m;relativehumidity_2m;dewpoint_2m;apparent_temperature;precipitation_probability;precipitation;rain;showers;snowfall;snow_depth;weathercode;pictogramme;condition_meteo;pressure_msl;surface_pressure;cloudcover;cloudcover_low;cloudcover_mid;cloudcover_high;visibility;evapotranspiration;vapour_pressure_deficit;windspeed_10m;windgusts_10m;winddirection_10m;soil_temperature_0cm;soil_temperature_6cm;soil_temperature_18cm;soil_temperature_54cm;soil_moisture_0_1cm;soil_moisture_1_3cm;soil_moisture_3_9cm;soil_moisture_9_27cm;soil_moisture_27_81cm
Angoulême;45.65;0.15;28/05/2026;00:00;24.6;57;15.5;26.3;0;0.0;0.0;0.0;0.0;0.0;2;P8;Éclaircies;1020.0;1007.6;63;0;0;63;40960.0;0.01;1.33;1.5;5.0;315;22.3;26.7;27.6;20.2;0.1;0.16;0.201;0.237;0.261
Angoulême;45.65;0.15;28/05/2026;01:00;23.5;61;15.6;25.2;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1020.3;1007.8;0;0;0;0;40460.0;0.01;1.13;1.3;3.6;56;21.3;25.5;27.3;20.2;0.102;0.159;0.2;0.237;0.261
Angoulême;45.65;0.15;28/05/2026;02:00;21.3;74;16.5;23.2;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1020.5;1007.9;0;0;0;0;37000.0;0.01;0.66;2.6;5.8;74;19.6;24.0;26.8;20.3;0.104;0.159;0.2;0.237;0.261
Angoulême;45.65;0.15;28/05/2026;03:00;19.4;78;15.5;20.8;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1019.9;1007.3;0;0;0;0;29660.0;0.01;0.5;3.0;5.4;76;18.8;23.1;26.4;20.3;0.106;0.159;0.2;0.237;0.261
Angoulême;45.65;0.15;28/05/2026;04:00;18.4;79;14.7;19.6;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1019.9;1007.2;0;0;0;0;24240.0;0.01;0.44;2.3;5.4;72;17.8;22.3;26.0;20.3;0.107;0.158;0.2;0.237;0.261
Angoulême;45.65;0.15;28/05/2026;05:00;16.9;89;15.0;18.1;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1019.5;1006.7;0;0;0;0;15080.0;-0.0;0.21;2.9;4.7;90;17.4;21.7;25.5;20.4;0.117;0.157;0.2;0.236;0.261
Angoulême;45.65;0.15;28/05/2026;06:00;16.1;91;14.6;17.2;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1020.3;1007.5;0;0;0;0;11440.0;-0.0;0.16;2.6;5.8;74;16.5;21.0;25.0;20.4;0.118;0.157;0.2;0.236;0.261
Angoulême;45.65;0.15;28/05/2026;07:00;15.7;93;14.5;16.8;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1020.6;1007.8;17;0;0;17;9400.0;-0.0;0.12;2.5;5.4;90;17.0;20.4;24.6;20.4;0.12;0.157;0.2;0.236;0.262
Angoulême;45.65;0.15;28/05/2026;08:00;17.7;86;15.3;19.1;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1020.5;1007.8;4;0;0;4;13500.0;0.02;0.28;2.2;4.7;81;20.9;20.5;24.1;20.4;0.121;0.157;0.2;0.236;0.262
Angoulême;45.65;0.15;28/05/2026;09:00;21.3;70;15.6;23.0;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1020.6;1008.0;0;0;0;0;23340.0;0.07;0.76;1.3;4.3;34;25.4;21.7;23.8;20.4;0.12;0.157;0.2;0.236;0.262
Angoulême;45.65;0.15;28/05/2026;10:00;25.6;56;16.1;27.4;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1021.1;1008.7;22;0;0;22;36580.0;0.14;1.44;2.1;6.5;31;30.4;23.7;23.6;20.4;0.119;0.157;0.199;0.236;0.261
Angoulême;45.65;0.15;28/05/2026;11:00;28.9;43;15.0;30.6;0;0.0;0.0;0.0;0.0;0.0;2;P8;Éclaircies;1020.7;1008.4;36;0;0;36;42160.0;0.21;2.26;3.1;11.9;36;34.6;26.1;23.6;20.4;0.116;0.156;0.199;0.236;0.261
Angoulême;45.65;0.15;28/05/2026;12:00;32.1;36;15.1;34.4;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1021.1;1009.0;32;0;0;32;43780.0;0.23;3.05;4.7;11.2;23;39.3;28.7;23.8;20.4;0.112;0.156;0.198;0.235;0.261
Angoulême;45.65;0.15;28/05/2026;13:00;33.9;27;12.3;35.4;0;0.0;0.0;0.0;0.0;0.0;2;P8;Éclaircies;1020.4;1008.3;39;0;0;39;47820.0;0.26;3.85;7.3;15.1;20;42.0;31.2;24.2;20.5;0.106;0.156;0.198;0.235;0.261
Angoulême;45.65;0.15;28/05/2026;14:00;34.7;24;11.2;36.1;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1020.1;1008.1;32;0;0;32;50200.0;0.27;4.2;7.9;15.1;24;43.6;33.2;24.8;20.5;0.101;0.156;0.197;0.234;0.261
Angoulême;45.65;0.15;28/05/2026;15:00;35.5;22;10.5;36.4;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1019.5;1007.5;21;0;0;21;52160.0;0.25;4.5;9.4;13.7;23;44.3;34.7;25.4;20.5;0.096;0.155;0.197;0.234;0.261
Angoulême;45.65;0.15;28/05/2026;16:00;35.8;19;8.6;35.8;3;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1019.4;1007.4;1;0;0;1;55360.0;0.23;4.76;9.8;17.6;24;43.7;35.6;26.0;20.5;0.092;0.155;0.197;0.233;0.261
Angoulême;45.65;0.15;28/05/2026;17:00;35.5;21;9.8;34.8;5;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1019.3;1007.3;0;0;0;0;52980.0;0.2;4.55;12.2;24.1;28;41.2;35.7;26.6;20.5;0.088;0.155;0.197;0.233;0.261
Angoulême;45.65;0.15;28/05/2026;18:00;35.3;20;8.9;33.4;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1019.3;1007.3;0;0;0;0;54080.0;0.17;4.56;13.5;24.8;29;39.0;35.3;27.1;20.6;0.085;0.154;0.197;0.232;0.261
Angoulême;45.65;0.15;28/05/2026;19:00;34.6;19;7.6;31.9;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1018.9;1006.9;0;0;0;0;56260.0;0.14;4.44;14.0;27.0;29;35.8;34.4;27.5;20.6;0.083;0.154;0.196;0.232;0.26
Angoulême;45.65;0.15;28/05/2026;20:00;33.7;20;7.6;31.4;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1019.6;1007.5;0;0;0;0;55300.0;0.1;4.17;11.2;27.4;33;32.9;33.2;27.8;20.7;0.083;0.154;0.196;0.232;0.26
Angoulême;45.65;0.15;28/05/2026;21:00;31.6;28;10.9;31.0;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1019.2;1007.1;0;0;0;0;49220.0;0.06;3.35;6.1;20.2;45;28.9;31.6;28.0;20.7;0.083;0.153;0.196;0.232;0.26
Angoulême;45.65;0.15;28/05/2026;22:00;28.5;34;11.1;28.2;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1019.4;1007.1;6;0;0;6;46020.0;0.03;2.57;4.3;10.4;66;25.0;29.7;28.0;20.8;0.084;0.153;0.196;0.232;0.26
