Ville;Latitude;Longitude;Date;weathercode;pictogramme;condition_meteo;temperature_2m_max;temperature_2m_min;apparent_temperature_max;apparent_temperature_min;sunrise;sunset;uv_index_max;uv_index_clear_sky_max;precipitation_sum;rain_sum;showers_sum;snowfall_sum;precipitation_hours;precipitation_probability_max;windspeed_10m_max;windgusts_10m_max;winddirection_10m_dominant;shortwave_radiation_sum
Bayeux;49.28;-0.7;28/05/2026;81;P9;Averses;31.0;20.6;33.2;21.6;06:04;21:55;6.6;7.05;3.1;3.0;0.1;0.0;2.0;5;12.6;34.9;162;22.86
Bayeux;49.28;-0.7;29/05/2026;3;P4;Nuageux;22.2;16.6;24.4;16.5;06:04;21:56;6.1;7.1;0.0;0.0;0.0;0.0;0.0;0;13.1;29.2;343;22.38
Bayeux;49.28;-0.7;30/05/2026;3;P4;Nuageux;21.5;15.3;22.6;13.4;06:03;21:57;6.9;7.05;0.0;0.0;0.0;0.0;0.0;5;15.1;31.7;341;25.46
Bayeux;49.28;-0.7;31/05/2026;3;P4;Nuageux;20.5;13.2;17.9;11.6;06:02;21:58;5.05;7.0;0.0;0.0;0.0;0.0;0.0;15;29.2;49.0;271;16.21
Bayeux;49.28;-0.7;01/06/2026;3;P4;Nuageux;22.6;14.1;20.5;13.5;06:01;21:59;5.6;7.1;0.0;0.0;0.0;0.0;0.0;53;22.7;43.6;236;14.14
Bayeux;49.28;-0.7;02/06/2026;61;P10;Pluie;18.1;14.4;16.3;10.8;06:01;22:00;6.2;6.8;2.25;0.0;2.1;0.0;18.0;60;40.8;73.8;254;19.3
Bayeux;49.28;-0.7;03/06/2026;61;P10;Pluie;19.3;13.1;16.3;10.5;06:00;22:01;2.5;6.6;1.2;0.6;0.6;0.0;6.0;53;34.0;57.6;238;14.7
Bayeux;49.28;-0.7;04/06/2026;3;P4;Nuageux;18.8;14.2;14.8;10.8;05:59;22:02;6.25;6.7;0.0;0.0;0.0;0.0;0.0;55;40.5;70.9;246;21.86
Bayeux;49.28;-0.7;05/06/2026;53;P10;Pluie faible;16.1;10.9;14.6;8.9;05:59;22:03;6.4;6.8;4.2;1.2;3.0;0.0;12.0;60;23.4;41.9;249;24.04
Bayeux;49.28;-0.7;06/06/2026;51;P10;Pluie faible;16.6;10.1;15.6;7.3;05:58;22:04;4.95;6.7;1.5;0.3;1.2;0.0;15.0;39;17.5;37.1;218;25.8
Bayeux;49.28;-0.7;07/06/2026;51;P10;Pluie faible;14.9;9.9;13.2;8.3;05:58;22:04;6.55;6.6;2.1;0.3;1.8;0.0;21.0;28;18.1;34.6;10;13.53
Bayeux;49.28;-0.7;08/06/2026;53;P10;Pluie faible;15.9;12.1;15.6;9.6;05:58;22:05;6.65;6.65;8.4;1.8;6.6;0.0;12.0;27;17.6;34.6;288;22.57
Bayeux;49.28;-0.7;09/06/2026;53;P10;Pluie faible;13.1;10.5;12.5;8.5;05:57;22:06;4.95;6.75;6.6;3.6;3.0;0.0;12.0;27;13.3;29.5;238;8.61
Bayeux;49.28;-0.7;10/06/2026;51;P10;Pluie faible;16.5;9.6;15.7;8.5;05:57;22:07;5.95;6.85;0.6;0.6;0.0;0.0;6.0;37;16.9;35.3;303;27.76
Bayeux;49.28;-0.7;11/06/2026;3;P4;Nuageux;18.2;10.8;16.7;9.0;05:57;22:07;5.75;6.8;0.0;0.0;0.0;0.0;0.0;29;16.3;34.6;245;19.58
Bayeux;49.28;-0.7;12/06/2026;2;P8;Éclaircies;24.0;11.9;25.1;10.8;05:56;22:08;6.7;6.9;0.0;0.0;0.0;0.0;0.0;;17.5;28.4;98;28.05
Caen;49.18;-0.37;28/05/2026;80;P9;Averses;33.1;20.8;34.9;22.7;06:04;21:53;6.95;7.05;0.2;0.0;0.2;0.0;2.0;10;10.8;24.8;177;22.56
Caen;49.18;-0.37;29/05/2026;3;P4;Nuageux;25.1;17.8;27.8;17.7;06:03;21:54;6.05;7.1;0.0;0.0;0.0;0.0;0.0;3;11.5;27.0;351;23.53
Caen;49.18;-0.37;30/05/2026;3;P4;Nuageux;24.9;16.2;27.8;15.6;06:02;21:55;6.8;7.05;0.0;0.0;0.0;0.0;0.0;3;14.8;31.0;336;25.56
Caen;49.18;-0.37;31/05/2026;3;P4;Nuageux;21.4;13.5;19.2;12.2;06:01;21:56;5.9;7.05;0.0;0.0;0.0;0.0;0.0;13;24.9;50.0;278;16.44
Caen;49.18;-0.37;01/06/2026;3;P4;Nuageux;23.0;14.3;21.2;14.1;06:00;21:57;6.25;7.15;0.3;0.0;0.3;0.0;3.0;53;17.8;39.2;236;14.67
Caen;49.18;-0.37;02/06/2026;80;P9;Averses;19.3;14.8;17.7;11.9;06:00;21:58;5.05;6.85;2.4;0.0;2.25;0.0;15.0;60;35.4;73.8;254;20.88
Caen;49.18;-0.37;03/06/2026;80;P9;Averses;20.4;13.4;17.3;11.0;05:59;21:59;1.8;6.6;0.9;0.3;0.6;0.0;6.0;57;27.2;54.7;237;16.58
Caen;49.18;-0.37;04/06/2026;3;P4;Nuageux;19.9;14.5;16.0;11.5;05:59;22:00;6.45;6.8;0.0;0.0;0.0;0.0;0.0;60;34.9;64.1;245;21.05
Caen;49.18;-0.37;05/06/2026;51;P10;Pluie faible;16.0;11.6;15.1;10.0;05:58;22:01;6.4;6.75;2.4;1.2;1.2;0.0;12.0;62;19.7;38.2;252;23.64
