Ville;Latitude;Longitude;Date;weathercode;pictogramme;condition_meteo;temperature_2m_max;temperature_2m_min;apparent_temperature_max;apparent_temperature_min;sunrise;sunset;uv_index_max;uv_index_clear_sky_max;precipitation_sum;rain_sum;showers_sum;snowfall_sum;precipitation_hours;precipitation_probability_max;windspeed_10m_max;windgusts_10m_max;winddirection_10m_dominant;shortwave_radiation_sum
Barcelonnette;44.38;6.65;28/05/2026;81;P9;Averses;27.4;13.0;27.2;12.4;05:54;21:06;7.75;8.0;5.3;5.2;0.1;0.0;2.0;88;23.0;45.0;214;23.46
Barcelonnette;44.38;6.65;29/05/2026;96;P10;Orageux;24.4;10.7;25.2;10.2;05:53;21:07;8.0;8.0;2.7;2.3;0.3;0.0;5.0;100;21.3;39.6;109;18.95
Barcelonnette;44.38;6.65;30/05/2026;95;P10;Orageux;23.9;10.4;24.1;9.4;05:53;21:08;7.15;8.0;1.3;1.0;0.2;0.0;4.0;75;17.9;38.9;256;21.71
Barcelonnette;44.38;6.65;31/05/2026;3;P4;Nuageux;25.7;13.2;25.8;12.8;05:52;21:09;8.05;8.05;0.4;0.0;0.4;0.0;4.0;18;18.3;40.0;244;27.57
Barcelonnette;44.38;6.65;01/06/2026;3;P4;Nuageux;24.9;12.8;25.7;12.4;05:52;21:10;7.8;8.05;0.0;0.0;0.0;0.0;0.0;6;14.4;32.0;246;29.05
Barcelonnette;44.38;6.65;02/06/2026;80;P9;Averses;21.3;11.7;20.3;10.9;05:51;21:11;6.6;8.0;4.2;0.3;3.9;0.0;3.0;35;15.6;69.8;277;21.34
Barcelonnette;44.38;6.65;03/06/2026;3;P4;Nuageux;20.4;9.7;20.4;8.5;05:51;21:12;7.8;7.8;0.0;0.0;0.0;0.0;0.0;40;10.5;30.2;319;29.17
Barcelonnette;44.38;6.65;04/06/2026;63;P10;Pluie;18.8;12.0;18.1;10.2;05:50;21:12;7.4;7.8;19.8;18.6;0.9;0.0;9.0;26;11.5;38.9;246;17.22
Barcelonnette;44.38;6.65;05/06/2026;71;P12;Neige;17.3;10.0;17.1;8.8;05:50;21:13;5.0;7.7;21.9;13.95;7.35;0.42;15.0;33;11.7;83.5;263;29.16
Barcelonnette;44.38;6.65;06/06/2026;53;P10;Pluie faible;13.4;7.7;13.0;6.9;05:50;21:14;7.7;7.85;6.6;1.2;5.4;0.0;12.0;35;10.1;53.6;230;25.04
Barcelonnette;44.38;6.65;07/06/2026;71;P12;Neige;18.7;6.2;17.9;3.7;05:49;21:14;7.6;7.8;8.7;3.0;5.4;0.21;9.0;22;15.8;79.6;182;28.73
Barcelonnette;44.38;6.65;08/06/2026;71;P12;Neige;11.8;4.6;9.5;1.6;05:49;21:15;7.8;7.8;1.5;0.0;0.6;1.05;15.0;17;15.0;69.1;289;19.69
Barcelonnette;44.38;6.65;09/06/2026;51;P10;Pluie faible;18.1;4.1;17.4;1.7;05:49;21:16;7.8;7.8;1.2;0.0;1.2;0.0;9.0;37;10.4;49.3;196;29.62
Barcelonnette;44.38;6.65;10/06/2026;53;P10;Pluie faible;12.0;8.1;11.8;7.1;05:48;21:16;6.8;7.75;9.0;3.0;6.0;0.0;15.0;35;8.1;61.6;255;21.86
Barcelonnette;44.38;6.65;11/06/2026;3;P4;Nuageux;20.4;6.3;19.8;5.2;05:48;21:17;7.5;7.85;0.0;0.0;0.0;0.0;0.0;43;9.1;45.0;325;31.87
Barcelonnette;44.38;6.65;12/06/2026;3;P4;Nuageux;25.7;8.4;26.6;6.9;05:48;21:17;7.55;7.85;0.0;0.0;0.0;0.0;0.0;;16.9;29.9;289;29.6
Digne-les-Bains;44.09;6.23;28/05/2026;3;P4;Nuageux;31.4;16.6;31.6;16.5;05:57;21:07;7.7;7.7;0.0;0.0;0.0;0.0;0.0;43;25.5;48.6;54;26.57
Digne-les-Bains;44.09;6.23;29/05/2026;95;P10;Orageux;28.7;14.9;29.6;14.0;05:56;21:08;7.3;7.55;7.1;6.7;0.4;0.0;2.0;85;23.9;63.4;78;21.3
Digne-les-Bains;44.09;6.23;30/05/2026;80;P9;Averses;28.6;14.3;29.0;13.8;05:56;21:09;7.5;7.7;0.2;0.03;0.18;0.0;3.0;28;14.2;25.9;293;25.37
Digne-les-Bains;44.09;6.23;31/05/2026;80;P9;Averses;29.7;13.3;31.2;13.7;05:55;21:10;7.65;7.65;0.8;0.0;0.8;0.0;3.0;10;15.8;36.0;260;27.18
Digne-les-Bains;44.09;6.23;01/06/2026;3;P4;Nuageux;28.5;14.1;29.0;14.3;05:54;21:11;7.35;7.7;0.0;0.0;0.0;0.0;0.0;3;12.0;29.2;298;28.44
Digne-les-Bains;44.09;6.23;02/06/2026;45;brouillards;Brouillard;24.8;12.9;24.6;13.1;05:54;21:11;5.1;7.65;0.6;0.0;0.3;0.0;3.0;21;20.7;47.2;298;21.47
Digne-les-Bains;44.09;6.23;03/06/2026;1;P2;Éclaircies;23.8;13.6;20.3;12.8;05:54;21:12;7.4;7.4;0.0;0.0;0.0;0.0;0.0;23;27.2;54.4;316;29.91
Digne-les-Bains;44.09;6.23;04/06/2026;63;P10;Pluie;21.7;10.7;20.9;8.8;05:53;21:13;7.35;7.5;29.7;28.2;1.8;0.0;9.0;8;10.5;22.3;181;16.05
Digne-les-Bains;44.09;6.23;05/06/2026;63;P10;Pluie;20.6;13.7;19.8;12.9;05:53;21:14;7.25;7.45;25.05;15.45;9.6;0.0;9.0;21;15.7;47.2;282;28.68
Digne-les-Bains;44.09;6.23;06/06/2026;51;P10;Pluie faible;19.8;10.6;19.0;9.5;05:52;21:14;7.2;7.45;0.9;0.0;0.9;0.0;9.0;16;14.5;43.9;218;27.5
Digne-les-Bains;44.09;6.23;07/06/2026;61;P10;Pluie;22.9;10.6;21.0;9.3;05:52;21:15;7.3;7.4;8.7;1.2;7.5;0.0;9.0;10;21.1;57.2;143;27.38
Digne-les-Bains;44.09;6.23;08/06/2026;1;P2;Éclaircies;17.0;8.0;12.9;6.5;05:52;21:16;7.4;7.4;0.0;0.0;0.0;0.0;0.0;9;25.9;64.4;311;22.79
Digne-les-Bains;44.09;6.23;09/06/2026;3;P4;Nuageux;21.0;6.9;20.9;4.8;05:51;21:16;7.4;7.4;0.0;0.0;0.0;0.0;0.0;20;10.9;47.9;255;30.47
Digne-les-Bains;44.09;6.23;10/06/2026;55;P10;Pluie faible;20.8;11.4;20.9;10.5;05:51;21:17;7.45;7.5;6.6;0.6;6.0;0.0;6.0;25;8.0;28.8;351;25.3
Digne-les-Bains;44.09;6.23;11/06/2026;3;P4;Nuageux;22.1;9.6;22.5;8.8;05:51;21:17;7.25;7.5;0.0;0.0;0.0;0.0;0.0;26;11.8;34.2;308;30.3
Digne-les-Bains;44.09;6.23;12/06/2026;3;P4;Nuageux;32.0;12.0;32.7;10.9;05:51;21:18;7.4;7.5;0.0;0.0;0.0;0.0;0.0;;12.3;20.9;236;29.24
Forcalquier;43.96;5.78;28/05/2026;3;P4;Nuageux;31.3;16.5;33.2;15.7;05:59;21:08;7.65;7.65;0.0;0.0;0.0;0.0;0.0;23;20.5;39.2;201;26.44
Forcalquier;43.96;5.78;29/05/2026;99;P10;Orageux;28.3;16.0;29.0;12.0;05:58;21:09;7.65;7.65;15.8;15.6;0.2;0.0;2.0;78;51.4;96.1;330;20.26
Forcalquier;43.96;5.78;30/05/2026;3;P4;Nuageux;28.5;15.5;30.1;15.1;05:58;21:10;7.2;7.65;0.0;0.0;0.0;0.0;0.0;25;13.4;27.6;281;25.75
Forcalquier;43.96;5.78;31/05/2026;3;P4;Nuageux;31.0;14.8;32.6;14.8;05:57;21:11;7.4;7.65;0.2;0.0;0.2;0.0;2.0;5;19.1;39.2;302;26.73
Forcalquier;43.96;5.78;01/06/2026;3;P4;Nuageux;29.8;17.5;30.8;17.3;05:57;21:12;7.25;7.7;0.0;0.0;0.0;0.0;0.0;1;16.8;36.4;298;28.32
Forcalquier;43.96;5.78;02/06/2026;3;P4;Nuageux;24.3;14.0;23.9;12.9;05:56;21:13;3.65;7.65;0.3;0.0;0.3;0.0;3.0;23;24.1;55.8;303;20.34
Forcalquier;43.96;5.78;03/06/2026;1;P2;Éclaircies;22.8;14.7;18.5;11.7;05:56;21:13;7.4;7.4;0.0;0.0;0.0;0.0;0.0;25;33.1;76.0;331;30.44
Forcalquier;43.96;5.78;04/06/2026;80;P9;Averses;21.0;12.2;20.1;10.2;05:55;21:14;7.4;7.45;31.2;27.6;3.3;0.0;12.0;15;13.8;52.6;316;12.91
Forcalquier;43.96;5.78;05/06/2026;63;P10;Pluie;20.0;13.7;18.6;12.4;05:55;21:15;7.45;7.45;30.6;14.1;16.5;0.0;9.0;21;18.8;44.8;298;28.66
Forcalquier;43.96;5.78;06/06/2026;55;P10;Pluie faible;19.1;12.0;19.0;9.9;05:55;21:16;7.3;7.45;5.1;0.3;4.8;0.0;15.0;14;13.4;38.5;265;27.29
Forcalquier;43.96;5.78;07/06/2026;61;P10;Pluie;19.2;10.9;17.1;7.4;05:54;21:16;7.4;7.4;12.9;2.1;10.8;0.0;15.0;8;26.5;63.0;166;24.28
Forcalquier;43.96;5.78;08/06/2026;51;P10;Pluie faible;16.9;8.9;13.6;5.6;05:54;21:17;7.4;7.4;0.6;0.6;0.0;0.0;6.0;5;24.4;61.6;312;25.24
Forcalquier;43.96;5.78;09/06/2026;51;P10;Pluie faible;20.5;11.7;21.0;8.2;05:54;21:18;7.4;7.4;0.3;0.0;0.3;0.0;3.0;12;18.4;45.4;293;30.55
Forcalquier;43.96;5.78;10/06/2026;53;P10;Pluie faible;20.4;12.3;21.8;11.8;05:53;21:18;7.4;7.5;3.6;1.5;2.1;0.0;12.0;14;8.0;34.6;277;26.13
Forcalquier;43.96;5.78;11/06/2026;51;P10;Pluie faible;21.6;11.4;21.6;9.0;05:53;21:19;7.05;7.45;0.3;0.3;0.0;0.0;3.0;25;16.9;37.1;336;30.57
Forcalquier;43.96;5.78;12/06/2026;3;P4;Nuageux;31.5;13.0;30.9;11.7;05:53;21:19;7.4;7.5;0.0;0.0;0.0;0.0;0.0;;24.2;26.6;270;29.11
Briançon;44.89;6.64;28/05/2026;80;P9;Averses;28.7;11.8;28.7;9.3;05:52;21:08;8.0;8.0;0.1;0.0;0.1;0.0;1.0;65;20.7;69.5;79;28.39
Briançon;44.89;6.64;29/05/2026;80;P9;Averses;26.0;11.8;25.2;10.6;05:52;21:09;7.9;7.9;0.5;0.3;0.2;0.0;4.0;88;13.5;43.2;43;24.71
Briançon;44.89;6.64;30/05/2026;80;P9;Averses;24.8;11.0;24.0;9.7;05:51;21:10;7.1;8.0;0.57;0.1;0.47;0.0;4.0;60;13.1;40.0;175;22.9
Briançon;44.89;6.64;31/05/2026;80;P9;Averses;24.9;12.0;25.0;11.1;05:50;21:11;7.95;7.95;1.0;0.0;1.0;0.0;3.0;9;13.3;33.5;17;25.62
Briançon;44.89;6.64;01/06/2026;3;P4;Nuageux;25.2;11.9;25.0;10.8;05:50;21:12;7.6;8.05;0.0;0.0;0.0;0.0;0.0;3;9.6;20.9;4;29.55
Briançon;44.89;6.64;02/06/2026;80;P9;Averses;20.4;10.9;17.9;8.7;05:49;21:13;6.3;7.95;2.7;1.8;0.9;0.0;3.0;39;20.5;44.3;242;20.83
Briançon;44.89;6.64;03/06/2026;2;P8;Éclaircies;17.7;8.9;16.7;6.9;05:49;21:13;7.7;7.7;0.0;0.0;0.0;0.0;0.0;45;12.4;25.9;6;28.63
Briançon;44.89;6.64;04/06/2026;63;P10;Pluie;18.4;8.7;16.8;6.8;05:48;21:14;7.7;7.8;18.0;17.4;0.6;0.0;9.0;40;13.1;30.6;173;18.96
Briançon;44.89;6.64;05/06/2026;75;P12;Neige;15.2;6.3;14.8;4.7;05:48;21:15;7.45;7.75;31.2;11.85;11.25;5.67;15.0;41;7.0;40.3;21;26.94
Briançon;44.89;6.64;06/06/2026;51;P10;Pluie faible;15.2;6.9;13.3;5.6;05:48;21:16;7.7;7.75;2.1;1.5;0.6;0.0;15.0;29;11.8;50.8;186;24.87
Briançon;44.89;6.64;07/06/2026;55;P10;Pluie faible;19.4;6.9;16.1;5.4;05:47;21:16;7.7;7.7;7.5;4.2;3.3;0.0;12.0;25;20.2;79.9;188;23.92
Briançon;44.89;6.64;08/06/2026;71;P12;Neige;12.5;5.0;10.1;2.7;05:47;21:17;7.65;7.65;1.8;0.9;0.3;0.42;15.0;17;11.4;57.6;311;22.48
Briançon;44.89;6.64;09/06/2026;2;P8;Éclaircies;18.4;3.9;16.6;1.7;05:47;21:18;7.7;7.7;0.0;0.0;0.0;0.0;0.0;31;12.0;50.4;220;30.61
Briançon;44.89;6.64;10/06/2026;53;P10;Pluie faible;14.2;9.1;12.4;7.5;05:47;21:18;7.55;7.75;3.9;1.2;2.7;0.0;15.0;33;10.4;55.4;176;22.41
Briançon;44.89;6.64;11/06/2026;51;P10;Pluie faible;18.5;7.1;18.3;5.5;05:46;21:19;7.55;7.75;0.3;0.0;0.3;0.0;3.0;33;7.7;36.4;315;31.34
Briançon;44.89;6.64;12/06/2026;3;P4;Nuageux;25.0;6.3;24.1;4.8;05:46;21:19;5.9;7.75;0.0;0.0;0.0;0.0;0.0;;9.2;25.3;298;20.7
Étoile-Saint-Cyrice;44.31;5.63;28/05/2026;3;P4;Nuageux;29.0;13.1;31.6;12.5;05:58;21:10;7.7;7.7;0.0;0.0;0.0;0.0;0.0;10;13.2;28.1;318;28.84
Étoile-Saint-Cyrice;44.31;5.63;29/05/2026;81;P9;Averses;26.7;13.1;28.3;12.9;05:58;21:11;7.3;7.65;4.4;4.4;0.0;0.0;2.0;95;17.8;36.0;278;25.32
