Ville;Latitude;Longitude;Date;Heure;temperature_2m;relativehumidity_2m;dewpoint_2m;apparent_temperature;precipitation_probability;precipitation;rain;showers;snowfall;snow_depth;weathercode;pictogramme;condition_meteo;pressure_msl;surface_pressure;cloudcover;cloudcover_low;cloudcover_mid;cloudcover_high;visibility;evapotranspiration;vapour_pressure_deficit;windspeed_10m;windgusts_10m;winddirection_10m;soil_temperature_0cm;soil_temperature_6cm;soil_temperature_18cm;soil_temperature_54cm;soil_moisture_0_1cm;soil_moisture_1_3cm;soil_moisture_3_9cm;soil_moisture_9_27cm;soil_moisture_27_81cm
Barcelonnette;44.38;6.65;28/05/2026;00:00;14.9;73;10.1;14.6;0;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1021.8;892.7;100;0;0;100;38160.0;-0.0;0.46;2.4;3.6;153;14.0;17.1;18.8;14.5;0.074;0.112;0.142;0.176;0.227
Barcelonnette;44.38;6.65;28/05/2026;01:00;14.7;75;10.4;14.3;0;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1022.2;892.9;100;0;0;100;37420.0;-0.0;0.42;3.6;4.7;143;13.7;16.3;18.3;14.5;0.074;0.112;0.142;0.175;0.227
Barcelonnette;44.38;6.65;28/05/2026;02:00;14.4;77;10.4;14.1;0;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1022.1;892.7;100;0;0;100;36480.0;-0.0;0.38;2.7;5.4;157;13.0;15.8;17.9;14.6;0.074;0.112;0.142;0.175;0.227
Barcelonnette;44.38;6.65;28/05/2026;03:00;13.8;78;10.0;13.4;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1021.3;891.8;3;0;0;3;36340.0;-0.0;0.35;2.6;4.7;146;12.2;15.2;17.4;14.6;0.074;0.112;0.142;0.175;0.227
Barcelonnette;44.38;6.65;28/05/2026;04:00;14.0;72;9.1;13.4;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1021.1;891.7;46;0;0;46;38660.0;-0.0;0.45;2.9;4.0;150;11.6;14.5;16.9;14.6;0.074;0.111;0.142;0.175;0.227
Barcelonnette;44.38;6.65;28/05/2026;05:00;13.7;73;9.0;13.0;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1020.6;891.1;0;0;0;0;38480.0;-0.0;0.42;3.6;4.0;180;11.3;14.0;16.5;14.6;0.087;0.112;0.142;0.168;0.22
Barcelonnette;44.38;6.65;28/05/2026;06:00;13.5;73;8.8;12.7;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1021.0;891.4;0;0;0;0;38340.0;-0.0;0.42;3.9;5.0;158;11.0;13.5;16.0;14.6;0.088;0.112;0.142;0.168;0.22
Barcelonnette;44.38;6.65;28/05/2026;07:00;14.7;72;9.7;14.3;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1021.2;892.1;0;0;0;0;38500.0;-0.0;0.47;2.6;5.0;146;13.4;13.5;15.6;14.6;0.088;0.112;0.142;0.168;0.22
Barcelonnette;44.38;6.65;28/05/2026;08:00;15.9;69;10.3;15.9;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1021.0;892.4;0;0;0;0;34020.0;0.02;0.56;1.0;2.9;45;17.5;14.7;15.4;14.6;0.088;0.112;0.142;0.168;0.22
Barcelonnette;44.38;6.65;28/05/2026;09:00;18.7;62;11.3;19.0;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1020.1;892.7;0;0;0;0;39540.0;0.13;0.82;0.8;3.2;297;21.0;16.5;15.4;14.6;0.087;0.111;0.141;0.168;0.22
