Ville;Latitude;Longitude;Date;weathercode;pictogramme;condition_meteo;temperature_2m_max;temperature_2m_min;apparent_temperature_max;apparent_temperature_min;sunrise;sunset;uv_index_max;uv_index_clear_sky_max;precipitation_sum;rain_sum;showers_sum;snowfall_sum;precipitation_hours;precipitation_probability_max;windspeed_10m_max;windgusts_10m_max;winddirection_10m_dominant;shortwave_radiation_sum
Blain;47.47;-1.76;28/05/2026;3;P4;Nuageux;34.4;15.0;35.0;16.4;06:16;21:51;7.2;7.3;0.0;0.0;0.0;0.0;0.0;0;15.7;22.7;204;27.94
Blain;47.47;-1.76;29/05/2026;3;P4;Nuageux;33.2;19.4;34.1;19.1;06:15;21:52;6.9;7.4;0.0;0.0;0.0;0.0;0.0;0;22.1;37.1;14;24.79
Blain;47.47;-1.76;30/05/2026;3;P4;Nuageux;29.9;17.8;29.6;16.2;06:15;21:53;7.35;7.35;0.0;0.0;0.0;0.0;0.0;3;18.4;35.3;3;26.7
Blain;47.47;-1.76;31/05/2026;3;P4;Nuageux;26.4;17.2;25.3;15.2;06:14;21:54;6.05;7.3;0.0;0.0;0.0;0.0;0.0;13;20.9;41.0;303;24.18
Blain;47.47;-1.76;01/06/2026;3;P4;Nuageux;27.1;17.0;27.5;16.6;06:13;21:55;7.1;7.35;0.0;0.0;0.0;0.0;0.0;23;18.9;40.7;253;27.02
Blain;47.47;-1.76;02/06/2026;53;P10;Pluie faible;20.3;15.1;18.4;13.2;06:13;21:56;5.0;7.2;3.6;1.8;1.8;0.0;12.0;55;26.5;55.8;259;25.71
Blain;47.47;-1.76;03/06/2026;61;P10;Pluie;17.2;12.9;13.9;11.5;06:12;21:57;0.95;6.85;11.4;8.7;2.7;0.0;15.0;39;34.2;70.2;228;11.85
Blain;47.47;-1.76;04/06/2026;61;P10;Pluie;17.5;11.8;16.8;10.6;06:12;21:58;6.9;7.0;13.2;2.4;10.8;0.0;24.0;40;26.0;64.8;256;17.19
Blain;47.47;-1.76;05/06/2026;51;P10;Pluie faible;17.0;10.6;15.1;9.3;06:11;21:59;4.65;6.95;1.5;0.0;1.5;0.0;15.0;42;20.9;47.5;256;23.97
Blain;47.47;-1.76;06/06/2026;53;P10;Pluie faible;17.0;9.6;16.0;7.6;06:11;22:00;5.85;6.95;6.9;2.1;4.8;0.0;15.0;45;15.8;46.8;200;25.68
Blain;47.47;-1.76;07/06/2026;61;P10;Pluie;12.8;11.1;11.3;9.7;06:10;22:01;6.4;6.8;26.7;15.3;11.4;0.0;21.0;35;15.1;36.7;226;6.28
Blain;47.47;-1.76;08/06/2026;51;P10;Pluie faible;17.6;10.4;16.5;8.2;06:10;22:01;6.6;6.9;3.0;1.2;1.8;0.0;12.0;39;18.8;47.2;271;25.24
Blain;47.47;-1.76;09/06/2026;61;P10;Pluie;13.5;11.1;13.7;10.1;06:10;22:02;2.35;6.95;10.5;6.0;4.5;0.0;15.0;29;11.2;38.9;207;6.71
Blain;47.47;-1.76;10/06/2026;61;P10;Pluie;18.5;11.2;17.4;9.8;06:09;22:03;6.0;7.1;5.1;3.0;2.1;0.0;15.0;23;15.4;34.9;350;26.66
Blain;47.47;-1.76;11/06/2026;3;P4;Nuageux;19.8;9.8;19.8;8.8;06:09;22:03;4.15;7.05;0.0;0.0;0.0;0.0;0.0;29;8.2;25.9;219;23.98
Blain;47.47;-1.76;12/06/2026;1;P2;Éclaircies;30.4;12.1;32.2;11.0;06:09;22:04;7.2;7.2;0.0;0.0;0.0;0.0;0.0;29;21.3;38.9;27;28.98
Châteaubriant;47.71;-1.37;28/05/2026;3;P4;Nuageux;34.9;18.9;34.8;19.7;06:14;21:51;7.0;7.3;0.0;0.0;0.0;0.0;0.0;0;10.7;22.3;106;27.72
Châteaubriant;47.71;-1.37;29/05/2026;3;P4;Nuageux;32.4;19.3;33.4;19.5;06:13;21:52;6.75;7.35;0.0;0.0;0.0;0.0;0.0;0;18.8;35.6;6;25.36
Châteaubriant;47.71;-1.37;30/05/2026;3;P4;Nuageux;29.4;18.4;29.3;16.3;06:12;21:53;6.9;7.3;0.0;0.0;0.0;0.0;0.0;3;22.5;37.7;355;26.22
Châteaubriant;47.71;-1.37;31/05/2026;3;P4;Nuageux;27.2;16.6;26.2;14.4;06:12;21:54;6.25;7.3;0.0;0.0;0.0;0.0;0.0;8;20.6;35.6;335;23.35
Châteaubriant;47.71;-1.37;01/06/2026;3;P4;Nuageux;28.5;16.2;28.2;15.2;06:11;21:55;7.25;7.35;0.0;0.0;0.0;0.0;0.0;25;20.3;39.1;272;27.12
Châteaubriant;47.71;-1.37;02/06/2026;51;P10;Pluie faible;20.0;15.1;18.9;13.6;06:10;21:56;5.65;7.15;4.5;3.3;1.2;0.0;15.0;53;21.4;45.0;257;24.11
Châteaubriant;47.71;-1.37;03/06/2026;61;P10;Pluie;17.8;12.1;13.3;11.1;06:10;21:57;0.7;6.8;8.7;5.4;3.3;0.0;12.0;43;33.9;70.9;220;13.33
Châteaubriant;47.71;-1.37;04/06/2026;61;P10;Pluie;16.1;11.9;14.9;10.4;06:09;21:58;6.6;6.95;11.4;2.7;8.7;0.0;15.0;45;26.5;63.0;250;16.48
Châteaubriant;47.71;-1.37;05/06/2026;51;P10;Pluie faible;17.2;10.1;15.7;8.9;06:09;21:58;4.0;6.9;1.8;0.3;1.5;0.0;15.0;36;17.1;47.9;255;24.0
Châteaubriant;47.71;-1.37;06/06/2026;53;P10;Pluie faible;16.3;8.9;15.0;7.2;06:08;21:59;5.5;6.95;7.2;2.1;5.1;0.0;15.0;48;13.7;38.9;201;23.4
Châteaubriant;47.71;-1.37;07/06/2026;61;P10;Pluie;12.4;10.6;11.1;9.2;06:08;22:00;6.8;6.8;26.1;19.8;6.3;0.0;24.0;33;17.5;33.8;320;5.0
Châteaubriant;47.71;-1.37;08/06/2026;53;P10;Pluie faible;18.6;10.0;17.8;7.4;06:07;22:01;6.2;6.9;6.6;1.5;5.1;0.0;18.0;32;18.8;41.4;286;24.51
Châteaubriant;47.71;-1.37;09/06/2026;61;P10;Pluie;13.4;10.3;12.9;9.6;06:07;22:01;4.4;6.9;12.0;6.6;5.4;0.0;18.0;29;6.6;29.9;188;7.22
