Ville;Latitude;Longitude;Date;Heure;temperature_2m;relativehumidity_2m;dewpoint_2m;apparent_temperature;precipitation_probability;precipitation;rain;showers;snowfall;snow_depth;weathercode;pictogramme;condition_meteo;pressure_msl;surface_pressure;cloudcover;cloudcover_low;cloudcover_mid;cloudcover_high;visibility;evapotranspiration;vapour_pressure_deficit;windspeed_10m;windgusts_10m;winddirection_10m;soil_temperature_0cm;soil_temperature_6cm;soil_temperature_18cm;soil_temperature_54cm;soil_moisture_0_1cm;soil_moisture_1_3cm;soil_moisture_3_9cm;soil_moisture_9_27cm;soil_moisture_27_81cm
Blain;47.47;-1.76;28/05/2026;00:00;19.3;87;17.1;20.1;0;0.0;0.0;0.0;0.0;0.0;2;P8;Éclaircies;1020.2;1018.4;79;0;100;0;34320.0;-0.0;0.29;7.6;5.4;135;17.8;22.1;23.4;17.7;0.123;0.125;0.145;0.162;0.181
Blain;47.47;-1.76;28/05/2026;01:00;18.5;88;16.4;19.0;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1020.5;1018.7;0;0;100;0;30480.0;-0.0;0.25;8.9;7.6;238;16.9;21.0;23.1;17.7;0.125;0.126;0.144;0.162;0.181
Blain;47.47;-1.76;28/05/2026;02:00;17.5;95;16.6;18.6;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1020.5;1018.7;30;0;100;0;30480.0;-0.0;0.1;9.9;9.7;251;15.6;20.1;22.7;17.8;0.106;0.11;0.149;0.17;0.189
Blain;47.47;-1.76;28/05/2026;03:00;16.9;96;16.3;17.8;0;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1020.5;1018.7;99;0;100;0;30480.0;0.0;0.08;3.7;16.9;331;15.2;19.4;22.3;17.8;0.109;0.112;0.148;0.17;0.189
Blain;47.47;-1.76;28/05/2026;04:00;15.8;97;15.3;17.0;0;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1020.3;1018.5;100;2;100;0;30480.0;0.0;0.05;3.0;1.8;194;14.7;18.9;21.8;17.8;0.112;0.115;0.148;0.17;0.189
Blain;47.47;-1.76;28/05/2026;05:00;15.7;98;15.3;16.4;0;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1020.4;1018.6;100;5;100;0;30480.0;-0.0;0.04;4.7;5.8;113;14.4;18.4;21.4;17.8;0.114;0.117;0.148;0.17;0.189
Blain;47.47;-1.76;28/05/2026;06:00;15.5;97;15.0;16.7;0;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1020.5;1018.7;100;7;100;0;26740.0;-0.0;0.05;4.1;3.2;15;15.2;18.0;21.0;17.9;0.117;0.119;0.148;0.17;0.189
Blain;47.47;-1.76;28/05/2026;07:00;15.0;100;15.0;16.5;0;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1020.3;1018.5;100;21;100;0;30480.0;0.0;0.0;0.5;4.7;315;16.1;17.7;20.6;17.9;0.119;0.121;0.147;0.17;0.189
Blain;47.47;-1.76;28/05/2026;08:00;16.8;99;16.6;18.1;0;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1020.9;1019.1;100;100;100;0;30480.0;0.01;0.02;6.6;7.6;45;19.5;18.2;20.3;17.9;0.121;0.124;0.15;0.17;0.189
Blain;47.47;-1.76;28/05/2026;09:00;19.4;91;17.8;21.1;0;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1020.7;1018.9;100;2;100;0;34340.0;0.06;0.2;8.3;11.9;56;23.0;19.5;20.1;17.9;0.122;0.126;0.15;0.17;0.189
