Ville;Latitude;Longitude;Date;weathercode;pictogramme;condition_meteo;temperature_2m_max;temperature_2m_min;apparent_temperature_max;apparent_temperature_min;sunrise;sunset;uv_index_max;uv_index_clear_sky_max;precipitation_sum;rain_sum;showers_sum;snowfall_sum;precipitation_hours;precipitation_probability_max;windspeed_10m_max;windgusts_10m_max;winddirection_10m_dominant;shortwave_radiation_sum
Rians;43.6026;5.734;28/05/2026;3;P4;Nuageux;32.1;17.1;34.0;17.9;06:00;21:07;7.65;7.65;0.0;0.0;0.0;0.0;0.0;3;15.4;27.4;136;28.6
Rians;43.6026;5.734;29/05/2026;3;P4;Nuageux;29.0;16.2;31.6;17.1;06:00;21:08;7.6;7.6;0.0;0.0;0.0;0.0;0.0;63;12.6;22.0;104;23.64
Rians;43.6026;5.734;30/05/2026;45;brouillards;Brouillard;29.9;16.7;31.8;18.3;05:59;21:09;7.4;7.65;0.08;0.0;0.08;0.0;2.0;43;13.6;24.8;273;24.43
Rians;43.6026;5.734;31/05/2026;3;P4;Nuageux;32.5;16.5;32.9;17.9;05:59;21:10;7.35;7.6;0.2;0.0;0.2;0.0;2.0;10;18.8;38.5;295;26.72
Rians;43.6026;5.734;01/06/2026;3;P4;Nuageux;29.8;18.6;29.1;18.8;05:58;21:11;7.0;7.65;0.0;0.0;0.0;0.0;0.0;3;26.4;54.7;279;27.98
Rians;43.6026;5.734;02/06/2026;3;P4;Nuageux;26.1;16.2;24.0;16.5;05:58;21:12;4.75;7.6;0.0;0.0;0.0;0.0;0.0;18;25.1;65.9;287;22.97
Rians;43.6026;5.734;03/06/2026;2;P8;Éclaircies;25.3;15.6;20.9;12.4;05:57;21:12;7.35;7.35;0.0;0.0;0.0;0.0;0.0;20;32.3;74.5;305;29.63
Rians;43.6026;5.734;04/06/2026;80;P9;Averses;22.3;15.0;21.1;13.6;05:57;21:13;7.3;7.4;7.5;4.8;2.4;0.0;9.0;8;25.0;54.0;251;11.77
Rians;43.6026;5.734;05/06/2026;61;P10;Pluie;20.9;14.4;18.8;14.1;05:56;21:14;7.4;7.4;14.7;5.25;9.45;0.0;9.0;18;23.3;55.8;276;29.03
Rians;43.6026;5.734;06/06/2026;51;P10;Pluie faible;21.4;12.9;20.7;11.8;05:56;21:15;6.85;7.35;0.3;0.0;0.3;0.0;3.0;8;11.1;39.2;249;25.86
Rians;43.6026;5.734;07/06/2026;53;P10;Pluie faible;22.1;12.7;20.7;8.8;05:56;21:15;6.85;7.35;5.1;1.2;3.9;0.0;15.0;4;23.2;55.8;152;25.69
