Ville;Latitude;Longitude;Date;Heure;temperature_2m;relativehumidity_2m;dewpoint_2m;apparent_temperature;precipitation_probability;precipitation;rain;showers;snowfall;snow_depth;weathercode;pictogramme;condition_meteo;pressure_msl;surface_pressure;cloudcover;cloudcover_low;cloudcover_mid;cloudcover_high;visibility;evapotranspiration;vapour_pressure_deficit;windspeed_10m;windgusts_10m;winddirection_10m;soil_temperature_0cm;soil_temperature_6cm;soil_temperature_18cm;soil_temperature_54cm;soil_moisture_0_1cm;soil_moisture_1_3cm;soil_moisture_3_9cm;soil_moisture_9_27cm;soil_moisture_27_81cm
Rians;43.6026;5.734;28/05/2026;00:00;20.0;60;12.0;19.7;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1018.5;972.2;41;0;0;41;39300.0;0.01;0.94;6.8;13.3;238;17.8;22.2;23.1;17.9;0.078;0.132;0.182;0.195;0.223
Rians;43.6026;5.734;28/05/2026;01:00;18.5;68;12.5;18.5;0;0.0;0.0;0.0;0.0;0.0;2;P8;Éclaircies;1018.7;972.2;78;0;0;78;37340.0;0.01;0.68;4.8;10.4;243;16.5;21.3;22.9;18.0;0.078;0.132;0.182;0.195;0.223
Rians;43.6026;5.734;28/05/2026;02:00;17.6;77;13.5;18.2;0;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1018.1;971.4;78;0;0;78;34020.0;0.01;0.46;3.5;7.2;246;15.7;20.5;22.6;18.0;0.08;0.132;0.182;0.195;0.223
Rians;43.6026;5.734;28/05/2026;03:00;17.3;79;13.6;18.0;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1017.6;970.9;32;0;0;32;32020.0;-0.0;0.41;2.6;5.4;254;14.7;19.8;22.2;18.0;0.081;0.132;0.182;0.195;0.223
Rians;43.6026;5.734;28/05/2026;04:00;17.1;80;13.6;18.0;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1017.4;970.7;53;0;0;53;30160.0;-0.0;0.39;1.8;2.9;307;13.8;19.1;21.9;18.0;0.082;0.132;0.182;0.195;0.223
Rians;43.6026;5.734;28/05/2026;05:00;17.1;81;13.8;18.0;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1016.5;969.8;0;0;0;0;31800.0;-0.0;0.37;2.2;2.2;9;13.7;18.5;21.5;18.0;0.084;0.133;0.187;0.204;0.226
Rians;43.6026;5.734;28/05/2026;06:00;17.1;81;13.8;17.9;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1016.9;970.2;0;0;0;0;31980.0;-0.0;0.37;2.8;3.6;50;13.6;18.0;21.2;18.0;0.085;0.133;0.186;0.204;0.226
Rians;43.6026;5.734;28/05/2026;07:00;17.6;81;14.3;18.5;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1017.4;970.8;0;0;0;0;30620.0;-0.0;0.38;3.4;4.7;58;16.8;17.8;20.8;18.1;0.086;0.133;0.186;0.204;0.226
Rians;43.6026;5.734;28/05/2026;08:00;19.2;82;16.1;20.9;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1017.5;971.1;0;0;0;0;27100.0;0.02;0.4;2.7;5.0;67;22.6;18.7;20.5;18.1;0.087;0.133;0.186;0.204;0.226
Rians;43.6026;5.734;28/05/2026;09:00;22.5;67;16.0;24.2;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1017.7;971.8;0;0;0;0;37260.0;0.1;0.9;2.6;6.5;74;26.8;20.3;20.4;18.1;0.087;0.133;0.186;0.203;0.226
