Ville;Latitude;Longitude;Date;weathercode;pictogramme;condition_meteo;temperature_2m_max;temperature_2m_min;apparent_temperature_max;apparent_temperature_min;sunrise;sunset;uv_index_max;uv_index_clear_sky_max;precipitation_sum;rain_sum;showers_sum;snowfall_sum;precipitation_hours;precipitation_probability_max;windspeed_10m_max;windgusts_10m_max;winddirection_10m_dominant;shortwave_radiation_sum
St-Cyr;43.17;5.7055;28/05/2026;3;P4;Nuageux;28.3;18.1;30.3;19.3;06:02;21:06;7.6;7.6;0.0;0.0;0.0;0.0;0.0;0;9.8;22.0;258;28.35
St-Cyr;43.17;5.7055;29/05/2026;3;P4;Nuageux;29.4;18.7;28.3;21.5;06:01;21:07;7.65;7.65;0.0;0.0;0.0;0.0;0.0;15;21.7;45.0;127;26.25
St-Cyr;43.17;5.7055;30/05/2026;3;P4;Nuageux;28.1;21.2;27.6;21.4;06:01;21:08;7.65;7.65;0.0;0.0;0.0;0.0;0.0;15;12.4;25.9;240;26.79
St-Cyr;43.17;5.7055;31/05/2026;3;P4;Nuageux;29.0;22.9;31.8;24.2;06:00;21:09;7.6;7.6;0.0;0.0;0.0;0.0;0.0;10;13.3;25.2;222;28.29
St-Cyr;43.17;5.7055;01/06/2026;3;P4;Nuageux;27.0;22.1;29.9;20.9;06:00;21:09;7.3;7.6;0.0;0.0;0.0;0.0;0.0;3;16.7;49.3;236;27.88
St-Cyr;43.17;5.7055;02/06/2026;61;P10;Pluie;22.5;18.8;25.0;19.4;05:59;21:10;3.45;7.65;5.1;3.3;1.8;0.0;6.0;16;21.4;41.0;244;19.83
St-Cyr;43.17;5.7055;03/06/2026;2;P8;Éclaircies;22.5;18.3;21.1;15.9;05:59;21:11;7.35;7.35;0.0;0.0;0.0;0.0;0.0;18;29.0;64.4;287;30.01
St-Cyr;43.17;5.7055;04/06/2026;63;P10;Pluie;22.5;17.1;25.1;18.1;05:58;21:12;7.4;7.4;9.6;2.4;7.2;0.0;3.0;9;17.9;47.2;160;26.1
St-Cyr;43.17;5.7055;05/06/2026;63;P10;Pluie;21.0;16.8;19.7;14.8;05:58;21:12;7.4;7.4;18.0;3.0;15.0;0.0;9.0;8;25.8;59.8;284;28.81
St-Cyr;43.17;5.7055;06/06/2026;2;P8;Éclaircies;19.9;16.1;20.4;15.3;05:58;21:13;6.2;7.4;0.0;0.0;0.0;0.0;0.0;13;15.2;50.8;247;26.59
St-Cyr;43.17;5.7055;07/06/2026;51;P10;Pluie faible;20.6;15.6;20.2;10.8;05:57;21:14;6.1;7.35;2.4;1.2;1.2;0.0;12.0;12;27.8;66.2;118;23.12
St-Cyr;43.17;5.7055;08/06/2026;2;P8;Éclaircies;20.9;13.4;16.9;9.0;05:57;21:14;7.3;7.4;0.0;0.0;0.0;0.0;0.0;13;31.0;72.4;298;25.88
St-Cyr;43.17;5.7055;09/06/2026;3;P4;Nuageux;21.1;15.1;21.3;12.0;05:57;21:15;7.4;7.4;0.0;0.0;0.0;0.0;0.0;13;20.9;52.6;292;29.8
St-Cyr;43.17;5.7055;10/06/2026;1;P2;Éclaircies;20.1;14.4;21.8;14.7;05:57;21:16;7.45;7.45;0.0;0.0;0.0;0.0;0.0;3;11.4;36.4;259;27.5
St-Cyr;43.17;5.7055;11/06/2026;2;P8;Éclaircies;24.2;15.7;22.9;13.7;05:56;21:16;7.3;7.45;0.0;0.0;0.0;0.0;0.0;6;20.4;61.2;322;29.59
St-Cyr;43.17;5.7055;12/06/2026;3;P4;Nuageux;29.0;17.0;28.9;15.7;05:56;21:17;6.45;7.45;0.0;0.0;0.0;0.0;0.0;13;13.2;40.0;216;25.12
Bandol;43.147;5.7488;28/05/2026;3;P4;Nuageux;27.8;17.5;29.7;18.1;06:02;21:06;7.6;7.6;0.0;0.0;0.0;0.0;0.0;0;10.3;23.8;199;28.42
Bandol;43.147;5.7488;29/05/2026;3;P4;Nuageux;28.6;18.5;26.9;20.3;06:01;21:07;7.65;7.65;0.0;0.0;0.0;0.0;0.0;3;22.8;43.2;115;26.61
Bandol;43.147;5.7488;30/05/2026;3;P4;Nuageux;28.5;20.5;27.7;20.8;06:01;21:07;7.65;7.65;0.0;0.0;0.0;0.0;0.0;0;12.4;27.4;264;26.82
Bandol;43.147;5.7488;31/05/2026;3;P4;Nuageux;27.2;20.9;31.1;22.8;06:00;21:08;7.6;7.6;0.0;0.0;0.0;0.0;0.0;0;11.9;20.5;250;28.16
Bandol;43.147;5.7488;01/06/2026;3;P4;Nuageux;26.4;20.1;29.0;21.4;06:00;21:09;7.3;7.6;0.0;0.0;0.0;0.0;0.0;0;17.2;45.7;196;25.76
Bandol;43.147;5.7488;02/06/2026;61;P10;Pluie;23.4;20.0;26.0;20.8;05:59;21:10;3.45;7.65;5.7;3.9;1.8;0.0;12.0;16;16.0;34.9;261;19.36
Bandol;43.147;5.7488;03/06/2026;3;P4;Nuageux;23.9;18.1;23.4;16.6;05:59;21:11;7.35;7.35;0.0;0.0;0.0;0.0;0.0;18;25.7;57.2;289;30.33
Bandol;43.147;5.7488;04/06/2026;63;P10;Pluie;24.1;17.3;26.6;18.2;05:58;21:11;7.4;7.4;10.2;3.0;7.2;0.0;3.0;9;12.5;43.2;202;26.59
Bandol;43.147;5.7488;05/06/2026;81;P9;Averses;21.9;17.2;20.8;16.0;05:58;21:12;7.4;7.4;18.6;3.0;15.6;0.0;9.0;8;24.2;52.9;282;29.03
Bandol;43.147;5.7488;06/06/2026;2;P8;Éclaircies;20.8;16.1;21.5;15.4;05:58;21:13;6.2;7.4;0.0;0.0;0.0;0.0;0.0;13;12.9;45.4;251;27.26
Bandol;43.147;5.7488;07/06/2026;51;P10;Pluie faible;21.1;15.5;21.5;11.3;05:57;21:14;6.1;7.35;2.4;0.0;2.4;0.0;12.0;12;24.3;57.6;115;24.06
Bandol;43.147;5.7488;08/06/2026;1;P2;Éclaircies;21.3;13.0;17.7;9.2;05:57;21:14;7.3;7.4;0.0;0.0;0.0;0.0;0.0;13;30.4;66.2;299;26.4
Bandol;43.147;5.7488;09/06/2026;3;P4;Nuageux;22.5;15.7;22.9;12.1;05:57;21:15;7.4;7.4;0.0;0.0;0.0;0.0;0.0;13;20.9;48.6;296;30.07
Bandol;43.147;5.7488;10/06/2026;1;P2;Éclaircies;20.9;14.6;22.9;14.8;05:57;21:15;7.45;7.45;0.0;0.0;0.0;0.0;0.0;3;13.0;36.0;269;28.23
Bandol;43.147;5.7488;11/06/2026;2;P8;Éclaircies;25.4;16.4;25.5;15.2;05:56;21:16;7.3;7.45;0.0;0.0;0.0;0.0;0.0;6;15.0;48.2;325;29.82
Bandol;43.147;5.7488;12/06/2026;3;P4;Nuageux;28.7;18.8;28.6;17.4;05:56;21:16;6.45;7.45;0.0;0.0;0.0;0.0;0.0;13;13.0;27.0;195;25.27
Sanary;43.1374;5.7951;28/05/2026;3;P4;Nuageux;29.0;17.2;29.2;18.1;06:02;21:06;7.6;7.6;0.0;0.0;0.0;0.0;0.0;0;16.2;28.4;247;28.34
Sanary;43.1374;5.7951;29/05/2026;3;P4;Nuageux;27.9;18.2;26.0;19.4;06:01;21:06;7.65;7.65;0.0;0.0;0.0;0.0;0.0;3;24.0;46.8;111;26.87
Sanary;43.1374;5.7951;30/05/2026;3;P4;Nuageux;28.5;19.9;28.1;19.9;06:00;21:07;7.65;7.65;0.0;0.0;0.0;0.0;0.0;0;13.4;28.1;262;26.81
Sanary;43.1374;5.7951;31/05/2026;3;P4;Nuageux;27.3;21.0;31.2;22.9;06:00;21:08;7.6;7.6;0.0;0.0;0.0;0.0;0.0;0;11.9;20.5;250;28.16
Sanary;43.1374;5.7951;01/06/2026;3;P4;Nuageux;26.4;20.2;29.1;21.4;05:59;21:09;7.3;7.6;0.0;0.0;0.0;0.0;0.0;0;19.6;56.9;203;25.71
Sanary;43.1374;5.7951;02/06/2026;61;P10;Pluie;22.9;19.9;24.3;20.5;05:59;21:10;3.45;7.65;7.5;4.5;3.0;0.0;9.0;16;15.3;42.5;257;18.55
Sanary;43.1374;5.7951;03/06/2026;51;P10;Pluie faible;22.2;18.9;20.2;16.9;05:59;21:11;7.35;7.35;0.6;0.3;0.3;0.0;3.0;18;32.1;75.6;278;30.16
Sanary;43.1374;5.7951;04/06/2026;63;P10;Pluie;22.8;18.1;25.8;18.1;05:58;21:11;7.4;7.4;9.6;4.2;5.4;0.0;3.0;9;15.1;55.8;235;26.67
Sanary;43.1374;5.7951;05/06/2026;81;P9;Averses;20.5;17.7;19.7;15.8;05:58;21:12;7.4;7.4;15.6;4.8;10.8;0.0;9.0;8;29.0;68.8;265;28.88
Sanary;43.1374;5.7951;06/06/2026;2;P8;Éclaircies;20.0;16.8;21.0;15.7;05:57;21:13;6.2;7.4;0.0;0.0;0.0;0.0;0.0;13;18.3;59.0;252;27.94
Sanary;43.1374;5.7951;07/06/2026;51;P10;Pluie faible;21.0;16.6;21.5;11.6;05:57;21:13;6.1;7.35;1.8;0.6;1.2;0.0;6.0;12;28.1;68.8;95;25.64
Sanary;43.1374;5.7951;08/06/2026;1;P2;Éclaircies;21.4;14.0;17.7;9.3;05:57;21:14;7.3;7.4;0.0;0.0;0.0;0.0;0.0;13;32.9;79.9;289;26.5
Sanary;43.1374;5.7951;09/06/2026;3;P4;Nuageux;21.3;16.3;21.0;12.5;05:57;21:15;7.4;7.4;0.0;0.0;0.0;0.0;0.0;13;25.5;58.7;279;29.97
Sanary;43.1374;5.7951;10/06/2026;1;P2;Éclaircies;20.5;15.5;22.2;15.4;05:56;21:15;7.45;7.45;0.0;0.0;0.0;0.0;0.0;3;14.6;45.7;267;28.63
Sanary;43.1374;5.7951;11/06/2026;3;P4;Nuageux;25.8;17.2;26.2;15.7;05:56;21:16;7.3;7.45;0.0;0.0;0.0;0.0;0.0;4;13.3;51.8;290;29.77
Sanary;43.1374;5.7951;12/06/2026;3;P4;Nuageux;28.8;18.2;28.7;17.1;05:56;21:16;6.45;7.45;0.0;0.0;0.0;0.0;0.0;14;13.0;27.4;221;25.25
SIX-FOURS;43.113;5.8461;28/05/2026;3;P4;Nuageux;29.3;18.5;30.5;18.8;06:02;21:05;7.6;7.6;0.0;0.0;0.0;0.0;0.0;0;17.1;29.2;173;28.36
SIX-FOURS;43.113;5.8461;29/05/2026;3;P4;Nuageux;27.1;18.6;26.1;20.5;06:01;21:06;7.6;7.6;0.0;0.0;0.0;0.0;0.0;3;29.2;52.9;112;27.02
SIX-FOURS;43.113;5.8461;30/05/2026;3;P4;Nuageux;29.9;19.0;29.7;21.3;06:00;21:07;7.65;7.65;0.0;0.0;0.0;0.0;0.0;0;13.9;30.6;260;26.94
SIX-FOURS;43.113;5.8461;31/05/2026;3;P4;Nuageux;27.6;21.3;31.6;23.3;06:00;21:08;7.6;7.6;0.0;0.0;0.0;0.0;0.0;0;11.9;20.5;250;28.16
SIX-FOURS;43.113;5.8461;01/06/2026;3;P4;Nuageux;26.7;20.5;29.5;21.0;05:59;21:09;6.65;7.6;0.0;0.0;0.0;0.0;0.0;0;19.6;56.9;203;25.71
SIX-FOURS;43.113;5.8461;02/06/2026;61;P10;Pluie;22.6;19.6;23.8;20.0;05:59;21:09;4.9;7.65;7.5;4.5;3.0;0.0;9.0;16;15.3;42.5;257;18.55
SIX-FOURS;43.113;5.8461;03/06/2026;51;P10;Pluie faible;21.9;18.5;19.7;16.5;05:58;21:10;7.35;7.35;0.6;0.3;0.3;0.0;3.0;18;32.1;75.6;278;30.16
SIX-FOURS;43.113;5.8461;04/06/2026;63;P10;Pluie;22.5;17.8;25.4;17.7;05:58;21:11;7.4;7.4;9.6;4.2;5.4;0.0;3.0;9;15.1;55.8;235;26.67
SIX-FOURS;43.113;5.8461;05/06/2026;81;P9;Averses;20.2;17.4;19.2;15.4;05:58;21:12;7.4;7.4;15.6;4.8;10.8;0.0;9.0;8;29.0;68.8;265;28.88
SIX-FOURS;43.113;5.8461;06/06/2026;2;P8;Éclaircies;19.6;16.5;20.6;15.3;05:57;21:12;6.05;7.35;0.0;0.0;0.0;0.0;0.0;13;18.3;59.0;252;27.94
SIX-FOURS;43.113;5.8461;07/06/2026;51;P10;Pluie faible;20.6;16.2;21.0;11.2;05:57;21:13;6.05;7.35;1.8;0.6;1.2;0.0;6.0;12;28.1;68.8;95;25.64
