Ville;Latitude;Longitude;Date;Heure;temperature_2m;relativehumidity_2m;dewpoint_2m;apparent_temperature;precipitation_probability;precipitation;rain;showers;snowfall;snow_depth;weathercode;pictogramme;condition_meteo;pressure_msl;surface_pressure;cloudcover;cloudcover_low;cloudcover_mid;cloudcover_high;visibility;evapotranspiration;vapour_pressure_deficit;windspeed_10m;windgusts_10m;winddirection_10m;soil_temperature_0cm;soil_temperature_6cm;soil_temperature_18cm;soil_temperature_54cm;soil_moisture_0_1cm;soil_moisture_1_3cm;soil_moisture_3_9cm;soil_moisture_9_27cm;soil_moisture_27_81cm
St-Cyr;43.17;5.7055;28/05/2026;00:00;21.2;68;15.1;22.0;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1017.9;1012.5;20;0;100;0;41900.0;0.02;0.81;5.1;6.1;231;20.7;25.0;26.8;21.7;0.077;0.141;0.191;0.251;0.309
St-Cyr;43.17;5.7055;28/05/2026;01:00;20.7;76;16.4;21.8;0;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1017.6;1012.2;100;0;100;0;41900.0;0.02;0.59;9.5;12.6;261;19.6;24.2;26.5;21.7;0.079;0.141;0.191;0.251;0.309
St-Cyr;43.17;5.7055;28/05/2026;02:00;20.0;89;18.1;21.6;0;0.0;0.0;0.0;0.0;0.0;3;P4;Nuageux;1017.3;1011.8;100;0;100;0;38160.0;0.02;0.26;5.4;7.2;262;17.3;23.4;26.2;21.8;0.077;0.138;0.191;0.259;0.317
St-Cyr;43.17;5.7055;28/05/2026;03:00;18.9;98;18.6;21.9;0;0.0;0.0;0.0;0.0;0.0;2;P8;Éclaircies;1016.6;1011.1;52;0;76;0;38160.0;0.01;0.04;1.3;8.6;326;16.6;22.9;25.8;21.8;0.079;0.138;0.191;0.259;0.317
St-Cyr;43.17;5.7055;28/05/2026;04:00;18.4;98;18.1;22.0;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1016.6;1011.1;5;2;0;0;38160.0;0.01;0.04;6.9;2.5;51;16.8;22.4;25.4;21.8;0.08;0.138;0.191;0.259;0.317
St-Cyr;43.17;5.7055;28/05/2026;05:00;18.1;97;17.7;19.3;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1016.5;1011.0;0;0;0;0;35340.0;0.02;0.06;9.8;6.1;54;16.9;22.1;25.1;21.8;0.081;0.138;0.191;0.259;0.317
St-Cyr;43.17;5.7055;28/05/2026;06:00;18.3;93;17.1;19.4;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1016.5;1011.0;0;0;0;0;35340.0;0.02;0.15;8.9;12.6;58;16.8;21.8;24.8;21.8;0.082;0.138;0.191;0.259;0.317
St-Cyr;43.17;5.7055;28/05/2026;07:00;18.3;81;15.0;19.9;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1017.1;1011.6;0;0;0;0;38160.0;0.02;0.4;5.7;11.5;35;19.1;21.7;24.5;21.8;0.083;0.137;0.192;0.259;0.317
St-Cyr;43.17;5.7055;28/05/2026;08:00;20.7;65;13.9;21.6;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1017.4;1012.0;0;0;0;0;38160.0;0.04;0.85;2.5;4.7;360;24.0;22.6;24.2;21.8;0.084;0.137;0.192;0.259;0.317
St-Cyr;43.17;5.7055;28/05/2026;09:00;23.3;57;14.3;23.0;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1017.5;1012.1;0;0;0;0;38160.0;0.08;1.23;3.1;9.0;291;27.6;24.3;24.1;21.8;0.085;0.137;0.192;0.259;0.317
St-Cyr;43.17;5.7055;28/05/2026;10:00;24.9;55;15.3;24.0;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1017.1;1011.7;0;0;0;0;35340.0;0.15;1.42;6.8;13.7;245;29.6;26.1;24.1;21.8;0.084;0.137;0.192;0.259;0.317
St-Cyr;43.17;5.7055;28/05/2026;11:00;25.5;61;17.5;25.4;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1017.3;1011.9;0;0;0;0;38160.0;0.17;1.28;8.6;16.9;237;31.4;27.6;24.3;21.8;0.083;0.137;0.191;0.259;0.317
St-Cyr;43.17;5.7055;28/05/2026;12:00;24.3;71;18.7;25.7;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1016.9;1011.5;1;0;0;0;38160.0;0.19;0.88;8.1;21.2;225;32.8;29.3;24.5;21.9;0.082;0.137;0.191;0.258;0.316
St-Cyr;43.17;5.7055;28/05/2026;13:00;24.5;70;18.7;25.9;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1017.1;1011.7;0;0;0;0;3740.0;0.21;0.92;7.4;22.0;231;33.8;31.0;24.8;21.9;0.08;0.137;0.191;0.258;0.316
