Ville;Latitude;Longitude;Date;weathercode;pictogramme;condition_meteo;temperature_2m_max;temperature_2m_min;apparent_temperature_max;apparent_temperature_min;sunrise;sunset;uv_index_max;uv_index_clear_sky_max;precipitation_sum;rain_sum;showers_sum;snowfall_sum;precipitation_hours;precipitation_probability_max;windspeed_10m_max;windgusts_10m_max;winddirection_10m_dominant;shortwave_radiation_sum
Avignon;43.9416;4.8333;28/05/2026;1;P2;Éclaircies;34.7;22.0;33.5;19.1;06:03;21:12;7.55;7.55;0.0;0.0;0.0;0.0;0.0;0;31.7;52.2;349;28.74
Avignon;43.9416;4.8333;29/05/2026;1;P2;Éclaircies;32.7;17.5;35.0;18.1;06:02;21:13;7.55;7.55;0.0;0.0;0.0;0.0;0.0;30;24.3;40.7;214;27.83
Avignon;43.9416;4.8333;30/05/2026;45;brouillards;Brouillard;33.0;17.8;34.5;20.2;06:02;21:14;6.75;7.55;0.0;0.0;0.0;0.0;0.0;0;19.9;33.8;221;25.55
Avignon;43.9416;4.8333;31/05/2026;45;brouillards;Brouillard;33.6;18.0;33.9;20.4;06:01;21:15;7.45;7.5;0.1;0.0;0.1;0.0;1.0;3;23.6;43.9;348;25.2
Avignon;43.9416;4.8333;01/06/2026;3;P4;Nuageux;29.5;21.0;27.4;17.5;06:00;21:16;7.4;7.6;0.0;0.0;0.0;0.0;0.0;0;30.9;60.1;344;26.54
Avignon;43.9416;4.8333;02/06/2026;3;P4;Nuageux;27.8;18.7;25.6;19.2;06:00;21:16;3.75;7.5;0.3;0.0;0.3;0.0;3.0;21;22.5;42.1;305;17.72
Avignon;43.9416;4.8333;03/06/2026;2;P8;Éclaircies;27.0;16.4;23.5;15.3;06:00;21:17;7.25;7.25;0.0;0.0;0.0;0.0;0.0;23;28.8;54.0;339;25.87
Avignon;43.9416;4.8333;04/06/2026;80;P9;Averses;24.7;13.9;24.5;13.4;05:59;21:18;7.35;7.35;11.4;9.6;1.8;0.0;9.0;14;12.8;23.8;263;9.8
Avignon;43.9416;4.8333;05/06/2026;51;P10;Pluie faible;22.6;16.2;23.1;15.3;05:59;21:19;7.3;7.3;19.8;10.2;9.6;0.0;9.0;20;14.8;42.5;315;27.13
Avignon;43.9416;4.8333;06/06/2026;51;P10;Pluie faible;21.8;15.8;21.6;14.7;05:58;21:19;6.8;7.3;1.5;0.6;0.9;0.0;9.0;16;14.0;34.6;240;25.6
Avignon;43.9416;4.8333;07/06/2026;61;P10;Pluie;18.3;14.9;17.7;13.7;05:58;21:20;7.25;7.25;17.1;5.4;11.7;0.0;21.0;8;24.5;73.1;174;17.02
Avignon;43.9416;4.8333;08/06/2026;51;P10;Pluie faible;21.4;12.0;19.4;10.3;05:58;21:21;7.25;7.25;0.6;0.6;0.0;0.0;6.0;8;19.9;47.5;307;26.67
Avignon;43.9416;4.8333;09/06/2026;51;P10;Pluie faible;22.5;13.6;24.4;11.6;05:58;21:21;7.25;7.25;0.3;0.0;0.3;0.0;3.0;6;15.9;34.9;311;27.75
Avignon;43.9416;4.8333;10/06/2026;51;P10;Pluie faible;22.6;14.8;23.8;15.5;05:57;21:22;7.3;7.35;1.5;0.0;1.5;0.0;15.0;7;9.7;34.2;108;21.36
Avignon;43.9416;4.8333;11/06/2026;2;P8;Éclaircies;21.5;14.4;18.4;11.6;05:57;21:22;6.95;7.3;0.0;0.0;0.0;0.0;0.0;10;30.5;65.9;351;29.57
Avignon;43.9416;4.8333;12/06/2026;2;P8;Éclaircies;33.5;14.7;32.5;12.2;05:57;21:23;6.85;7.35;0.0;0.0;0.0;0.0;0.0;;25.4;54.7;290;27.42
Carpentras;44.0629;5.0584;28/05/2026;1;P2;Éclaircies;34.6;15.6;35.2;16.3;06:02;21:12;7.6;7.6;0.0;0.0;0.0;0.0;0.0;0;26.9;43.9;352;28.67
Carpentras;44.0629;5.0584;29/05/2026;3;P4;Nuageux;32.5;15.7;34.1;15.8;06:01;21:12;7.6;7.6;0.0;0.0;0.0;0.0;0.0;38;17.8;58.7;195;26.43
