Ville;Latitude;Longitude;Date;Heure;temperature_2m;relativehumidity_2m;dewpoint_2m;apparent_temperature;precipitation_probability;precipitation;rain;showers;snowfall;snow_depth;weathercode;pictogramme;condition_meteo;pressure_msl;surface_pressure;cloudcover;cloudcover_low;cloudcover_mid;cloudcover_high;visibility;evapotranspiration;vapour_pressure_deficit;windspeed_10m;windgusts_10m;winddirection_10m;soil_temperature_0cm;soil_temperature_6cm;soil_temperature_18cm;soil_temperature_54cm;soil_moisture_0_1cm;soil_moisture_1_3cm;soil_moisture_3_9cm;soil_moisture_9_27cm;soil_moisture_27_81cm
Avignon;43.9416;4.8333;28/05/2026;00:00;23.6;53;13.5;24.0;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1017.7;1015.4;0;0;0;0;41540.0;0.04;1.37;5.1;10.4;315;20.9;24.4;25.5;20.3;0.084;0.118;0.158;0.198;0.254
Avignon;43.9416;4.8333;28/05/2026;01:00;22.0;60;13.9;22.6;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1018.0;1015.6;31;0;0;31;38280.0;0.03;1.06;4.1;6.8;15;19.7;23.4;25.2;20.3;0.087;0.118;0.158;0.198;0.254
Avignon;43.9416;4.8333;28/05/2026;02:00;22.9;52;12.6;21.9;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1017.5;1015.2;3;0;0;3;36120.0;0.03;1.34;12.2;10.1;346;20.9;23.1;24.9;20.4;0.088;0.117;0.158;0.198;0.254
Avignon;43.9416;4.8333;28/05/2026;03:00;23.1;50;12.1;21.4;0;0.0;0.0;0.0;0.0;0.0;1;P2;Éclaircies;1017.0;1014.7;13;0;0;13;38420.0;0.05;1.42;16.5;25.9;344;21.2;22.8;24.6;20.4;0.089;0.117;0.158;0.198;0.254
Avignon;43.9416;4.8333;28/05/2026;04:00;22.8;52;12.5;20.7;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1016.7;1014.4;1;0;0;1;38100.0;0.06;1.34;19.7;31.7;345;21.1;22.6;24.3;20.4;0.09;0.117;0.157;0.198;0.253
Avignon;43.9416;4.8333;28/05/2026;05:00;22.6;55;13.1;19.7;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1016.2;1013.9;0;0;0;0;35980.0;0.05;1.24;27.2;36.0;345;21.0;22.7;24.1;20.4;0.112;0.129;0.161;0.195;0.252
Avignon;43.9416;4.8333;28/05/2026;06:00;22.3;56;13.1;19.3;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1016.3;1014.0;0;0;0;0;35340.0;0.06;1.18;27.3;45.0;342;20.7;22.4;23.8;20.5;0.112;0.129;0.161;0.195;0.252
Avignon;43.9416;4.8333;28/05/2026;07:00;22.2;57;13.3;19.1;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1016.7;1014.4;0;0;0;0;35560.0;0.07;1.15;28.7;46.4;340;21.2;22.1;23.6;20.5;0.111;0.129;0.161;0.195;0.252
Avignon;43.9416;4.8333;28/05/2026;08:00;22.6;59;14.2;19.5;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1016.5;1014.2;0;0;0;0;35560.0;0.11;1.12;30.1;50.8;345;22.8;22.3;23.4;20.5;0.11;0.129;0.161;0.195;0.252
Avignon;43.9416;4.8333;28/05/2026;09:00;23.9;56;14.6;21.2;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1016.8;1014.5;0;0;0;0;40640.0;0.15;1.31;28.9;49.0;346;25.4;23.0;23.2;20.5;0.108;0.129;0.16;0.195;0.252
Avignon;43.9416;4.8333;28/05/2026;10:00;25.8;52;15.2;23.1;0;0.0;0.0;0.0;0.0;0.0;0;P1;Ensoleillé;1017.3;1015.0;0;0;0;0;40940.0;0.2;1.59;30.5;49.7;346;28.2;24.1;23.1;20.5;0.104;0.128;0.16;0.195;0.251
