Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
BREST;48.39;-4.48;13/07/2026;2;NUAGEUX;34.1;24.1
BREST;48.39;-4.48;14/07/2026;5;SOLEIL VOILÉ;35.6;22.6
BREST;48.39;-4.48;15/07/2026;5;SOLEIL VOILÉ;35.5;24.4
BREST;48.39;-4.48;16/07/2026;0;SOLEIL;33;23.6
RENNES;48.11;-1.67;13/07/2026;2;NUAGEUX;27.6;19
RENNES;48.11;-1.67;14/07/2026;5;SOLEIL VOILÉ;28.1;18.2
RENNES;48.11;-1.67;15/07/2026;0;SOLEIL;26.4;18.4
RENNES;48.11;-1.67;16/07/2026;0;SOLEIL;25.7;17.1
CHERBOURG;49.63;-1.62;13/07/2026;5;SOLEIL VOILÉ;32.6;24.1
CHERBOURG;49.63;-1.62;14/07/2026;5;SOLEIL VOILÉ;34;19.6
CHERBOURG;49.63;-1.62;15/07/2026;10;ORAGEUX;33;20.1
CHERBOURG;49.63;-1.62;16/07/2026;2;NUAGEUX;29.6;19.2
ROUEN;49.44;1.1;13/07/2026;2;NUAGEUX;23.1;17.1
ROUEN;49.44;1.1;14/07/2026;5;SOLEIL VOILÉ;26.6;16.2
ROUEN;49.44;1.1;15/07/2026;5;SOLEIL VOILÉ;24.7;17.6
ROUEN;49.44;1.1;16/07/2026;2;NUAGEUX;23.9;18.1
PARIS;48.85;2.35;13/07/2026;2;NUAGEUX;32.2;19.5
PARIS;48.85;2.35;14/07/2026;0;SOLEIL;35.6;20
PARIS;48.85;2.35;15/07/2026;5;SOLEIL VOILÉ;35.7;21.7
PARIS;48.85;2.35;16/07/2026;2;NUAGEUX;31.5;20.7
LILLE;50.62;3.05;13/07/2026;0;SOLEIL;31.5;18
LILLE;50.62;3.05;14/07/2026;0;SOLEIL;33.4;19.4
LILLE;50.62;3.05;15/07/2026;0;SOLEIL;32.6;21
LILLE;50.62;3.05;16/07/2026;0;SOLEIL;32.2;21.2
BOULOGNE-SUR-MER;50.726;1.614;13/07/2026;0;SOLEIL;22.7;17
BOULOGNE-SUR-MER;50.726;1.614;14/07/2026;0;SOLEIL;25.7;17
BOULOGNE-SUR-MER;50.726;1.614;15/07/2026;0;SOLEIL;27.5;18
BOULOGNE-SUR-MER;50.726;1.614;16/07/2026;0;SOLEIL;28.6;19.5
REIMS;49.25;4.03;13/07/2026;2;NUAGEUX;34.5;21.4
REIMS;49.25;4.03;14/07/2026;0;SOLEIL;36.6;21
REIMS;49.25;4.03;15/07/2026;0;SOLEIL;35.4;22.6
REIMS;49.25;4.03;16/07/2026;0;SOLEIL;34.6;20.9
METZ;49.11;6.17;13/07/2026;5;SOLEIL VOILÉ;33.2;20.2
METZ;49.11;6.17;14/07/2026;0;SOLEIL;35.7;21
METZ;49.11;6.17;15/07/2026;0;SOLEIL;35.1;20.6
METZ;49.11;6.17;16/07/2026;0;SOLEIL;33.2;19.6
NANTES;47.21;-1.55;13/07/2026;0;SOLEIL;34.4;26.1
NANTES;47.21;-1.55;14/07/2026;5;SOLEIL VOILÉ;34.7;20.1
NANTES;47.21;-1.55;15/07/2026;10;ORAGEUX;32.7;21.9
NANTES;47.21;-1.55;16/07/2026;6;AVERSES;29.4;21
TOURS;47.39;0.68;13/07/2026;0;SOLEIL;35.2;25.2
TOURS;47.39;0.68;14/07/2026;5;SOLEIL VOILÉ;35.7;21.9
TOURS;47.39;0.68;15/07/2026;10;ORAGEUX;34.9;22.1
TOURS;47.39;0.68;16/07/2026;2;NUAGEUX;33.5;20.9
AUXERRE;47.79;3.57;13/07/2026;5;SOLEIL VOILÉ;38.7;22.1
AUXERRE;47.79;3.57;14/07/2026;5;SOLEIL VOILÉ;37.9;21.6
AUXERRE;47.79;3.57;15/07/2026;5;SOLEIL VOILÉ;37.6;20.2
AUXERRE;47.79;3.57;16/07/2026;0;SOLEIL;35.9;20.6
CHAUMONT;48.11;5.14;13/07/2026;2;NUAGEUX;34.6;18.1
CHAUMONT;48.11;5.14;14/07/2026;5;SOLEIL VOILÉ;35.6;18.1
CHAUMONT;48.11;5.14;15/07/2026;0;SOLEIL;34.9;15.9
CHAUMONT;48.11;5.14;16/07/2026;0;SOLEIL;34.2;17
STRASBOURG;48.57;7.75;13/07/2026;5;SOLEIL VOILÉ;34;19.1
STRASBOURG;48.57;7.75;14/07/2026;0;SOLEIL;33.9;21.1
STRASBOURG;48.57;7.75;15/07/2026;0;SOLEIL;34.5;21.6
STRASBOURG;48.57;7.75;16/07/2026;0;SOLEIL;32.5;20.4
BOURGES;47.08;2.39;13/07/2026;0;SOLEIL;36.4;25.2
BOURGES;47.08;2.39;14/07/2026;5;SOLEIL VOILÉ;37.1;23
BOURGES;47.08;2.39;15/07/2026;10;ORAGEUX;35.4;23.2
