Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Bourg-en-Bresse;46.2;5.22;22/07/2026;0;SOLEIL;31;17.7
Bourg-en-Bresse;46.2;5.22;23/07/2026;0;SOLEIL;30.2;18.7
Bourg-en-Bresse;46.2;5.22;24/07/2026;0;SOLEIL;32.5;19.1
Bourg-en-Bresse;46.2;5.22;25/07/2026;6;AVERSES;31;19.7
Bourg-en-Bresse;46.2;5.22;26/07/2026;6;AVERSES;28.7;19
Bourg-en-Bresse;46.2;5.22;27/07/2026;2;NUAGEUX;28.7;19.1
Bourg-en-Bresse;46.2;5.22;28/07/2026;0;SOLEIL;31.1;19.4
Bourg-en-Bresse;46.2;5.22;29/07/2026;0;SOLEIL;33.1;20.2
Bourg-en-Bresse;46.2;5.22;30/07/2026;0;SOLEIL;31.6;20.7
Bourg-en-Bresse;46.2;5.22;31/07/2026;0;SOLEIL;32.6;20.2
Bourg-en-Bresse;46.2;5.22;01/08/2026;0;SOLEIL;31.6;19.5
Bourg-en-Bresse;46.2;5.22;02/08/2026;0;SOLEIL;32.5;19.6
Bourg-en-Bresse;46.2;5.22;03/08/2026;0;SOLEIL;31.5;20
Bourg-en-Bresse;46.2;5.22;04/08/2026;0;SOLEIL;31.5;19.7
Bourg-en-Bresse;46.2;5.22;05/08/2026;0;SOLEIL;22.0;12
Bourg-en-Bresse;46.2;5.22;06/08/2026;0;SOLEIL;22.0;12
Vichy;46.12;3.42;22/07/2026;0;SOLEIL;30.1;13.1
Vichy;46.12;3.42;23/07/2026;0;SOLEIL;29.5;14.7
Vichy;46.12;3.42;24/07/2026;0;SOLEIL;31.9;14
Vichy;46.12;3.42;25/07/2026;6;AVERSES;30.7;18.1
Vichy;46.12;3.42;26/07/2026;6;AVERSES;27.1;17.7
Vichy;46.12;3.42;27/07/2026;6;AVERSES;27.6;17.9
Vichy;46.12;3.42;28/07/2026;0;SOLEIL;29.6;16.6
Vichy;46.12;3.42;29/07/2026;0;SOLEIL;32.5;17.2
Vichy;46.12;3.42;30/07/2026;0;SOLEIL;31.1;18.4
Vichy;46.12;3.42;31/07/2026;0;SOLEIL;30.6;17
Vichy;46.12;3.42;01/08/2026;0;SOLEIL;30.7;17.1
Vichy;46.12;3.42;02/08/2026;0;SOLEIL;30.9;17.6
Vichy;46.12;3.42;03/08/2026;0;SOLEIL;31;17.5
