Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Châtillon-sur-Seine;47.86;4.57;22/07/2026;0;SOLEIL;29.7;12
Châtillon-sur-Seine;47.86;4.57;23/07/2026;0;SOLEIL;28.4;14.5
Châtillon-sur-Seine;47.86;4.57;24/07/2026;0;SOLEIL;30.5;13.5
Châtillon-sur-Seine;47.86;4.57;25/07/2026;0;SOLEIL;29.9;15.1
Châtillon-sur-Seine;47.86;4.57;26/07/2026;6;AVERSES;25.1;16.7
Châtillon-sur-Seine;47.86;4.57;27/07/2026;6;AVERSES;26.6;16.6
Châtillon-sur-Seine;47.86;4.57;28/07/2026;0;SOLEIL;30.1;15
Châtillon-sur-Seine;47.86;4.57;29/07/2026;0;SOLEIL;30;16.1
Châtillon-sur-Seine;47.86;4.57;30/07/2026;0;SOLEIL;30.1;16.6
Châtillon-sur-Seine;47.86;4.57;31/07/2026;0;SOLEIL;29.6;16.1
Châtillon-sur-Seine;47.86;4.57;01/08/2026;0;SOLEIL;30.1;16.1
Châtillon-sur-Seine;47.86;4.57;02/08/2026;0;SOLEIL;28.9;16.4
Châtillon-sur-Seine;47.86;4.57;03/08/2026;0;SOLEIL;28.2;16.1
Châtillon-sur-Seine;47.86;4.57;04/08/2026;0;SOLEIL;28.9;16.1
Châtillon-sur-Seine;47.86;4.57;05/08/2026;0;SOLEIL;22.0;12
Châtillon-sur-Seine;47.86;4.57;06/08/2026;0;SOLEIL;22.0;12
Dijon;47.32;5.04;22/07/2026;0;SOLEIL;26.6;6.6
Dijon;47.32;5.04;23/07/2026;0;SOLEIL;26.5;11
Dijon;47.32;5.04;24/07/2026;0;SOLEIL;30.2;10
Dijon;47.32;5.04;25/07/2026;0;SOLEIL;29.7;12.1
Dijon;47.32;5.04;26/07/2026;6;AVERSES;23.4;15.5
Dijon;47.32;5.04;27/07/2026;6;AVERSES;24.7;15.5
Dijon;47.32;5.04;28/07/2026;0;SOLEIL;27.4;14.1
Dijon;47.32;5.04;29/07/2026;0;SOLEIL;28.1;14.1
