Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Lannion;48.73;-3.46;20/07/2026;0;SOLEIL;26.6;11.9
Lannion;48.73;-3.46;21/07/2026;0;SOLEIL;27;13.5
Lannion;48.73;-3.46;22/07/2026;0;SOLEIL;28.2;13.1
Lannion;48.73;-3.46;23/07/2026;0;SOLEIL;31;16.1
Lannion;48.73;-3.46;24/07/2026;0;SOLEIL;30;17.2
Lannion;48.73;-3.46;25/07/2026;0;SOLEIL;28.1;16.5
Lannion;48.73;-3.46;26/07/2026;6;AVERSES;24.5;16.2
Lannion;48.73;-3.46;27/07/2026;6;AVERSES;24.1;16.2
Lannion;48.73;-3.46;28/07/2026;6;AVERSES;24.1;15.1
Lannion;48.73;-3.46;29/07/2026;0;SOLEIL;25.4;15.6
Lannion;48.73;-3.46;30/07/2026;0;SOLEIL;26;15.6
Lannion;48.73;-3.46;31/07/2026;0;SOLEIL;25.7;16.1
Lannion;48.73;-3.46;01/08/2026;6;AVERSES;25.6;15.7
Lannion;48.73;-3.46;02/08/2026;0;SOLEIL;25.5;15.5
Lannion;48.73;-3.46;03/08/2026;0;SOLEIL;22.0;12
Lannion;48.73;-3.46;04/08/2026;0;SOLEIL;22.0;12
Merdrignac;48.19;-2.41;20/07/2026;0;SOLEIL;23.1;12.4
Merdrignac;48.19;-2.41;21/07/2026;0;SOLEIL;24.2;13.5
Merdrignac;48.19;-2.41;22/07/2026;0;SOLEIL;25.9;12.7
Merdrignac;48.19;-2.41;23/07/2026;0;SOLEIL;26.6;12.5
Merdrignac;48.19;-2.41;24/07/2026;0;SOLEIL;26.6;14
Merdrignac;48.19;-2.41;25/07/2026;0;SOLEIL;23;14.7
Merdrignac;48.19;-2.41;26/07/2026;6;AVERSES;21.7;15.1
Merdrignac;48.19;-2.41;27/07/2026;6;AVERSES;21.4;15.1
Merdrignac;48.19;-2.41;28/07/2026;6;AVERSES;22.1;14.7
Merdrignac;48.19;-2.41;29/07/2026;6;AVERSES;22.1;15.1
Merdrignac;48.19;-2.41;30/07/2026;6;AVERSES;22.6;15.2
Merdrignac;48.19;-2.41;31/07/2026;6;AVERSES;22.7;14.2
Merdrignac;48.19;-2.41;01/08/2026;6;AVERSES;22.6;15
Merdrignac;48.19;-2.41;02/08/2026;0;SOLEIL;23.6;14.5
Merdrignac;48.19;-2.41;03/08/2026;0;SOLEIL;22.0;12
Merdrignac;48.19;-2.41;04/08/2026;0;SOLEIL;22.0;12
Rostrenen;48.23;-3.31;20/07/2026;0;SOLEIL;25;12.6
Rostrenen;48.23;-3.31;21/07/2026;0;SOLEIL;26;13.7
Rostrenen;48.23;-3.31;22/07/2026;0;SOLEIL;27.6;13.6
Rostrenen;48.23;-3.31;23/07/2026;0;SOLEIL;29.2;14.4
Rostrenen;48.23;-3.31;24/07/2026;0;SOLEIL;28.6;14.9
Rostrenen;48.23;-3.31;25/07/2026;0;SOLEIL;26;15.1
Rostrenen;48.23;-3.31;26/07/2026;6;AVERSES;22.7;14.2
Rostrenen;48.23;-3.31;27/07/2026;6;AVERSES;22.5;14.5
Rostrenen;48.23;-3.31;28/07/2026;6;AVERSES;22.7;13.2
Rostrenen;48.23;-3.31;29/07/2026;0;SOLEIL;23.2;14
Rostrenen;48.23;-3.31;30/07/2026;0;SOLEIL;23.6;14.2
Rostrenen;48.23;-3.31;31/07/2026;6;AVERSES;24.1;13.9
Rostrenen;48.23;-3.31;01/08/2026;6;AVERSES;24;14.1
Rostrenen;48.23;-3.31;02/08/2026;0;SOLEIL;24.1;13.7
Rostrenen;48.23;-3.31;03/08/2026;0;SOLEIL;22.0;12
Rostrenen;48.23;-3.31;04/08/2026;0;SOLEIL;22.0;12
Saint-Brieuc;48.51;-2.76;20/07/2026;0;SOLEIL;22.4;12.6
Saint-Brieuc;48.51;-2.76;21/07/2026;0;SOLEIL;23.5;13.1
Saint-Brieuc;48.51;-2.76;22/07/2026;0;SOLEIL;25.6;13
Saint-Brieuc;48.51;-2.76;23/07/2026;0;SOLEIL;28.4;13.6
Saint-Brieuc;48.51;-2.76;24/07/2026;0;SOLEIL;27.4;14.4
Saint-Brieuc;48.51;-2.76;25/07/2026;0;SOLEIL;24.1;14
Saint-Brieuc;48.51;-2.76;26/07/2026;6;AVERSES;21.2;13.7
Saint-Brieuc;48.51;-2.76;27/07/2026;6;AVERSES;20.9;13.7
Saint-Brieuc;48.51;-2.76;28/07/2026;6;AVERSES;21.5;12.9
Saint-Brieuc;48.51;-2.76;29/07/2026;0;SOLEIL;21.7;13.1
Saint-Brieuc;48.51;-2.76;30/07/2026;0;SOLEIL;23.1;13.7
Saint-Brieuc;48.51;-2.76;31/07/2026;0;SOLEIL;22.7;13.2
Saint-Brieuc;48.51;-2.76;01/08/2026;6;AVERSES;23.1;13.6
Saint-Brieuc;48.51;-2.76;02/08/2026;0;SOLEIL;24.2;12.6
Saint-Brieuc;48.51;-2.76;03/08/2026;0;SOLEIL;22.0;12
Saint-Brieuc;48.51;-2.76;04/08/2026;0;SOLEIL;22.0;12
Brest;48.39;-4.48;20/07/2026;0;SOLEIL;22.5;15.2
Brest;48.39;-4.48;21/07/2026;0;SOLEIL;22.1;15.2
Brest;48.39;-4.48;22/07/2026;0;SOLEIL;25.9;15
Brest;48.39;-4.48;23/07/2026;0;SOLEIL;26;15.2
Brest;48.39;-4.48;24/07/2026;0;SOLEIL;25.5;15.7
Brest;48.39;-4.48;25/07/2026;0;SOLEIL;24.6;16.5
Brest;48.39;-4.48;26/07/2026;6;AVERSES;22.6;16.1
Brest;48.39;-4.48;27/07/2026;6;AVERSES;22.6;16.4
Brest;48.39;-4.48;28/07/2026;6;AVERSES;23.6;15.2
Brest;48.39;-4.48;29/07/2026;0;SOLEIL;22.6;15.6
Brest;48.39;-4.48;30/07/2026;0;SOLEIL;23;15.6
Brest;48.39;-4.48;31/07/2026;6;AVERSES;23.1;15.6
Brest;48.39;-4.48;01/08/2026;6;AVERSES;22.7;16.1
Brest;48.39;-4.48;02/08/2026;0;SOLEIL;23.6;15.5
Brest;48.39;-4.48;03/08/2026;0;SOLEIL;22.0;12
Brest;48.39;-4.48;04/08/2026;0;SOLEIL;22.0;12
Île-de-Sein;48.03;-4.85;20/07/2026;0;SOLEIL;24.9;13.6
Île-de-Sein;48.03;-4.85;21/07/2026;0;SOLEIL;26.1;14.2
Île-de-Sein;48.03;-4.85;22/07/2026;0;SOLEIL;27.2;14.5
Île-de-Sein;48.03;-4.85;23/07/2026;0;SOLEIL;28.6;14.9
Île-de-Sein;48.03;-4.85;24/07/2026;0;SOLEIL;28.4;15.5
Île-de-Sein;48.03;-4.85;25/07/2026;0;SOLEIL;23.9;15.6
Île-de-Sein;48.03;-4.85;26/07/2026;6;AVERSES;21.6;15.6
Île-de-Sein;48.03;-4.85;27/07/2026;6;AVERSES;21.5;15.6
Île-de-Sein;48.03;-4.85;28/07/2026;6;AVERSES;22.2;15.1
Île-de-Sein;48.03;-4.85;29/07/2026;6;AVERSES;22;15.6
Île-de-Sein;48.03;-4.85;30/07/2026;6;AVERSES;22.5;15.6
Île-de-Sein;48.03;-4.85;31/07/2026;6;AVERSES;22.1;15.2
Île-de-Sein;48.03;-4.85;01/08/2026;6;AVERSES;22.9;15.4
Île-de-Sein;48.03;-4.85;02/08/2026;0;SOLEIL;23.4;15.1
Île-de-Sein;48.03;-4.85;03/08/2026;0;SOLEIL;22.0;12
Île-de-Sein;48.03;-4.85;04/08/2026;0;SOLEIL;22.0;12
Morlaix;48.57;-3.82;20/07/2026;0;SOLEIL;23.6;15.1
Morlaix;48.57;-3.82;21/07/2026;0;SOLEIL;25.7;16
Morlaix;48.57;-3.82;22/07/2026;0;SOLEIL;24.6;17
Morlaix;48.57;-3.82;23/07/2026;0;SOLEIL;23.5;16.4
Morlaix;48.57;-3.82;24/07/2026;0;SOLEIL;24.9;17.5
Morlaix;48.57;-3.82;25/07/2026;0;SOLEIL;21.2;16.6
Morlaix;48.57;-3.82;26/07/2026;6;AVERSES;20.1;16
Morlaix;48.57;-3.82;27/07/2026;6;AVERSES;20.1;16
