Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Argent-sur-Sauldre;47.56;2.45;19/07/2026;0;SOLEIL;27.2;13.9
Argent-sur-Sauldre;47.56;2.45;20/07/2026;0;SOLEIL;27.4;12
Argent-sur-Sauldre;47.56;2.45;21/07/2026;0;SOLEIL;28.9;13
Argent-sur-Sauldre;47.56;2.45;22/07/2026;0;SOLEIL;29.7;13.9
Argent-sur-Sauldre;47.56;2.45;23/07/2026;0;SOLEIL;28.5;15.6
Argent-sur-Sauldre;47.56;2.45;24/07/2026;0;SOLEIL;29.2;15.5
Argent-sur-Sauldre;47.56;2.45;25/07/2026;0;SOLEIL;30.1;15.6
Argent-sur-Sauldre;47.56;2.45;26/07/2026;0;SOLEIL;26.7;16.1
Argent-sur-Sauldre;47.56;2.45;27/07/2026;0;SOLEIL;25.7;15.7
Argent-sur-Sauldre;47.56;2.45;28/07/2026;0;SOLEIL;25.6;15.6
Argent-sur-Sauldre;47.56;2.45;29/07/2026;0;SOLEIL;27.9;15.1
Argent-sur-Sauldre;47.56;2.45;30/07/2026;0;SOLEIL;26.7;15.1
Argent-sur-Sauldre;47.56;2.45;31/07/2026;0;SOLEIL;27.6;15.5
Argent-sur-Sauldre;47.56;2.45;01/08/2026;0;SOLEIL;27.1;15.6
Argent-sur-Sauldre;47.56;2.45;02/08/2026;0;SOLEIL;22.0;12
Argent-sur-Sauldre;47.56;2.45;03/08/2026;0;SOLEIL;22.0;12
Bourges;47.08;2.39;19/07/2026;0;SOLEIL;27.5;13.7
Bourges;47.08;2.39;20/07/2026;0;SOLEIL;26.7;10.7
Bourges;47.08;2.39;21/07/2026;0;SOLEIL;28.1;11.6
Bourges;47.08;2.39;22/07/2026;0;SOLEIL;29.5;11.7
Bourges;47.08;2.39;23/07/2026;0;SOLEIL;28.1;14.6
Bourges;47.08;2.39;24/07/2026;0;SOLEIL;28.1;14.1
Bourges;47.08;2.39;25/07/2026;0;SOLEIL;29;14.4
Bourges;47.08;2.39;26/07/2026;0;SOLEIL;26.2;15.1
Bourges;47.08;2.39;27/07/2026;0;SOLEIL;24.4;14.6
Bourges;47.08;2.39;28/07/2026;6;AVERSES;25;14.1
Bourges;47.08;2.39;29/07/2026;0;SOLEIL;26.7;14.4
Bourges;47.08;2.39;30/07/2026;0;SOLEIL;26.7;13.9
Bourges;47.08;2.39;31/07/2026;0;SOLEIL;26.6;14.6
Bourges;47.08;2.39;01/08/2026;0;SOLEIL;27.1;14.2
Bourges;47.08;2.39;02/08/2026;0;SOLEIL;22.0;12
Bourges;47.08;2.39;03/08/2026;0;SOLEIL;22.0;12
Saint-Amand-Montrond;46.72;2.5;19/07/2026;0;SOLEIL;27.1;16.6
Saint-Amand-Montrond;46.72;2.5;20/07/2026;0;SOLEIL;27.5;14.6
Saint-Amand-Montrond;46.72;2.5;21/07/2026;0;SOLEIL;28.1;15.9
Saint-Amand-Montrond;46.72;2.5;22/07/2026;0;SOLEIL;30.2;17.1
Saint-Amand-Montrond;46.72;2.5;23/07/2026;0;SOLEIL;28.7;18.6
Saint-Amand-Montrond;46.72;2.5;24/07/2026;0;SOLEIL;28.7;17.2
Saint-Amand-Montrond;46.72;2.5;25/07/2026;0;SOLEIL;29;18
Saint-Amand-Montrond;46.72;2.5;26/07/2026;0;SOLEIL;26.6;18
Saint-Amand-Montrond;46.72;2.5;27/07/2026;0;SOLEIL;25;17.1
Saint-Amand-Montrond;46.72;2.5;28/07/2026;6;AVERSES;25.7;16.7
Saint-Amand-Montrond;46.72;2.5;29/07/2026;0;SOLEIL;27.1;17.1
Saint-Amand-Montrond;46.72;2.5;30/07/2026;0;SOLEIL;27.9;17
Saint-Amand-Montrond;46.72;2.5;31/07/2026;0;SOLEIL;28.1;17.7
Saint-Amand-Montrond;46.72;2.5;01/08/2026;0;SOLEIL;27.2;16.6
Saint-Amand-Montrond;46.72;2.5;02/08/2026;0;SOLEIL;22.0;12
Saint-Amand-Montrond;46.72;2.5;03/08/2026;0;SOLEIL;22.0;12
Sancerre;47.33;2.84;19/07/2026;0;SOLEIL;28.4;15.4
Sancerre;47.33;2.84;20/07/2026;0;SOLEIL;28.2;12.4
Sancerre;47.33;2.84;21/07/2026;0;SOLEIL;28.9;12.1
Sancerre;47.33;2.84;22/07/2026;0;SOLEIL;31.1;13.6
Sancerre;47.33;2.84;23/07/2026;0;SOLEIL;30;16.4
Sancerre;47.33;2.84;24/07/2026;0;SOLEIL;30.5;15.2
