Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
AMIENS;49.894;2.295;21/07/2026;0;SOLEIL;26.7;13.9
BREST;48.39;-4.48;21/07/2026;0;SOLEIL;25;11.6
RENNES;48.11;-1.67;21/07/2026;0;SOLEIL;26.1;14
CHERBOURG;49.63;-1.62;21/07/2026;0;SOLEIL;27.5;12.7
ROUEN;49.44;1.1;21/07/2026;0;SOLEIL;24.1;14.2
PARIS;48.85;2.35;21/07/2026;0;SOLEIL;25.4;11.5
LILLE;50.62;3.05;21/07/2026;0;SOLEIL;24.1;11.6
REIMS;49.25;4.03;21/07/2026;0;SOLEIL;26.5;12
METZ;49.11;6.17;21/07/2026;0;SOLEIL;26.2;12.4
NANTES;47.21;-1.55;21/07/2026;0;SOLEIL;28.9;14.9
TOURS;47.39;0.68;21/07/2026;0;SOLEIL;28.7;14.4
AUXERRE;47.79;3.57;21/07/2026;0;SOLEIL;27.7;12.9
CHAUMONT;48.11;5.14;21/07/2026;0;SOLEIL;26.1;8.7
STRASBOURG;48.57;7.75;21/07/2026;0;SOLEIL;26.1;13.9
BOURGES;47.08;2.39;21/07/2026;0;SOLEIL;28.1;15.1
BELFORT;47.63;6.86;21/07/2026;0;SOLEIL;25.9;13.4
LIMOGES;45.83;1.26;21/07/2026;0;SOLEIL;29.5;15.1
VICHY;46.12;3.42;21/07/2026;0;SOLEIL;29.9;13.5
CHALON/S.;46.78;4.85;21/07/2026;0;SOLEIL;28.4;13.5
LYON;45.76;4.83;21/07/2026;0;SOLEIL;29.7;17.6
PONTARLIER;46.9;6.35;21/07/2026;0;SOLEIL;25;9.1
LA ROCHELLE;46.16;-1.15;21/07/2026;0;SOLEIL;30.7;16.5
BORDEAUX;44.83;-0.57;21/07/2026;0;SOLEIL;33.7;19.7
BIARRITZ;43.48;-1.56;21/07/2026;0;SOLEIL;28.6;21.5
TARBES;43.23;0.07;21/07/2026;0;SOLEIL;32.1;19.2
TOULOUSE;43.6;1.44;21/07/2026;0;SOLEIL;34.9;22.4
AURILLAC;44.92;2.44;21/07/2026;0;SOLEIL;31.9;18
GAP;44.55;6.07;21/07/2026;0;SOLEIL;32.6;19.1
PERPIGNAN;42.69;2.89;21/07/2026;0;SOLEIL;35.6;23.4
MONTPELLIER;43.61;3.87;21/07/2026;0;SOLEIL;36.1;25
MARSEILLE;43.296;5.381;21/07/2026;0;SOLEIL;36;26.1
NICE;43.71;7.26;21/07/2026;0;SOLEIL;29.5;24.6
AJACCIO;41.92;8.73;21/07/2026;0;SOLEIL;35.1;24.1
BASTIA;42.69;9.45;21/07/2026;0;SOLEIL;33.9;26.7
ALENÇON;48.43;0.09;21/07/2026;0;SOLEIL;26.1;12
BOURG-ST-M.;45.62;6.77;21/07/2026;0;SOLEIL;28.1;13.6
AGEN;44.2;0.61;21/07/2026;0;SOLEIL;34.6;18
LAON;49.56;3.62;21/07/2026;0;SOLEIL;24.5;9.9
CAEN;49.18;-0.37;21/07/2026;2;NUAGEUX;21.7;14.9
POITIERS;46.58;0.34;21/07/2026;0;SOLEIL;28.7;13.9
BESANÇON;47.23;6.02;21/07/2026;0;SOLEIL;27.9;12.6
DIJON;47.32;5.04;21/07/2026;0;SOLEIL;26.7;13.2
GRENOBLE;45.18;5.72;21/07/2026;0;SOLEIL;30.6;18.9
CLERMONT-FERRAND;45.78;3.08;21/07/2026;0;SOLEIL;28.9;13.2
VALENCE;44.93;4.89;21/07/2026;0;SOLEIL;30.6;18.6
Gorges du Tarn Causses;44.318;3.447;21/07/2026;0;SOLEIL;30.6;16.1
Saint-Paul-de-Jarrat;42.913;1.636;21/07/2026;0;SOLEIL;30.2;16.7
Puylagarde;44.298;1.837;21/07/2026;0;SOLEIL;33.6;18.1
Empuré;46.024;0.054;21/07/2026;0;SOLEIL;29.7;15.7
Berné;47.994;-3.391;21/07/2026;0;SOLEIL;25.7;13.4
Attray;48.219;2.11;21/07/2026;0;SOLEIL;26.9;12.7
Fontenoy-la-Joute;48.453;6.66;21/07/2026;0;SOLEIL;26.5;8
Clermont-en-Argonne;49.102;5.071;21/07/2026;0;SOLEIL;27.2;8.7
Boulogne-sur-Mer;50.726;1.614;21/07/2026;0;SOLEIL;20;12.6
Prémont;50.012;3.414;21/07/2026;0;SOLEIL;23.9;8.9
Morannes-sur-Sarthe-Daumeray;47.644;-0.416;21/07/2026;0;SOLEIL;27.5;13.1
