Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Brest;48.39;-4.48;16/07/2026;2;NUAGEUX;32.2;21.4
Brest;48.39;-4.48;17/07/2026;10;ORAGEUX;26.6;18.5
Brest;48.39;-4.48;18/07/2026;0;SOLEIL;28;18.5
Brest;48.39;-4.48;19/07/2026;0;SOLEIL;24.9;16.1
Brest;48.39;-4.48;20/07/2026;0;SOLEIL;24.6;14.5
Rennes;48.11;-1.67;16/07/2026;6;AVERSES;25.4;17.1
Rennes;48.11;-1.67;17/07/2026;0;SOLEIL;25.1;16.6
Rennes;48.11;-1.67;18/07/2026;0;SOLEIL;25.6;14.5
Rennes;48.11;-1.67;19/07/2026;6;AVERSES;27.5;15.4
Rennes;48.11;-1.67;20/07/2026;0;SOLEIL;26.2;14.5
Cherbourg;49.63;-1.62;16/07/2026;6;AVERSES;26.4;18.1
Cherbourg;49.63;-1.62;17/07/2026;0;SOLEIL;27.1;16.6
Cherbourg;49.63;-1.62;18/07/2026;0;SOLEIL;28.5;14.4
Cherbourg;49.63;-1.62;19/07/2026;0;SOLEIL;27.4;15.9
Cherbourg;49.63;-1.62;20/07/2026;0;SOLEIL;26.5;14.7
Rouen;49.44;1.1;16/07/2026;5;SOLEIL VOILÉ;24.6;15.1
Rouen;49.44;1.1;17/07/2026;0;SOLEIL;25.9;16.1
Rouen;49.44;1.1;18/07/2026;0;SOLEIL;24.2;13.7
Rouen;49.44;1.1;19/07/2026;0;SOLEIL;21.7;15.7
Rouen;49.44;1.1;20/07/2026;0;SOLEIL;22.1;14.5
Paris;48.85;2.35;16/07/2026;5;SOLEIL VOILÉ;33.9;18.1
Paris;48.85;2.35;17/07/2026;0;SOLEIL;27.1;17.6
Paris;48.85;2.35;18/07/2026;0;SOLEIL;28.6;16.5
Paris;48.85;2.35;19/07/2026;0;SOLEIL;24.7;14.6
Paris;48.85;2.35;20/07/2026;0;SOLEIL;25.1;13.4
Lille;50.62;3.05;16/07/2026;0;SOLEIL;30.9;20.1
