Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Bayeux;49.28;-0.7;22/07/2026;2;NUAGEUX;27.9;12.5
Bayeux;49.28;-0.7;23/07/2026;0;SOLEIL;28.1;13.9
Bayeux;49.28;-0.7;24/07/2026;0;SOLEIL;28.6;13.4
Bayeux;49.28;-0.7;25/07/2026;2;NUAGEUX;28.4;15.9
Bayeux;49.28;-0.7;26/07/2026;6;AVERSES;23.9;16.6
Bayeux;49.28;-0.7;27/07/2026;6;AVERSES;25;16.6
Bayeux;49.28;-0.7;28/07/2026;6;AVERSES;25.4;15.6
Bayeux;49.28;-0.7;29/07/2026;0;SOLEIL;26.2;15.7
Bayeux;49.28;-0.7;30/07/2026;0;SOLEIL;26.9;14.9
Bayeux;49.28;-0.7;31/07/2026;0;SOLEIL;25.6;15
Bayeux;49.28;-0.7;01/08/2026;0;SOLEIL;26.6;14.1
Bayeux;49.28;-0.7;02/08/2026;6;AVERSES;25.6;15.4
Bayeux;49.28;-0.7;03/08/2026;6;AVERSES;27.5;15.1
Bayeux;49.28;-0.7;04/08/2026;0;SOLEIL;26.7;16.4
Bayeux;49.28;-0.7;05/08/2026;0;SOLEIL;22.0;12
Bayeux;49.28;-0.7;06/08/2026;0;SOLEIL;22.0;12
Caen;49.18;-0.37;22/07/2026;0;SOLEIL;25.4;14
Caen;49.18;-0.37;23/07/2026;0;SOLEIL;23.1;14.9
Caen;49.18;-0.37;24/07/2026;0;SOLEIL;25.2;15.1
Caen;49.18;-0.37;25/07/2026;2;NUAGEUX;25.1;15.2
Caen;49.18;-0.37;26/07/2026;6;AVERSES;23;16
Caen;49.18;-0.37;27/07/2026;6;AVERSES;23.2;15.1
Caen;49.18;-0.37;28/07/2026;6;AVERSES;23.1;14.7
Caen;49.18;-0.37;29/07/2026;0;SOLEIL;24.2;14.6
Caen;49.18;-0.37;30/07/2026;0;SOLEIL;24.2;14.1
Caen;49.18;-0.37;31/07/2026;0;SOLEIL;23;14.5
Caen;49.18;-0.37;01/08/2026;0;SOLEIL;23.6;14.5
Caen;49.18;-0.37;02/08/2026;6;AVERSES;23.1;15
Caen;49.18;-0.37;03/08/2026;6;AVERSES;22.9;15.6
Caen;49.18;-0.37;04/08/2026;6;AVERSES;23.1;15.5
Caen;49.18;-0.37;05/08/2026;0;SOLEIL;22.0;12
Caen;49.18;-0.37;06/08/2026;0;SOLEIL;22.0;12
Clécy;48.91;-0.48;22/07/2026;0;SOLEIL;25.5;13.9
Clécy;48.91;-0.48;23/07/2026;0;SOLEIL;24.1;15
