Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Foix;42.96;1.6;19/07/2026;0;SOLEIL;33.9;21
Foix;42.96;1.6;20/07/2026;5;SOLEIL VOILÉ;36;22.6
Foix;42.96;1.6;21/07/2026;0;SOLEIL;35;21.6
Foix;42.96;1.6;22/07/2026;0;SOLEIL;35;20.9
Foix;42.96;1.6;23/07/2026;0;SOLEIL;34.1;20.1
Foix;42.96;1.6;24/07/2026;0;SOLEIL;33.9;19.9
Foix;42.96;1.6;25/07/2026;0;SOLEIL;31.5;20
Foix;42.96;1.6;26/07/2026;0;SOLEIL;29.2;19.2
Foix;42.96;1.6;27/07/2026;0;SOLEIL;28.4;19
Foix;42.96;1.6;28/07/2026;0;SOLEIL;29.1;19.4
Foix;42.96;1.6;29/07/2026;0;SOLEIL;30.4;19.6
Foix;42.96;1.6;30/07/2026;0;SOLEIL;30.6;19.7
Foix;42.96;1.6;31/07/2026;0;SOLEIL;31.2;20.1
Foix;42.96;1.6;01/08/2026;0;SOLEIL;31;20.2
Foix;42.96;1.6;02/08/2026;0;SOLEIL;22.0;12
Foix;42.96;1.6;03/08/2026;0;SOLEIL;22.0;12
Carcassonne;43.21;2.35;19/07/2026;0;SOLEIL;31.4;18.1
Carcassonne;43.21;2.35;20/07/2026;0;SOLEIL;33.9;19.1
Carcassonne;43.21;2.35;21/07/2026;0;SOLEIL;33.9;19.1
Carcassonne;43.21;2.35;22/07/2026;0;SOLEIL;34.5;18.2
Carcassonne;43.21;2.35;23/07/2026;0;SOLEIL;32.9;18.6
Carcassonne;43.21;2.35;24/07/2026;0;SOLEIL;32.9;18.6
Carcassonne;43.21;2.35;25/07/2026;0;SOLEIL;30.1;17.1
Carcassonne;43.21;2.35;26/07/2026;0;SOLEIL;27.9;16.2
Carcassonne;43.21;2.35;27/07/2026;0;SOLEIL;28.2;15.4
Carcassonne;43.21;2.35;28/07/2026;6;AVERSES;27.4;16.4
Carcassonne;43.21;2.35;29/07/2026;6;AVERSES;28.7;16.2
Carcassonne;43.21;2.35;30/07/2026;6;AVERSES;28;16.6
Carcassonne;43.21;2.35;31/07/2026;0;SOLEIL;28.2;17.2
Carcassonne;43.21;2.35;01/08/2026;0;SOLEIL;28.6;17.6
Carcassonne;43.21;2.35;02/08/2026;0;SOLEIL;22.0;12
Carcassonne;43.21;2.35;03/08/2026;0;SOLEIL;22.0;12
Laguiole;44.68;2.85;19/07/2026;0;SOLEIL;36.2;21.2
Laguiole;44.68;2.85;20/07/2026;0;SOLEIL;37.5;21.5
Laguiole;44.68;2.85;21/07/2026;0;SOLEIL;37;21.9
Laguiole;44.68;2.85;22/07/2026;0;SOLEIL;36.9;21.6
Laguiole;44.68;2.85;23/07/2026;0;SOLEIL;35.2;21
Laguiole;44.68;2.85;24/07/2026;0;SOLEIL;34.9;20.6
Laguiole;44.68;2.85;25/07/2026;0;SOLEIL;31.9;20
Laguiole;44.68;2.85;26/07/2026;0;SOLEIL;29.2;19.4
Laguiole;44.68;2.85;27/07/2026;0;SOLEIL;28.7;18.6
Laguiole;44.68;2.85;28/07/2026;0;SOLEIL;29.4;19.4
Laguiole;44.68;2.85;29/07/2026;0;SOLEIL;30;19.4
Laguiole;44.68;2.85;30/07/2026;0;SOLEIL;30.9;19.7
Laguiole;44.68;2.85;31/07/2026;0;SOLEIL;31.5;19.9
Laguiole;44.68;2.85;01/08/2026;0;SOLEIL;31;20
Laguiole;44.68;2.85;02/08/2026;0;SOLEIL;22.0;12
Laguiole;44.68;2.85;03/08/2026;0;SOLEIL;22.0;12
Rodez;44.35;2.57;19/07/2026;0;SOLEIL;28.9;15.1
Rodez;44.35;2.57;20/07/2026;0;SOLEIL;30.7;13.7
Rodez;44.35;2.57;21/07/2026;0;SOLEIL;27.7;15.1
Rodez;44.35;2.57;22/07/2026;0;SOLEIL;29.4;12.1
Rodez;44.35;2.57;23/07/2026;0;SOLEIL;27.2;14.7
Rodez;44.35;2.57;24/07/2026;0;SOLEIL;26.4;14.1
Rodez;44.35;2.57;25/07/2026;0;SOLEIL;24.7;14.6
Rodez;44.35;2.57;26/07/2026;0;SOLEIL;21.7;13.4
Rodez;44.35;2.57;27/07/2026;0;SOLEIL;21.2;12.4
Rodez;44.35;2.57;28/07/2026;0;SOLEIL;21.9;12.1
Rodez;44.35;2.57;29/07/2026;0;SOLEIL;24.1;13.1
Rodez;44.35;2.57;30/07/2026;0;SOLEIL;23.6;14.6
Rodez;44.35;2.57;31/07/2026;0;SOLEIL;23.5;14.6
Rodez;44.35;2.57;01/08/2026;0;SOLEIL;24.2;14.4
Rodez;44.35;2.57;02/08/2026;0;SOLEIL;22.0;12
Rodez;44.35;2.57;03/08/2026;0;SOLEIL;22.0;12
Saint-Affrique;43.96;2.88;19/07/2026;0;SOLEIL;31.6;13
Saint-Affrique;43.96;2.88;20/07/2026;5;SOLEIL VOILÉ;32.7;14.5
Saint-Affrique;43.96;2.88;21/07/2026;0;SOLEIL;32.1;15.7
Saint-Affrique;43.96;2.88;22/07/2026;0;SOLEIL;32.1;13.2
Saint-Affrique;43.96;2.88;23/07/2026;0;SOLEIL;30.1;13.6
Saint-Affrique;43.96;2.88;24/07/2026;0;SOLEIL;30.4;13.1
Saint-Affrique;43.96;2.88;25/07/2026;0;SOLEIL;28;13.7
Saint-Affrique;43.96;2.88;26/07/2026;0;SOLEIL;25.1;13.4
Saint-Affrique;43.96;2.88;27/07/2026;0;SOLEIL;24.5;13.5
Saint-Affrique;43.96;2.88;28/07/2026;0;SOLEIL;25.9;13.4
Saint-Affrique;43.96;2.88;29/07/2026;0;SOLEIL;27.1;14
Saint-Affrique;43.96;2.88;30/07/2026;0;SOLEIL;27.7;14.2
Saint-Affrique;43.96;2.88;31/07/2026;0;SOLEIL;27.2;14.2
Saint-Affrique;43.96;2.88;01/08/2026;0;SOLEIL;26.6;14.4
Saint-Affrique;43.96;2.88;02/08/2026;0;SOLEIL;22.0;12
Saint-Affrique;43.96;2.88;03/08/2026;0;SOLEIL;22.0;12
Alès;44.12;4.08;19/07/2026;0;SOLEIL;35.6;17.7
Alès;44.12;4.08;20/07/2026;0;SOLEIL;37.1;17.4
Alès;44.12;4.08;21/07/2026;0;SOLEIL;36.1;18
Alès;44.12;4.08;22/07/2026;0;SOLEIL;35;15.1
Alès;44.12;4.08;23/07/2026;0;SOLEIL;33.1;15.4
Alès;44.12;4.08;24/07/2026;0;SOLEIL;34;13.9
Alès;44.12;4.08;25/07/2026;0;SOLEIL;31.5;15.7
Alès;44.12;4.08;26/07/2026;0;SOLEIL;28.6;15.2
Alès;44.12;4.08;27/07/2026;0;SOLEIL;28.1;14.6
