Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Barcelonnette;44.38;6.65;21/07/2026;0;SOLEIL;36.2;25.7
Barcelonnette;44.38;6.65;22/07/2026;0;SOLEIL;33.1;23.5
Barcelonnette;44.38;6.65;23/07/2026;0;SOLEIL;33.1;23.1
Barcelonnette;44.38;6.65;24/07/2026;0;SOLEIL;30;23.6
Barcelonnette;44.38;6.65;25/07/2026;0;SOLEIL;26.6;22.4
Barcelonnette;44.38;6.65;26/07/2026;0;SOLEIL;27.7;21.2
Barcelonnette;44.38;6.65;27/07/2026;0;SOLEIL;28.2;21.6
Barcelonnette;44.38;6.65;28/07/2026;0;SOLEIL;28.1;22
Barcelonnette;44.38;6.65;29/07/2026;0;SOLEIL;28.1;21.6
Barcelonnette;44.38;6.65;30/07/2026;0;SOLEIL;28.1;21.6
Barcelonnette;44.38;6.65;31/07/2026;0;SOLEIL;28.5;22.6
Barcelonnette;44.38;6.65;01/08/2026;0;SOLEIL;28.6;23
Barcelonnette;44.38;6.65;02/08/2026;0;SOLEIL;29.2;23.1
Barcelonnette;44.38;6.65;03/08/2026;0;SOLEIL;30.7;22.9
Barcelonnette;44.38;6.65;04/08/2026;0;SOLEIL;22.0;12
Barcelonnette;44.38;6.65;05/08/2026;0;SOLEIL;22.0;12
Digne-les-Bains;44.09;6.23;21/07/2026;0;SOLEIL;27.5;10.6
Digne-les-Bains;44.09;6.23;22/07/2026;0;SOLEIL;28.6;7
Digne-les-Bains;44.09;6.23;23/07/2026;0;SOLEIL;28;8
Digne-les-Bains;44.09;6.23;24/07/2026;0;SOLEIL;29;6.6
Digne-les-Bains;44.09;6.23;25/07/2026;6;AVERSES;24.6;9
Digne-les-Bains;44.09;6.23;26/07/2026;6;AVERSES;23.4;9.9
Digne-les-Bains;44.09;6.23;27/07/2026;0;SOLEIL;26.1;7.9
Digne-les-Bains;44.09;6.23;28/07/2026;0;SOLEIL;27.4;8.7
Digne-les-Bains;44.09;6.23;29/07/2026;0;SOLEIL;27.6;9.6
Digne-les-Bains;44.09;6.23;30/07/2026;0;SOLEIL;28.7;10
Digne-les-Bains;44.09;6.23;31/07/2026;0;SOLEIL;30.5;10
Digne-les-Bains;44.09;6.23;01/08/2026;0;SOLEIL;31.1;10.9
Digne-les-Bains;44.09;6.23;02/08/2026;6;AVERSES;30.2;10.5
Digne-les-Bains;44.09;6.23;03/08/2026;0;SOLEIL;29.1;11
Digne-les-Bains;44.09;6.23;04/08/2026;0;SOLEIL;22.0;12
Digne-les-Bains;44.09;6.23;05/08/2026;0;SOLEIL;22.0;12
Forcalquier;43.96;5.78;21/07/2026;0;SOLEIL;34.1;18.7
Forcalquier;43.96;5.78;22/07/2026;0;SOLEIL;32.6;13.4
Forcalquier;43.96;5.78;23/07/2026;0;SOLEIL;32.4;12.4
Forcalquier;43.96;5.78;24/07/2026;0;SOLEIL;32.7;12.9
Forcalquier;43.96;5.78;25/07/2026;6;AVERSES;28.1;15.9
Forcalquier;43.96;5.78;26/07/2026;0;SOLEIL;28.7;14.6
Forcalquier;43.96;5.78;27/07/2026;0;SOLEIL;29.7;13.6
Forcalquier;43.96;5.78;28/07/2026;0;SOLEIL;31;13.9
Forcalquier;43.96;5.78;29/07/2026;0;SOLEIL;31.9;15
Forcalquier;43.96;5.78;30/07/2026;0;SOLEIL;32.6;14.9
Forcalquier;43.96;5.78;31/07/2026;0;SOLEIL;33.9;16.1
Forcalquier;43.96;5.78;01/08/2026;0;SOLEIL;34.5;16.4
Forcalquier;43.96;5.78;02/08/2026;0;SOLEIL;33.7;17
Forcalquier;43.96;5.78;03/08/2026;0;SOLEIL;34.9;16.1
Forcalquier;43.96;5.78;04/08/2026;0;SOLEIL;22.0;12
Forcalquier;43.96;5.78;05/08/2026;0;SOLEIL;22.0;12
Briançon;44.89;6.64;21/07/2026;0;SOLEIL;33.6;18.4
Briançon;44.89;6.64;22/07/2026;0;SOLEIL;32.5;13.2
Briançon;44.89;6.64;23/07/2026;0;SOLEIL;33;13.1
Briançon;44.89;6.64;24/07/2026;0;SOLEIL;32.9;14.2
Briançon;44.89;6.64;25/07/2026;6;AVERSES;27.5;16.2
Briançon;44.89;6.64;26/07/2026;0;SOLEIL;27.1;15.9
Briançon;44.89;6.64;27/07/2026;0;SOLEIL;27.9;16.6
Briançon;44.89;6.64;28/07/2026;0;SOLEIL;30.4;15.2
Briançon;44.89;6.64;29/07/2026;0;SOLEIL;31.1;15.6
Briançon;44.89;6.64;30/07/2026;0;SOLEIL;30.7;15.7
Briançon;44.89;6.64;31/07/2026;0;SOLEIL;32.1;16.2
Briançon;44.89;6.64;01/08/2026;0;SOLEIL;32.4;16.7
Briançon;44.89;6.64;02/08/2026;0;SOLEIL;32.6;17.6
Briançon;44.89;6.64;03/08/2026;0;SOLEIL;33.6;17.4
Briançon;44.89;6.64;04/08/2026;0;SOLEIL;22.0;12
Briançon;44.89;6.64;05/08/2026;0;SOLEIL;22.0;12
Étoile-Saint-Cyrice;44.31;5.63;21/07/2026;0;SOLEIL;28.7;13.4
Étoile-Saint-Cyrice;44.31;5.63;22/07/2026;0;SOLEIL;30.1;9.2
Étoile-Saint-Cyrice;44.31;5.63;23/07/2026;0;SOLEIL;27.5;11.4
Étoile-Saint-Cyrice;44.31;5.63;24/07/2026;0;SOLEIL;30.4;9.5
Étoile-Saint-Cyrice;44.31;5.63;25/07/2026;6;AVERSES;23.2;11.7
Étoile-Saint-Cyrice;44.31;5.63;26/07/2026;6;AVERSES;23.2;10.2
Étoile-Saint-Cyrice;44.31;5.63;27/07/2026;0;SOLEIL;26.1;9.7
Étoile-Saint-Cyrice;44.31;5.63;28/07/2026;0;SOLEIL;26.6;10.9
Étoile-Saint-Cyrice;44.31;5.63;29/07/2026;0;SOLEIL;27.2;11.5
Étoile-Saint-Cyrice;44.31;5.63;30/07/2026;0;SOLEIL;28.5;11.6
Étoile-Saint-Cyrice;44.31;5.63;31/07/2026;6;AVERSES;30.2;12
Étoile-Saint-Cyrice;44.31;5.63;01/08/2026;0;SOLEIL;31;12.2
Étoile-Saint-Cyrice;44.31;5.63;02/08/2026;6;AVERSES;29.7;12.6
Étoile-Saint-Cyrice;44.31;5.63;03/08/2026;6;AVERSES;28.1;12.6
Étoile-Saint-Cyrice;44.31;5.63;04/08/2026;0;SOLEIL;22.0;12
Étoile-Saint-Cyrice;44.31;5.63;05/08/2026;0;SOLEIL;22.0;12
Gap;44.56;6.07;21/07/2026;0;SOLEIL;30.5;15.1
Gap;44.56;6.07;22/07/2026;0;SOLEIL;30;10.1
Gap;44.56;6.07;23/07/2026;0;SOLEIL;29.6;10.2
Gap;44.56;6.07;24/07/2026;0;SOLEIL;31.1;9.1
Gap;44.56;6.07;25/07/2026;6;AVERSES;24.9;12.7
Gap;44.56;6.07;26/07/2026;6;AVERSES;25.2;12
Gap;44.56;6.07;27/07/2026;0;SOLEIL;25.7;12.9
Gap;44.56;6.07;28/07/2026;0;SOLEIL;28.1;12.1
Gap;44.56;6.07;29/07/2026;0;SOLEIL;28.4;12.2
Gap;44.56;6.07;30/07/2026;0;SOLEIL;28.9;12.2
Gap;44.56;6.07;31/07/2026;0;SOLEIL;30.2;12.4
Gap;44.56;6.07;01/08/2026;0;SOLEIL;30.7;13.1
Gap;44.56;6.07;02/08/2026;0;SOLEIL;31;13.9
Gap;44.56;6.07;03/08/2026;0;SOLEIL;31.6;13.5
Gap;44.56;6.07;04/08/2026;0;SOLEIL;22.0;12
Gap;44.56;6.07;05/08/2026;0;SOLEIL;22.0;12
Vallouise;44.84;6.48;21/07/2026;0;SOLEIL;32.6;19.2
Vallouise;44.84;6.48;22/07/2026;0;SOLEIL;33.9;14.2
Vallouise;44.84;6.48;23/07/2026;0;SOLEIL;31.4;15.9
Vallouise;44.84;6.48;24/07/2026;0;SOLEIL;33.2;15.6
Vallouise;44.84;6.48;25/07/2026;6;AVERSES;27.1;16.9
Vallouise;44.84;6.48;26/07/2026;6;AVERSES;27.1;15
Vallouise;44.84;6.48;27/07/2026;0;SOLEIL;28.6;15
Vallouise;44.84;6.48;28/07/2026;0;SOLEIL;30.5;16
Vallouise;44.84;6.48;29/07/2026;0;SOLEIL;30.2;16.6
Vallouise;44.84;6.48;30/07/2026;0;SOLEIL;31.1;17.1
Vallouise;44.84;6.48;31/07/2026;0;SOLEIL;33.1;17.1
Vallouise;44.84;6.48;01/08/2026;0;SOLEIL;33.6;18.6
Vallouise;44.84;6.48;02/08/2026;0;SOLEIL;33.2;18.6
Vallouise;44.84;6.48;03/08/2026;0;SOLEIL;33.6;18.5
Vallouise;44.84;6.48;04/08/2026;0;SOLEIL;22.0;12
Vallouise;44.84;6.48;05/08/2026;0;SOLEIL;22.0;12
Cannes;43.55;7.01;21/07/2026;0;SOLEIL;27.6;13.2
Cannes;43.55;7.01;22/07/2026;0;SOLEIL;31;11
Cannes;43.55;7.01;23/07/2026;0;SOLEIL;28.1;11.2
Cannes;43.55;7.01;24/07/2026;0;SOLEIL;30.1;10.1
Cannes;43.55;7.01;25/07/2026;6;AVERSES;23.6;12
Cannes;43.55;7.01;26/07/2026;6;AVERSES;24.2;10.1
Cannes;43.55;7.01;27/07/2026;0;SOLEIL;27.2;8.9
Cannes;43.55;7.01;28/07/2026;0;SOLEIL;27.6;9.6
Cannes;43.55;7.01;29/07/2026;0;SOLEIL;27.6;10.7
Cannes;43.55;7.01;30/07/2026;0;SOLEIL;29.1;10.7
Cannes;43.55;7.01;31/07/2026;6;AVERSES;30.6;11.2
Cannes;43.55;7.01;01/08/2026;6;AVERSES;31;11.9
Cannes;43.55;7.01;02/08/2026;6;AVERSES;29.6;12.2
Cannes;43.55;7.01;03/08/2026;0;SOLEIL;28.7;13.1
Cannes;43.55;7.01;04/08/2026;0;SOLEIL;22.0;12
Cannes;43.55;7.01;05/08/2026;0;SOLEIL;22.0;12
Nice;43.71;7.26;21/07/2026;0;SOLEIL;31.1;23.6
Nice;43.71;7.26;22/07/2026;0;SOLEIL;29.9;20.6
Nice;43.71;7.26;23/07/2026;0;SOLEIL;29.6;19.7
Nice;43.71;7.26;24/07/2026;0;SOLEIL;30.1;19.6
Nice;43.71;7.26;25/07/2026;6;AVERSES;29.6;20.6
Nice;43.71;7.26;26/07/2026;0;SOLEIL;31.7;20.1
Nice;43.71;7.26;27/07/2026;0;SOLEIL;29.9;20
Nice;43.71;7.26;28/07/2026;0;SOLEIL;29.5;20.1
Nice;43.71;7.26;29/07/2026;0;SOLEIL;29.6;20.9
Nice;43.71;7.26;30/07/2026;0;SOLEIL;29.7;20.7
Nice;43.71;7.26;31/07/2026;0;SOLEIL;30.1;21.2
Nice;43.71;7.26;01/08/2026;0;SOLEIL;30.6;22
Nice;43.71;7.26;02/08/2026;0;SOLEIL;31.6;22.2
Nice;43.71;7.26;03/08/2026;0;SOLEIL;31.9;22.1
Nice;43.71;7.26;04/08/2026;0;SOLEIL;22.0;12
Nice;43.71;7.26;05/08/2026;0;SOLEIL;22.0;12
Puget-Théniers;43.95;6.89;21/07/2026;0;SOLEIL;29.4;24.5
Puget-Théniers;43.95;6.89;22/07/2026;0;SOLEIL;31;24.4
Puget-Théniers;43.95;6.89;23/07/2026;0;SOLEIL;29.6;21.6
Puget-Théniers;43.95;6.89;24/07/2026;0;SOLEIL;28.7;24.6
Puget-Théniers;43.95;6.89;25/07/2026;6;AVERSES;28.6;23.5
Puget-Théniers;43.95;6.89;26/07/2026;6;AVERSES;28.4;22.9
Puget-Théniers;43.95;6.89;27/07/2026;0;SOLEIL;28.5;23.1
Puget-Théniers;43.95;6.89;28/07/2026;6;AVERSES;28.1;23.6
Puget-Théniers;43.95;6.89;29/07/2026;0;SOLEIL;28.5;24.1
Puget-Théniers;43.95;6.89;30/07/2026;0;SOLEIL;28.4;24
Puget-Théniers;43.95;6.89;31/07/2026;0;SOLEIL;28.7;24.6
Puget-Théniers;43.95;6.89;01/08/2026;0;SOLEIL;29.9;25.1
Puget-Théniers;43.95;6.89;02/08/2026;0;SOLEIL;30.2;25.5
Puget-Théniers;43.95;6.89;03/08/2026;0;SOLEIL;30.6;26.4
Puget-Théniers;43.95;6.89;04/08/2026;0;SOLEIL;22.0;12
Puget-Théniers;43.95;6.89;05/08/2026;0;SOLEIL;22.0;12
Tende;44.08;7.59;21/07/2026;0;SOLEIL;34.7;19.6
Tende;44.08;7.59;22/07/2026;0;SOLEIL;33.9;15.7
Tende;44.08;7.59;23/07/2026;0;SOLEIL;36.1;16.2
Tende;44.08;7.59;24/07/2026;0;SOLEIL;34.4;17.6
Tende;44.08;7.59;25/07/2026;6;AVERSES;30.2;18.5
Tende;44.08;7.59;26/07/2026;6;AVERSES;31.6;17
Tende;44.08;7.59;27/07/2026;0;SOLEIL;33.1;16.2
Tende;44.08;7.59;28/07/2026;0;SOLEIL;34.1;17.2
