Ville;Latitude;Longitude;Date;Heure;temperature_2m;weathercode;Temps_Label;windspeed_10m;wind_gusts_10m;precipitation
PARIS;48.85;2.35;01/08/2026;00:00;20.6;2;NUAGEUX;3;35.3;0
PARIS;48.85;2.35;01/08/2026;01:00;20.1;0;SOLEIL;3;23.0;0
PARIS;48.85;2.35;01/08/2026;02:00;20.2;5;SOLEIL VOILÉ;3;20.9;0
PARIS;48.85;2.35;01/08/2026;03:00;20.2;5;SOLEIL VOILÉ;3;20.5;0
PARIS;48.85;2.35;01/08/2026;04:00;19.6;5;SOLEIL VOILÉ;3;18.4;0
PARIS;48.85;2.35;01/08/2026;05:00;19;2;NUAGEUX;3;16.9;0
PARIS;48.85;2.35;01/08/2026;06:00;19.6;5;SOLEIL VOILÉ;3;18.0;0
PARIS;48.85;2.35;01/08/2026;07:00;21.5;0;SOLEIL;2;17.6;0
PARIS;48.85;2.35;01/08/2026;08:00;23.1;0;SOLEIL;2;20.5;0
PARIS;48.85;2.35;01/08/2026;09:00;23.7;0;SOLEIL;3;18.7;0
PARIS;48.85;2.35;01/08/2026;10:00;25.1;0;SOLEIL;2;20.2;0
PARIS;48.85;2.35;01/08/2026;11:00;25.7;0;SOLEIL;2;19.8;0
PARIS;48.85;2.35;01/08/2026;12:00;26.2;5;SOLEIL VOILÉ;2;21.2;0
PARIS;48.85;2.35;01/08/2026;13:00;27.1;5;SOLEIL VOILÉ;2;20.5;0
PARIS;48.85;2.35;01/08/2026;14:00;28;5;SOLEIL VOILÉ;2;18.0;0
PARIS;48.85;2.35;01/08/2026;15:00;27.9;5;SOLEIL VOILÉ;2;22.3;0
PARIS;48.85;2.35;01/08/2026;16:00;28.2;5;SOLEIL VOILÉ;3;22.3;0
PARIS;48.85;2.35;01/08/2026;17:00;28.1;5;SOLEIL VOILÉ;3;25.9;0
PARIS;48.85;2.35;01/08/2026;18:00;27.5;5;SOLEIL VOILÉ;3;20.2;0
PARIS;48.85;2.35;01/08/2026;19:00;25.6;5;SOLEIL VOILÉ;4;23.0;0
PARIS;48.85;2.35;01/08/2026;20:00;24.6;5;SOLEIL VOILÉ;4;35.6;0
PARIS;48.85;2.35;01/08/2026;21:00;24.1;5;SOLEIL VOILÉ;4;30.2;0
PARIS;48.85;2.35;01/08/2026;22:00;22.6;5;SOLEIL VOILÉ;4;31.0;0
PARIS;48.85;2.35;01/08/2026;23:00;22.1;5;SOLEIL VOILÉ;4;28.8;0
PARIS;48.85;2.35;02/08/2026;00:00;21;0;SOLEIL;3;26.6;0
PARIS;48.85;2.35;02/08/2026;01:00;21;0;SOLEIL;3;24.5;0
PARIS;48.85;2.35;02/08/2026;02:00;19.2;0;SOLEIL;3;23.0;0
PARIS;48.85;2.35;02/08/2026;03:00;19.2;0;SOLEIL;3;21.2;0
PARIS;48.85;2.35;02/08/2026;04:00;19.2;0;SOLEIL;3;21.2;0
PARIS;48.85;2.35;02/08/2026;05:00;19.1;0;SOLEIL;2;18.4;0
PARIS;48.85;2.35;02/08/2026;06:00;19.1;0;SOLEIL;2;18.0;0
PARIS;48.85;2.35;02/08/2026;07:00;19.1;0;SOLEIL;2;17.6;0
PARIS;48.85;2.35;02/08/2026;08:00;25.6;0;SOLEIL;2;18.4;0
PARIS;48.85;2.35;02/08/2026;09:00;25.6;0;SOLEIL;2;18.7;0
PARIS;48.85;2.35;02/08/2026;10:00;25.6;0;SOLEIL;2;18.7;0
PARIS;48.85;2.35;02/08/2026;11:00;30.4;0;SOLEIL;2;19.8;0
PARIS;48.85;2.35;02/08/2026;12:00;30.4;0;SOLEIL;2;19.8;0
PARIS;48.85;2.35;02/08/2026;13:00;30.4;0;SOLEIL;2;13.7;0
PARIS;48.85;2.35;02/08/2026;14:00;32.5;5;SOLEIL VOILÉ;3;9.0;0
PARIS;48.85;2.35;02/08/2026;15:00;32.5;5;SOLEIL VOILÉ;3;11.2;0
PARIS;48.85;2.35;02/08/2026;16:00;32.5;5;SOLEIL VOILÉ;3;14.4;0
PARIS;48.85;2.35;02/08/2026;17:00;29.9;5;SOLEIL VOILÉ;5;18.0;0
PARIS;48.85;2.35;02/08/2026;18:00;29.9;5;SOLEIL VOILÉ;5;18.4;0
PARIS;48.85;2.35;02/08/2026;19:00;29.9;5;SOLEIL VOILÉ;5;24.1;0
PARIS;48.85;2.35;02/08/2026;20:00;24.9;5;SOLEIL VOILÉ;4;19.1;0
PARIS;48.85;2.35;02/08/2026;21:00;24.9;5;SOLEIL VOILÉ;4;25.2;0
PARIS;48.85;2.35;02/08/2026;22:00;24.9;5;SOLEIL VOILÉ;4;23.8;0
PARIS;48.85;2.35;02/08/2026;23:00;23.6;5;SOLEIL VOILÉ;3;22.3;0
PARIS;48.85;2.35;03/08/2026;00:00;23.6;5;SOLEIL VOILÉ;3;20.5;0
PARIS;48.85;2.35;03/08/2026;01:00;23.6;5;SOLEIL VOILÉ;3;18.7;0
PARIS;48.85;2.35;03/08/2026;02:00;22;5;SOLEIL VOILÉ;3;15.8;0
PARIS;48.85;2.35;03/08/2026;03:00;22;5;SOLEIL VOILÉ;3;14.4;0
PARIS;48.85;2.35;03/08/2026;04:00;22;5;SOLEIL VOILÉ;3;13.3;0
PARIS;48.85;2.35;03/08/2026;05:00;22;5;SOLEIL VOILÉ;2;13.0;0
PARIS;48.85;2.35;03/08/2026;06:00;22;5;SOLEIL VOILÉ;2;12.6;0
PARIS;48.85;2.35;03/08/2026;07:00;22;5;SOLEIL VOILÉ;2;10.8;0
