Ville;Latitude;Longitude;Date;Heure;temperature_2m;weathercode;Temps_Label;windspeed_10m;wind_gusts_10m;precipitation
Bourg-en-Bresse;46.2;5.22;16/07/2026;00:00;23.6;0;SOLEIL;2;17.3;0
Bourg-en-Bresse;46.2;5.22;16/07/2026;01:00;23.1;0;SOLEIL;2;11.9;0
Bourg-en-Bresse;46.2;5.22;16/07/2026;02:00;22.6;0;SOLEIL;2;11.9;0
Bourg-en-Bresse;46.2;5.22;16/07/2026;03:00;23.6;0;SOLEIL;1;12.2;0
Bourg-en-Bresse;46.2;5.22;16/07/2026;04:00;22.2;0;SOLEIL;2;10.8;0
Bourg-en-Bresse;46.2;5.22;16/07/2026;05:00;22.5;0;SOLEIL;1;10.8;0
Bourg-en-Bresse;46.2;5.22;16/07/2026;06:00;24.1;0;SOLEIL;1;9.0;0
Bourg-en-Bresse;46.2;5.22;16/07/2026;07:00;25;5;SOLEIL VOILÉ;1;7.2;0
Bourg-en-Bresse;46.2;5.22;16/07/2026;08:00;27.6;0;SOLEIL;1;8.3;0
Bourg-en-Bresse;46.2;5.22;16/07/2026;09:00;29.6;5;SOLEIL VOILÉ;2;9.7;0
Bourg-en-Bresse;46.2;5.22;16/07/2026;10:00;31.2;5;SOLEIL VOILÉ;2;10.8;0
Bourg-en-Bresse;46.2;5.22;16/07/2026;11:00;32.5;5;SOLEIL VOILÉ;3;10.4;0
Bourg-en-Bresse;46.2;5.22;16/07/2026;12:00;32.1;5;SOLEIL VOILÉ;3;15.1;0
Bourg-en-Bresse;46.2;5.22;16/07/2026;13:00;33.5;5;SOLEIL VOILÉ;4;22.7;0
Bourg-en-Bresse;46.2;5.22;16/07/2026;14:00;34;10;ORAGEUX;5;28.8;0
Bourg-en-Bresse;46.2;5.22;16/07/2026;15:00;31;10;ORAGEUX;6;34.9;0.4
Bourg-en-Bresse;46.2;5.22;16/07/2026;16:00;33;10;ORAGEUX;6;31.7;0.1
Bourg-en-Bresse;46.2;5.22;16/07/2026;17:00;32.6;6;AVERSES;5;61.2;0.1
Bourg-en-Bresse;46.2;5.22;16/07/2026;18:00;32.6;10;ORAGEUX;6;55.4;0.1
Bourg-en-Bresse;46.2;5.22;16/07/2026;19:00;29;6;AVERSES;4;52.2;0.4
Bourg-en-Bresse;46.2;5.22;16/07/2026;20:00;25.1;6;AVERSES;5;56.2;0.1
Bourg-en-Bresse;46.2;5.22;16/07/2026;21:00;23.9;10;ORAGEUX;3;41.4;0.5
Bourg-en-Bresse;46.2;5.22;16/07/2026;22:00;22.1;10;ORAGEUX;3;33.8;0.4
Bourg-en-Bresse;46.2;5.22;16/07/2026;23:00;22.4;10;ORAGEUX;3;25.2;0
Bourg-en-Bresse;46.2;5.22;17/07/2026;00:00;23.2;10;ORAGEUX;3;44.3;0.1
Bourg-en-Bresse;46.2;5.22;17/07/2026;01:00;23.2;10;ORAGEUX;3;13.0;0.1
Bourg-en-Bresse;46.2;5.22;17/07/2026;02:00;23.4;10;ORAGEUX;3;16.6;0
Bourg-en-Bresse;46.2;5.22;17/07/2026;03:00;23.4;10;ORAGEUX;3;16.6;0
Bourg-en-Bresse;46.2;5.22;17/07/2026;04:00;23.4;10;ORAGEUX;3;9.4;0
Bourg-en-Bresse;46.2;5.22;17/07/2026;05:00;23.1;10;ORAGEUX;2;16.2;0
Bourg-en-Bresse;46.2;5.22;17/07/2026;06:00;23.1;10;ORAGEUX;2;20.2;0
Bourg-en-Bresse;46.2;5.22;17/07/2026;07:00;23.1;10;ORAGEUX;2;12.2;0
Bourg-en-Bresse;46.2;5.22;17/07/2026;08:00;28.4;0;SOLEIL;2;9.4;0
Bourg-en-Bresse;46.2;5.22;17/07/2026;09:00;28.4;0;SOLEIL;2;6.2;0
Bourg-en-Bresse;46.2;5.22;17/07/2026;10:00;28.4;0;SOLEIL;2;16.9;0
Bourg-en-Bresse;46.2;5.22;17/07/2026;11:00;30.6;10;ORAGEUX;2;25.0;0
Bourg-en-Bresse;46.2;5.22;17/07/2026;12:00;30.6;10;ORAGEUX;2;29.9;0
Bourg-en-Bresse;46.2;5.22;17/07/2026;13:00;30.6;10;ORAGEUX;2;29.9;0
Bourg-en-Bresse;46.2;5.22;17/07/2026;14:00;29.9;10;ORAGEUX;3;28.8;0
Bourg-en-Bresse;46.2;5.22;17/07/2026;15:00;29.9;10;ORAGEUX;3;29.2;0
Bourg-en-Bresse;46.2;5.22;17/07/2026;16:00;29.9;10;ORAGEUX;3;24.8;0
Bourg-en-Bresse;46.2;5.22;17/07/2026;17:00;27.7;10;ORAGEUX;3;26.3;0
Bourg-en-Bresse;46.2;5.22;17/07/2026;18:00;27.7;10;ORAGEUX;3;29.5;0
Bourg-en-Bresse;46.2;5.22;17/07/2026;19:00;27.7;10;ORAGEUX;3;29.9;0
Bourg-en-Bresse;46.2;5.22;17/07/2026;20:00;25.4;10;ORAGEUX;2;26.3;0
Bourg-en-Bresse;46.2;5.22;17/07/2026;21:00;25.4;10;ORAGEUX;2;25.6;0
Bourg-en-Bresse;46.2;5.22;17/07/2026;22:00;25.4;10;ORAGEUX;2;28.1;0
Bourg-en-Bresse;46.2;5.22;17/07/2026;23:00;23.5;0;SOLEIL;2;27.0;0
Bourg-en-Bresse;46.2;5.22;18/07/2026;00:00;23.5;0;SOLEIL;2;24.5;0
Bourg-en-Bresse;46.2;5.22;18/07/2026;01:00;23.5;0;SOLEIL;2;16.9;0
Bourg-en-Bresse;46.2;5.22;18/07/2026;02:00;21.6;0;SOLEIL;2;7.6;0
Bourg-en-Bresse;46.2;5.22;18/07/2026;03:00;21.6;0;SOLEIL;2;7.2;0
Bourg-en-Bresse;46.2;5.22;18/07/2026;04:00;21.6;0;SOLEIL;2;4.3;0
Bourg-en-Bresse;46.2;5.22;18/07/2026;05:00;21.6;0;SOLEIL;2;6.1;0
Bourg-en-Bresse;46.2;5.22;18/07/2026;06:00;21.6;0;SOLEIL;2;7.2;0
Bourg-en-Bresse;46.2;5.22;18/07/2026;07:00;21.6;0;SOLEIL;2;7.6;0
Bourg-en-Bresse;46.2;5.22;18/07/2026;08:00;26;6;AVERSES;2;7.9;0
Bourg-en-Bresse;46.2;5.22;18/07/2026;09:00;26;6;AVERSES;2;14.4;0
Bourg-en-Bresse;46.2;5.22;18/07/2026;10:00;26;6;AVERSES;2;18.0;0
Bourg-en-Bresse;46.2;5.22;18/07/2026;11:00;27.1;0;SOLEIL;3;19.4;0
Bourg-en-Bresse;46.2;5.22;18/07/2026;12:00;27.1;0;SOLEIL;3;27.0;0
Bourg-en-Bresse;46.2;5.22;18/07/2026;13:00;27.1;0;SOLEIL;3;28.8;0
Bourg-en-Bresse;46.2;5.22;18/07/2026;14:00;28.4;0;SOLEIL;3;29.5;0
Bourg-en-Bresse;46.2;5.22;18/07/2026;15:00;28.4;0;SOLEIL;3;31.3;0
