Ville;Latitude;Longitude;Date;Heure;temperature_2m;weathercode;Temps_Label;windspeed_10m;wind_gusts_10m;precipitation
Lannion;48.73;-3.46;22/07/2026;00:00;16.6;0;SOLEIL;3;24.5;0
Lannion;48.73;-3.46;22/07/2026;01:00;15.6;0;SOLEIL;3;22.3;0
Lannion;48.73;-3.46;22/07/2026;02:00;14.6;0;SOLEIL;3;18.4;0
Lannion;48.73;-3.46;22/07/2026;03:00;14.2;0;SOLEIL;3;17.6;0
Lannion;48.73;-3.46;22/07/2026;04:00;13.9;0;SOLEIL;3;17.3;0
Lannion;48.73;-3.46;22/07/2026;05:00;13.5;0;SOLEIL;2;18.4;0
Lannion;48.73;-3.46;22/07/2026;06:00;15.1;0;SOLEIL;2;19.1;0
Lannion;48.73;-3.46;22/07/2026;07:00;17.1;0;SOLEIL;2;20.2;0
Lannion;48.73;-3.46;22/07/2026;08:00;20.4;0;SOLEIL;3;19.8;0
Lannion;48.73;-3.46;22/07/2026;09:00;23.2;0;SOLEIL;3;23.0;0
Lannion;48.73;-3.46;22/07/2026;10:00;24.2;0;SOLEIL;4;28.4;0
Lannion;48.73;-3.46;22/07/2026;11:00;25.6;0;SOLEIL;4;33.8;0
Lannion;48.73;-3.46;22/07/2026;12:00;27.6;0;SOLEIL;4;36.0;0
Lannion;48.73;-3.46;22/07/2026;13:00;28.7;0;SOLEIL;4;36.0;0
Lannion;48.73;-3.46;22/07/2026;14:00;29.6;0;SOLEIL;4;34.9;0
Lannion;48.73;-3.46;22/07/2026;15:00;29.5;0;SOLEIL;4;34.6;0
Lannion;48.73;-3.46;22/07/2026;16:00;29.1;0;SOLEIL;5;33.8;0
Lannion;48.73;-3.46;22/07/2026;17:00;28.4;0;SOLEIL;5;33.8;0
Lannion;48.73;-3.46;22/07/2026;18:00;26.6;0;SOLEIL;5;39.6;0
Lannion;48.73;-3.46;22/07/2026;19:00;25.1;0;SOLEIL;5;42.8;0
Lannion;48.73;-3.46;22/07/2026;20:00;22.9;0;SOLEIL;5;42.1;0
Lannion;48.73;-3.46;22/07/2026;21:00;21.2;0;SOLEIL;4;39.6;0
Lannion;48.73;-3.46;22/07/2026;22:00;20.2;0;SOLEIL;3;32.0;0
Lannion;48.73;-3.46;22/07/2026;23:00;19.4;0;SOLEIL;3;24.8;0
Lannion;48.73;-3.46;23/07/2026;00:00;18.5;0;SOLEIL;3;20.2;0
Lannion;48.73;-3.46;23/07/2026;01:00;18.5;0;SOLEIL;3;18.4;0
Lannion;48.73;-3.46;23/07/2026;02:00;16.1;0;SOLEIL;2;18.0;0
Lannion;48.73;-3.46;23/07/2026;03:00;16.1;0;SOLEIL;2;17.3;0
Lannion;48.73;-3.46;23/07/2026;04:00;16.1;0;SOLEIL;2;15.5;0
Lannion;48.73;-3.46;23/07/2026;05:00;17.2;0;SOLEIL;2;18.0;0
Lannion;48.73;-3.46;23/07/2026;06:00;17.2;0;SOLEIL;2;18.7;0
Lannion;48.73;-3.46;23/07/2026;07:00;17.2;0;SOLEIL;2;16.6;0
Lannion;48.73;-3.46;23/07/2026;08:00;24.5;0;SOLEIL;3;18.0;0
Lannion;48.73;-3.46;23/07/2026;09:00;24.5;0;SOLEIL;3;25.6;0
Lannion;48.73;-3.46;23/07/2026;10:00;24.5;0;SOLEIL;3;29.5;0
Lannion;48.73;-3.46;23/07/2026;11:00;27.5;0;SOLEIL;3;33.8;0
Lannion;48.73;-3.46;23/07/2026;12:00;27.5;0;SOLEIL;3;35.2;0
Lannion;48.73;-3.46;23/07/2026;13:00;27.5;0;SOLEIL;3;36.9;0
Lannion;48.73;-3.46;23/07/2026;14:00;28.4;0;SOLEIL;4;37.5;0
Lannion;48.73;-3.46;23/07/2026;15:00;28.4;0;SOLEIL;4;37.8;0
Lannion;48.73;-3.46;23/07/2026;16:00;28.4;0;SOLEIL;4;37.8;0
Lannion;48.73;-3.46;23/07/2026;17:00;28.4;0;SOLEIL;4;36.0;0
Lannion;48.73;-3.46;23/07/2026;18:00;28.4;0;SOLEIL;4;36.4;0
Lannion;48.73;-3.46;23/07/2026;19:00;28.4;0;SOLEIL;4;41.0;0
Lannion;48.73;-3.46;23/07/2026;20:00;22.6;0;SOLEIL;5;40.0;0
Lannion;48.73;-3.46;23/07/2026;21:00;22.6;0;SOLEIL;5;36.4;0
Lannion;48.73;-3.46;23/07/2026;22:00;22.6;0;SOLEIL;5;28.4;0
Lannion;48.73;-3.46;23/07/2026;23:00;19.1;0;SOLEIL;3;29.2;0
Lannion;48.73;-3.46;24/07/2026;00:00;19.1;0;SOLEIL;3;29.2;0
Lannion;48.73;-3.46;24/07/2026;01:00;19.1;0;SOLEIL;3;26.3;0
Lannion;48.73;-3.46;24/07/2026;02:00;16.4;0;SOLEIL;2;23.8;0
Lannion;48.73;-3.46;24/07/2026;03:00;16.4;0;SOLEIL;2;22.7;0
Lannion;48.73;-3.46;24/07/2026;04:00;16.4;0;SOLEIL;2;22.3;0
Lannion;48.73;-3.46;24/07/2026;05:00;17.5;0;SOLEIL;2;18.0;0
Lannion;48.73;-3.46;24/07/2026;06:00;17.5;0;SOLEIL;2;18.4;0
Lannion;48.73;-3.46;24/07/2026;07:00;17.5;0;SOLEIL;2;16.2;0
Lannion;48.73;-3.46;24/07/2026;08:00;23.9;0;SOLEIL;3;17.6;0
Lannion;48.73;-3.46;24/07/2026;09:00;23.9;0;SOLEIL;3;24.8;0
Lannion;48.73;-3.46;24/07/2026;10:00;23.9;0;SOLEIL;3;29.2;0
Lannion;48.73;-3.46;24/07/2026;11:00;26.9;0;SOLEIL;3;32.0;0
Lannion;48.73;-3.46;24/07/2026;12:00;26.9;0;SOLEIL;3;33.5;0
Lannion;48.73;-3.46;24/07/2026;13:00;26.9;0;SOLEIL;3;34.9;0
Lannion;48.73;-3.46;24/07/2026;14:00;28.7;0;SOLEIL;4;35.6;0
Lannion;48.73;-3.46;24/07/2026;15:00;28.7;0;SOLEIL;4;35.6;0
Lannion;48.73;-3.46;24/07/2026;16:00;28.7;0;SOLEIL;4;35.6;0
Lannion;48.73;-3.46;24/07/2026;17:00;26.6;0;SOLEIL;4;35.3;0
Lannion;48.73;-3.46;24/07/2026;18:00;26.6;0;SOLEIL;4;34.2;0
Lannion;48.73;-3.46;24/07/2026;19:00;26.6;0;SOLEIL;4;34.6;0
Lannion;48.73;-3.46;24/07/2026;20:00;21.8;0;SOLEIL;5;45.4;0
Lannion;48.73;-3.46;24/07/2026;21:00;20.2;0;SOLEIL;5;43.9;0
Lannion;48.73;-3.46;24/07/2026;22:00;18.6;0;SOLEIL;5;37.8;0
Lannion;48.73;-3.46;24/07/2026;23:00;19.4;0;SOLEIL;3;29.2;0
Lannion;48.73;-3.46;25/07/2026;00:00;19.4;0;SOLEIL;3;24.5;0
Lannion;48.73;-3.46;25/07/2026;01:00;19.4;0;SOLEIL;3;23.0;0
Lannion;48.73;-3.46;25/07/2026;02:00;16.6;0;SOLEIL;5;22.7;0
Lannion;48.73;-3.46;25/07/2026;03:00;16.6;0;SOLEIL;5;16.9;0
Lannion;48.73;-3.46;25/07/2026;04:00;16.6;0;SOLEIL;5;12.2;0
Lannion;48.73;-3.46;25/07/2026;05:00;17.9;0;SOLEIL;3;18.4;0
Lannion;48.73;-3.46;25/07/2026;06:00;17.9;0;SOLEIL;3;21.2;0
Lannion;48.73;-3.46;25/07/2026;07:00;17.9;0;SOLEIL;3;21.6;0
Lannion;48.73;-3.46;25/07/2026;08:00;19.0;0;SOLEIL;5;19.8;0
Lannion;48.73;-3.46;25/07/2026;09:00;20.2;0;SOLEIL;5;20.2;0
Lannion;48.73;-3.46;25/07/2026;10:00;21.4;0;SOLEIL;5;19.4;0
Lannion;48.73;-3.46;25/07/2026;11:00;26.6;0;SOLEIL;4;22.3;0
Lannion;48.73;-3.46;25/07/2026;12:00;26.6;0;SOLEIL;4;27.4;0
Lannion;48.73;-3.46;25/07/2026;13:00;26.6;0;SOLEIL;4;29.9;0
Lannion;48.73;-3.46;25/07/2026;14:00;26.3;0;SOLEIL;5;32.4;0
Lannion;48.73;-3.46;25/07/2026;15:00;27.5;0;SOLEIL;5;34.2;0
Lannion;48.73;-3.46;25/07/2026;16:00;26.3;0;SOLEIL;5;35.3;0
Lannion;48.73;-3.46;25/07/2026;17:00;23.6;2;NUAGEUX;5;36.4;0
Lannion;48.73;-3.46;25/07/2026;18:00;23.6;2;NUAGEUX;5;37.8;0
Lannion;48.73;-3.46;25/07/2026;19:00;23.6;2;NUAGEUX;5;38.9;0
Lannion;48.73;-3.46;25/07/2026;20:00;21.4;0;SOLEIL;5;39.2;0
Lannion;48.73;-3.46;25/07/2026;21:00;20.2;0;SOLEIL;5;38.5;0
Lannion;48.73;-3.46;25/07/2026;22:00;19.0;0;SOLEIL;5;36.7;0
Lannion;48.73;-3.46;25/07/2026;23:00;18.9;0;SOLEIL;3;34.9;0
Lannion;48.73;-3.46;26/07/2026;00:00;18.9;0;SOLEIL;3;32.8;0
Lannion;48.73;-3.46;26/07/2026;01:00;18.9;0;SOLEIL;3;30.2;0
Lannion;48.73;-3.46;26/07/2026;02:00;17;6;AVERSES;5;28.4;0
Lannion;48.73;-3.46;26/07/2026;03:00;17;6;AVERSES;5;28.1;0
Lannion;48.73;-3.46;26/07/2026;04:00;17;6;AVERSES;5;28.4;0
Lannion;48.73;-3.46;26/07/2026;05:00;18.1;6;AVERSES;4;29.2;0
Lannion;48.73;-3.46;26/07/2026;06:00;18.1;6;AVERSES;4;29.9;0
Lannion;48.73;-3.46;26/07/2026;07:00;18.1;6;AVERSES;4;31.3;0
Lannion;48.73;-3.46;26/07/2026;08:00;18.9;6;AVERSES;5;32.0;0
Lannion;48.73;-3.46;26/07/2026;09:00;19.8;6;AVERSES;5;32.0;0
Lannion;48.73;-3.46;26/07/2026;10:00;20.7;6;AVERSES;5;31.7;0
Lannion;48.73;-3.46;26/07/2026;11:00;23.1;6;AVERSES;5;32.4;0
Lannion;48.73;-3.46;26/07/2026;12:00;23.1;6;AVERSES;5;34.9;0
Lannion;48.73;-3.46;26/07/2026;13:00;23.1;6;AVERSES;5;38.9;0
Lannion;48.73;-3.46;26/07/2026;14:00;24.5;6;AVERSES;5;41.4;0
Lannion;48.73;-3.46;26/07/2026;15:00;25.4;6;AVERSES;5;42.1;0
Lannion;48.73;-3.46;26/07/2026;16:00;24.5;6;AVERSES;5;42.1;0
Lannion;48.73;-3.46;26/07/2026;17:00;23.5;6;AVERSES;5;41.8;0
Lannion;48.73;-3.46;26/07/2026;18:00;23.5;6;AVERSES;5;41.0;0
Lannion;48.73;-3.46;26/07/2026;19:00;23.5;6;AVERSES;5;40.3;0
Lannion;48.73;-3.46;26/07/2026;20:00;20.7;6;AVERSES;5;39.2;0
Lannion;48.73;-3.46;26/07/2026;21:00;19.8;6;AVERSES;5;38.5;0
Lannion;48.73;-3.46;26/07/2026;22:00;18.9;6;AVERSES;5;37.8;0
Lannion;48.73;-3.46;26/07/2026;23:00;18.6;0;SOLEIL;3;36.4;0
Lannion;48.73;-3.46;27/07/2026;00:00;18.6;0;SOLEIL;3;33.5;0
Lannion;48.73;-3.46;27/07/2026;01:00;18.6;0;SOLEIL;3;29.5;0
Lannion;48.73;-3.46;27/07/2026;02:00;16.6;2;NUAGEUX;5;26.6;0
Lannion;48.73;-3.46;27/07/2026;03:00;16.6;2;NUAGEUX;5;25.2;0
Lannion;48.73;-3.46;27/07/2026;04:00;16.6;2;NUAGEUX;5;24.1;0
Lannion;48.73;-3.46;27/07/2026;05:00;17.4;0;SOLEIL;3;23.0;0
Lannion;48.73;-3.46;27/07/2026;06:00;17.4;0;SOLEIL;3;21.2;0
Lannion;48.73;-3.46;27/07/2026;07:00;17.4;0;SOLEIL;3;19.1;0
Lannion;48.73;-3.46;27/07/2026;08:00;18.7;2;NUAGEUX;5;17.6;0
Lannion;48.73;-3.46;27/07/2026;09:00;19.7;2;NUAGEUX;5;25.2;0
