Ville;Latitude;Longitude;Date;Heure;temperature_2m;weathercode;Temps_Label;windspeed_10m;wind_gusts_10m;precipitation
Ajaccio;41.92;8.73;20/07/2026;00:00;24.7;0;SOLEIL;2;10.8;0
Ajaccio;41.92;8.73;20/07/2026;01:00;24.6;0;SOLEIL;2;19.4;0
Ajaccio;41.92;8.73;20/07/2026;02:00;24.6;0;SOLEIL;1;9.7;0
Ajaccio;41.92;8.73;20/07/2026;03:00;24.4;0;SOLEIL;1;10.1;0
Ajaccio;41.92;8.73;20/07/2026;04:00;24;0;SOLEIL;2;10.4;0
Ajaccio;41.92;8.73;20/07/2026;05:00;24.6;0;SOLEIL;1;10.1;0
Ajaccio;41.92;8.73;20/07/2026;06:00;26.7;0;SOLEIL;1;10.8;0
Ajaccio;41.92;8.73;20/07/2026;07:00;29.5;0;SOLEIL;2;11.9;0
Ajaccio;41.92;8.73;20/07/2026;08:00;29.6;0;SOLEIL;2;9.4;0
Ajaccio;41.92;8.73;20/07/2026;09:00;32.7;0;SOLEIL;3;6.1;0
Ajaccio;41.92;8.73;20/07/2026;10:00;33.1;0;SOLEIL;4;11.2;0
Ajaccio;41.92;8.73;20/07/2026;11:00;33.4;0;SOLEIL;4;18.7;0
Ajaccio;41.92;8.73;20/07/2026;12:00;34.2;0;SOLEIL;4;21.2;0
Ajaccio;41.92;8.73;20/07/2026;13:00;38.2;0;SOLEIL;5;24.5;0
Ajaccio;41.92;8.73;20/07/2026;14:00;35.4;0;SOLEIL;4;27.7;0
Ajaccio;41.92;8.73;20/07/2026;15:00;33.1;0;SOLEIL;4;29.5;0
Ajaccio;41.92;8.73;20/07/2026;16:00;33.1;0;SOLEIL;3;27.0;0
Ajaccio;41.92;8.73;20/07/2026;17:00;31.9;0;SOLEIL;3;27.0;0
Ajaccio;41.92;8.73;20/07/2026;18:00;30.6;0;SOLEIL;2;24.5;0
Ajaccio;41.92;8.73;20/07/2026;19:00;29.5;0;SOLEIL;2;18.7;0
Ajaccio;41.92;8.73;20/07/2026;20:00;28.1;0;SOLEIL;0;15.8;0
Ajaccio;41.92;8.73;20/07/2026;21:00;27;0;SOLEIL;1;12.2;0
Ajaccio;41.92;8.73;20/07/2026;22:00;26.5;0;SOLEIL;1;4.3;0
Ajaccio;41.92;8.73;20/07/2026;23:00;25.7;0;SOLEIL;2;8.3;0
Ajaccio;41.92;8.73;21/07/2026;00:00;25.5;0;SOLEIL;1;8.3;0
Ajaccio;41.92;8.73;21/07/2026;01:00;25.5;0;SOLEIL;1;8.3;0
Ajaccio;41.92;8.73;21/07/2026;02:00;23.1;0;SOLEIL;0;9.4;0
Ajaccio;41.92;8.73;21/07/2026;03:00;23.1;0;SOLEIL;0;9.7;0
Ajaccio;41.92;8.73;21/07/2026;04:00;23.1;0;SOLEIL;0;11.5;0
Ajaccio;41.92;8.73;21/07/2026;05:00;26.7;0;SOLEIL;1;7.6;0
Ajaccio;41.92;8.73;21/07/2026;06:00;26.7;0;SOLEIL;1;10.4;0
Ajaccio;41.92;8.73;21/07/2026;07:00;26.7;0;SOLEIL;1;5.0;0
Ajaccio;41.92;8.73;21/07/2026;08:00;31.2;0;SOLEIL;2;15.1;0
Ajaccio;41.92;8.73;21/07/2026;09:00;31.2;0;SOLEIL;2;9.0;0
Ajaccio;41.92;8.73;21/07/2026;10:00;31.2;0;SOLEIL;2;14.4;0
Ajaccio;41.92;8.73;21/07/2026;11:00;32.4;0;SOLEIL;4;15.1;0
Ajaccio;41.92;8.73;21/07/2026;12:00;32.4;0;SOLEIL;4;22.0;0
Ajaccio;41.92;8.73;21/07/2026;13:00;32.4;0;SOLEIL;4;22.3;0
Ajaccio;41.92;8.73;21/07/2026;14:00;33.6;0;SOLEIL;4;25.6;0
Ajaccio;41.92;8.73;21/07/2026;15:00;33.6;0;SOLEIL;4;37.8;0
Ajaccio;41.92;8.73;21/07/2026;16:00;33.6;0;SOLEIL;4;46.1;0
Ajaccio;41.92;8.73;21/07/2026;17:00;29.1;0;SOLEIL;3;31.0;0
Ajaccio;41.92;8.73;21/07/2026;18:00;29.1;0;SOLEIL;3;30.2;0
Ajaccio;41.92;8.73;21/07/2026;19:00;29.1;0;SOLEIL;3;16.2;0
Ajaccio;41.92;8.73;21/07/2026;20:00;26.1;0;SOLEIL;1;11.9;0
Ajaccio;41.92;8.73;21/07/2026;21:00;26.1;0;SOLEIL;1;14.4;0
Ajaccio;41.92;8.73;21/07/2026;22:00;26.1;0;SOLEIL;1;13.0;0
Ajaccio;41.92;8.73;21/07/2026;23:00;23;0;SOLEIL;1;10.4;0
Ajaccio;41.92;8.73;22/07/2026;00:00;23;0;SOLEIL;1;8.6;0
Ajaccio;41.92;8.73;22/07/2026;01:00;23;0;SOLEIL;1;10.1;0
Ajaccio;41.92;8.73;22/07/2026;02:00;21.1;0;SOLEIL;1;8.6;0
Ajaccio;41.92;8.73;22/07/2026;03:00;21.1;0;SOLEIL;1;8.3;0
Ajaccio;41.92;8.73;22/07/2026;04:00;21.1;0;SOLEIL;1;8.6;0
Ajaccio;41.92;8.73;22/07/2026;05:00;25.6;0;SOLEIL;1;10.4;0
Ajaccio;41.92;8.73;22/07/2026;06:00;25.6;0;SOLEIL;1;12.6;0
Ajaccio;41.92;8.73;22/07/2026;07:00;25.6;0;SOLEIL;1;11.9;0
Ajaccio;41.92;8.73;22/07/2026;08:00;29.6;0;SOLEIL;3;10.4;0
Ajaccio;41.92;8.73;22/07/2026;09:00;29.6;0;SOLEIL;3;9.0;0
Ajaccio;41.92;8.73;22/07/2026;10:00;29.6;0;SOLEIL;3;10.1;0
Ajaccio;41.92;8.73;22/07/2026;11:00;31.6;0;SOLEIL;4;16.2;0
Ajaccio;41.92;8.73;22/07/2026;12:00;31.6;0;SOLEIL;4;18.7;0
Ajaccio;41.92;8.73;22/07/2026;13:00;31.6;0;SOLEIL;4;24.8;0
