Ville;Latitude;Longitude;Date;Heure;temperature_2m;weathercode;Temps_Label;windspeed_10m;wind_gusts_10m;precipitation
Argent-sur-Sauldre;47.56;2.45;20/07/2026;00:00;17.4;0;SOLEIL;5;22.3;0
Argent-sur-Sauldre;47.56;2.45;20/07/2026;01:00;16.1;0;SOLEIL;5;28.8;0
Argent-sur-Sauldre;47.56;2.45;20/07/2026;02:00;15.1;0;SOLEIL;5;36.0;0
Argent-sur-Sauldre;47.56;2.45;20/07/2026;03:00;13.5;0;SOLEIL;5;34.9;0
Argent-sur-Sauldre;47.56;2.45;20/07/2026;04:00;12.6;0;SOLEIL;4;33.1;0
Argent-sur-Sauldre;47.56;2.45;20/07/2026;05:00;12.5;0;SOLEIL;4;32.0;0
Argent-sur-Sauldre;47.56;2.45;20/07/2026;06:00;14.7;0;SOLEIL;5;29.2;0
Argent-sur-Sauldre;47.56;2.45;20/07/2026;07:00;17;0;SOLEIL;5;28.4;0
Argent-sur-Sauldre;47.56;2.45;20/07/2026;08:00;18.9;0;SOLEIL;5;28.1;0
Argent-sur-Sauldre;47.56;2.45;20/07/2026;09:00;20.2;0;SOLEIL;5;29.5;0
Argent-sur-Sauldre;47.56;2.45;20/07/2026;10:00;21.6;0;SOLEIL;5;32.0;0
Argent-sur-Sauldre;47.56;2.45;20/07/2026;11:00;22.6;0;SOLEIL;5;34.6;0
Argent-sur-Sauldre;47.56;2.45;20/07/2026;12:00;24.2;0;SOLEIL;5;34.6;0
Argent-sur-Sauldre;47.56;2.45;20/07/2026;13:00;25.1;0;SOLEIL;5;33.8;0
Argent-sur-Sauldre;47.56;2.45;20/07/2026;14:00;25.6;0;SOLEIL;5;33.5;0
Argent-sur-Sauldre;47.56;2.45;20/07/2026;15:00;26.5;0;SOLEIL;5;34.9;0
Argent-sur-Sauldre;47.56;2.45;20/07/2026;16:00;26;0;SOLEIL;5;39.6;0
Argent-sur-Sauldre;47.56;2.45;20/07/2026;17:00;26;0;SOLEIL;5;39.2;0
Argent-sur-Sauldre;47.56;2.45;20/07/2026;18:00;24.6;0;SOLEIL;5;41.4;0
