Ville;Latitude;Longitude;Date;Heure;temperature_2m;weathercode;Temps_Label;windspeed_10m;wind_gusts_10m;precipitation
Brest;48.39;-4.48;17/07/2026;00:00;20.1;6;AVERSES;4;13.0;1.2
Brest;48.39;-4.48;17/07/2026;01:00;19.2;2;NUAGEUX;3;11.5;0
Brest;48.39;-4.48;17/07/2026;02:00;18.7;2;NUAGEUX;4;11.5;0
Brest;48.39;-4.48;17/07/2026;03:00;19.4;2;NUAGEUX;3;15.5;0
Brest;48.39;-4.48;17/07/2026;04:00;19.4;5;SOLEIL VOILÉ;3;20.5;0
Brest;48.39;-4.48;17/07/2026;05:00;19.5;5;SOLEIL VOILÉ;3;10.4;0
Brest;48.39;-4.48;17/07/2026;06:00;20;0;SOLEIL;3;14.8;0
Brest;48.39;-4.48;17/07/2026;07:00;20.6;9;NEIGE;3;15.8;1.2
Brest;48.39;-4.48;17/07/2026;08:00;21.6;9;NEIGE;3;16.6;1.2
Brest;48.39;-4.48;17/07/2026;09:00;23.6;9;NEIGE;3;16.9;1.2
Brest;48.39;-4.48;17/07/2026;10:00;25.1;9;NEIGE;3;15.5;0.4
Brest;48.39;-4.48;17/07/2026;11:00;25.2;9;NEIGE;3;13.3;0.4
Brest;48.39;-4.48;17/07/2026;12:00;26;10;ORAGEUX;3;20.9;0.4
Brest;48.39;-4.48;17/07/2026;13:00;25.2;10;ORAGEUX;4;20.5;0.1
Brest;48.39;-4.48;17/07/2026;14:00;24.9;10;ORAGEUX;4;24.8;0.1
Brest;48.39;-4.48;17/07/2026;15:00;24;10;ORAGEUX;5;31.7;0.1
Brest;48.39;-4.48;17/07/2026;16:00;23.1;10;ORAGEUX;5;43.9;0.8
Brest;48.39;-4.48;17/07/2026;17:00;22.1;10;ORAGEUX;5;31.0;0.8
Brest;48.39;-4.48;17/07/2026;18:00;22;9;NEIGE;4;30.6;0.8
Brest;48.39;-4.48;17/07/2026;19:00;20.6;9;NEIGE;3;47.5;0.5
Brest;48.39;-4.48;17/07/2026;20:00;19.6;9;NEIGE;2;20.9;0.5
Brest;48.39;-4.48;17/07/2026;21:00;19.4;9;NEIGE;3;16.6;0.5
Brest;48.39;-4.48;17/07/2026;22:00;18.1;2;NUAGEUX;3;16.2;0
Brest;48.39;-4.48;17/07/2026;23:00;18.1;2;NUAGEUX;2;18.0;0
Brest;48.39;-4.48;18/07/2026;00:00;19;0;SOLEIL;2;17.3;0
Brest;48.39;-4.48;18/07/2026;01:00;19;0;SOLEIL;2;14.0;0
Brest;48.39;-4.48;18/07/2026;02:00;18;10;ORAGEUX;2;14.8;0
Brest;48.39;-4.48;18/07/2026;03:00;18;10;ORAGEUX;2;13.7;0
Brest;48.39;-4.48;18/07/2026;04:00;18;10;ORAGEUX;2;12.2;0
