Ville;Latitude;Longitude;Date;Heure;temperature_2m;weathercode;Temps_Label;windspeed_10m;wind_gusts_10m;precipitation
Amiens;49.894;2.295;20/07/2026;00:00;13.9;0;SOLEIL;2;21.2;0
Amiens;49.894;2.295;20/07/2026;01:00;13.6;2;NUAGEUX;2;16.9;0
Amiens;49.894;2.295;20/07/2026;02:00;13.6;2;NUAGEUX;2;18.7;0
Amiens;49.894;2.295;20/07/2026;03:00;13.1;0;SOLEIL;2;18.7;0
Amiens;49.894;2.295;20/07/2026;04:00;12.7;0;SOLEIL;2;15.1;0
Amiens;49.894;2.295;20/07/2026;05:00;13.6;2;NUAGEUX;2;15.1;0
Amiens;49.894;2.295;20/07/2026;06:00;15.4;2;NUAGEUX;2;15.8;0
Amiens;49.894;2.295;20/07/2026;07:00;16.7;2;NUAGEUX;3;14.0;0
Amiens;49.894;2.295;20/07/2026;08:00;18.1;2;NUAGEUX;3;17.3;0
Amiens;49.894;2.295;20/07/2026;09:00;18.7;2;NUAGEUX;3;24.8;0
Amiens;49.894;2.295;20/07/2026;10:00;19.9;2;NUAGEUX;4;26.6;0
Amiens;49.894;2.295;20/07/2026;11:00;20.2;2;NUAGEUX;4;26.6;0
Amiens;49.894;2.295;20/07/2026;12:00;20.6;2;NUAGEUX;5;32.0;0
Amiens;49.894;2.295;20/07/2026;13:00;20.9;0;SOLEIL;5;32.8;0
Amiens;49.894;2.295;20/07/2026;14:00;21.4;0;SOLEIL;5;34.9;0
Amiens;49.894;2.295;20/07/2026;15:00;21.6;0;SOLEIL;5;36.7;0
Amiens;49.894;2.295;20/07/2026;16:00;21.5;0;SOLEIL;5;35.3;0
Amiens;49.894;2.295;20/07/2026;17:00;20.9;0;SOLEIL;5;37.1;0
Amiens;49.894;2.295;20/07/2026;18:00;19.9;0;SOLEIL;5;38.5;0
Amiens;49.894;2.295;20/07/2026;19:00;18.6;0;SOLEIL;5;37.8;0
Amiens;49.894;2.295;20/07/2026;20:00;17.4;0;SOLEIL;4;36.7;0
Amiens;49.894;2.295;20/07/2026;21:00;16.6;0;SOLEIL;3;36.0;0
Amiens;49.894;2.295;20/07/2026;22:00;15.7;0;SOLEIL;3;32.4;0
Amiens;49.894;2.295;20/07/2026;23:00;15.1;0;SOLEIL;3;30.2;0
Amiens;49.894;2.295;21/07/2026;00:00;14.6;0;SOLEIL;2;25.9;0
Amiens;49.894;2.295;21/07/2026;01:00;14.6;0;SOLEIL;2;20.5;0
Amiens;49.894;2.295;21/07/2026;02:00;13.5;0;SOLEIL;2;17.3;0
Amiens;49.894;2.295;21/07/2026;03:00;13.5;0;SOLEIL;2;15.5;0
Amiens;49.894;2.295;21/07/2026;04:00;13.5;0;SOLEIL;2;13.7;0
Amiens;49.894;2.295;21/07/2026;05:00;15.1;0;SOLEIL;2;11.2;0
Amiens;49.894;2.295;21/07/2026;06:00;15.1;0;SOLEIL;2;12.6;0
Amiens;49.894;2.295;21/07/2026;07:00;15.1;0;SOLEIL;2;12.6;0
Amiens;49.894;2.295;21/07/2026;08:00;19.2;2;NUAGEUX;3;14.0;0
Amiens;49.894;2.295;21/07/2026;09:00;19.2;2;NUAGEUX;3;21.2;0
Amiens;49.894;2.295;21/07/2026;10:00;19.2;2;NUAGEUX;3;23.4;0
Amiens;49.894;2.295;21/07/2026;11:00;23;2;NUAGEUX;4;25.9;0
Amiens;49.894;2.295;21/07/2026;12:00;23;2;NUAGEUX;4;25.9;0
Amiens;49.894;2.295;21/07/2026;13:00;23;2;NUAGEUX;4;25.9;0
Amiens;49.894;2.295;21/07/2026;14:00;23.1;0;SOLEIL;5;29.9;0
Amiens;49.894;2.295;21/07/2026;15:00;23.1;0;SOLEIL;5;33.1;0
Amiens;49.894;2.295;21/07/2026;16:00;23.1;0;SOLEIL;5;34.2;0
Amiens;49.894;2.295;21/07/2026;17:00;21.1;0;SOLEIL;5;37.4;0
