Ville;Latitude;Longitude;Date;Heure;temperature_2m;weathercode;Temps_Label;windspeed_10m;wind_gusts_10m;precipitation
Angoulême;45.65;0.15;18/07/2026;00:00;21.9;0;SOLEIL;2;14.0;0
Angoulême;45.65;0.15;18/07/2026;01:00;21.5;0;SOLEIL;2;11.2;0
Angoulême;45.65;0.15;18/07/2026;02:00;21.1;0;SOLEIL;2;9.0;0
Angoulême;45.65;0.15;18/07/2026;03:00;20.6;0;SOLEIL;2;8.6;0
Angoulême;45.65;0.15;18/07/2026;04:00;20.4;0;SOLEIL;2;10.1;0
Angoulême;45.65;0.15;18/07/2026;05:00;21;0;SOLEIL;2;9.7;0
Angoulême;45.65;0.15;18/07/2026;06:00;20.9;0;SOLEIL;2;7.6;0
Angoulême;45.65;0.15;18/07/2026;07:00;22.4;0;SOLEIL;2;5.8;0
Angoulême;45.65;0.15;18/07/2026;08:00;24;0;SOLEIL;2;7.6;0
Angoulême;45.65;0.15;18/07/2026;09:00;25.2;0;SOLEIL;2;12.2;0
Angoulême;45.65;0.15;18/07/2026;10:00;26.5;0;SOLEIL;2;13.7;0
Angoulême;45.65;0.15;18/07/2026;11:00;27.6;0;SOLEIL;2;11.5;0
Angoulême;45.65;0.15;18/07/2026;12:00;29.9;0;SOLEIL;2;9.0;0
Angoulême;45.65;0.15;18/07/2026;13:00;31.4;0;SOLEIL;2;9.4;0
Angoulême;45.65;0.15;18/07/2026;14:00;31.1;0;SOLEIL;3;9.4;0
Angoulême;45.65;0.15;18/07/2026;15:00;32.4;0;SOLEIL;3;9.7;0
Angoulême;45.65;0.15;18/07/2026;16:00;31.7;0;SOLEIL;3;9.7;0
Angoulême;45.65;0.15;18/07/2026;17:00;31.1;0;SOLEIL;3;11.2;0
Angoulême;45.65;0.15;18/07/2026;18:00;31.5;0;SOLEIL;5;15.1;0
Angoulême;45.65;0.15;18/07/2026;19:00;28;0;SOLEIL;4;19.4;0
Angoulême;45.65;0.15;18/07/2026;20:00;25.5;0;SOLEIL;4;29.2;0
Angoulême;45.65;0.15;18/07/2026;21:00;24.6;0;SOLEIL;3;29.5;0
Angoulême;45.65;0.15;18/07/2026;22:00;23.7;0;SOLEIL;3;28.1;0
