Ville;Latitude;Longitude;Date;Heure;temperature_2m;weathercode;Temps_Label;windspeed_10m;wind_gusts_10m;precipitation
Bayeux;49.28;-0.7;11/07/2026;00:00;22.4;0;SOLEIL;5;37.1;0
Bayeux;49.28;-0.7;11/07/2026;01:00;22.9;0;SOLEIL;5;36.0;0
Bayeux;49.28;-0.7;11/07/2026;02:00;21.7;0;SOLEIL;5;29.5;0
Bayeux;49.28;-0.7;11/07/2026;03:00;20.7;0;SOLEIL;4;28.1;0
Bayeux;49.28;-0.7;11/07/2026;04:00;20.6;0;SOLEIL;4;21.6;0
Bayeux;49.28;-0.7;11/07/2026;05:00;21.2;0;SOLEIL;4;21.2;0
Bayeux;49.28;-0.7;11/07/2026;06:00;22.6;0;SOLEIL;4;22.0;0
Bayeux;49.28;-0.7;11/07/2026;07:00;25.9;0;SOLEIL;4;19.8;0
Bayeux;49.28;-0.7;11/07/2026;08:00;27.7;0;SOLEIL;4;24.5;0
Bayeux;49.28;-0.7;11/07/2026;09:00;29.6;0;SOLEIL;4;25.9;0
Bayeux;49.28;-0.7;11/07/2026;10:00;32.1;0;SOLEIL;4;28.4;0
Bayeux;49.28;-0.7;11/07/2026;11:00;33.4;0;SOLEIL;4;29.9;0
Bayeux;49.28;-0.7;11/07/2026;12:00;34.6;0;SOLEIL;4;30.6;0
Bayeux;49.28;-0.7;11/07/2026;13:00;35.1;0;SOLEIL;4;32.0;0
Bayeux;49.28;-0.7;11/07/2026;14:00;35.6;0;SOLEIL;4;31.7;0
Bayeux;49.28;-0.7;11/07/2026;15:00;35.6;0;SOLEIL;4;29.5;0
Bayeux;49.28;-0.7;11/07/2026;16:00;35.2;0;SOLEIL;5;33.1;0
Bayeux;49.28;-0.7;11/07/2026;17:00;32.9;0;SOLEIL;5;37.1;0
Bayeux;49.28;-0.7;11/07/2026;18:00;31.6;0;SOLEIL;5;38.5;0
Bayeux;49.28;-0.7;11/07/2026;19:00;31.5;0;SOLEIL;5;39.2;0
Bayeux;49.28;-0.7;11/07/2026;20:00;28.9;0;SOLEIL;5;38.2;0
Bayeux;49.28;-0.7;11/07/2026;21:00;26.5;0;SOLEIL;6;33.8;0
Bayeux;49.28;-0.7;11/07/2026;22:00;24.7;5;SOLEIL VOILÉ;5;30.2;0
Bayeux;49.28;-0.7;11/07/2026;23:00;23.6;0;SOLEIL;5;36.7;0
Bayeux;49.28;-0.7;12/07/2026;00:00;21.6;5;SOLEIL VOILÉ;5;37.1;0
Bayeux;49.28;-0.7;12/07/2026;01:00;21.6;5;SOLEIL VOILÉ;5;37.4;0
Bayeux;49.28;-0.7;12/07/2026;02:00;21.6;0;SOLEIL;4;33.1;0
Bayeux;49.28;-0.7;12/07/2026;03:00;21.6;0;SOLEIL;4;32.4;0
Bayeux;49.28;-0.7;12/07/2026;04:00;21.6;0;SOLEIL;4;23.8;0
Bayeux;49.28;-0.7;12/07/2026;05:00;23.6;0;SOLEIL;4;18.4;0
Bayeux;49.28;-0.7;12/07/2026;06:00;23.6;0;SOLEIL;4;18.7;0
Bayeux;49.28;-0.7;12/07/2026;07:00;23.6;0;SOLEIL;4;17.6;0
Bayeux;49.28;-0.7;12/07/2026;08:00;31.1;5;SOLEIL VOILÉ;4;17.6;0
Bayeux;49.28;-0.7;12/07/2026;09:00;31.1;5;SOLEIL VOILÉ;4;22.0;0
Bayeux;49.28;-0.7;12/07/2026;10:00;31.1;5;SOLEIL VOILÉ;4;24.8;0
Bayeux;49.28;-0.7;12/07/2026;11:00;34.9;0;SOLEIL;5;32.0;0
Bayeux;49.28;-0.7;12/07/2026;12:00;34.9;0;SOLEIL;5;32.4;0
Bayeux;49.28;-0.7;12/07/2026;13:00;34.9;0;SOLEIL;5;35.6;0
Bayeux;49.28;-0.7;12/07/2026;14:00;36.1;0;SOLEIL;5;39.2;0
Bayeux;49.28;-0.7;12/07/2026;15:00;36.1;0;SOLEIL;5;40.0;0
Bayeux;49.28;-0.7;12/07/2026;16:00;36.1;0;SOLEIL;5;40.5;0
Bayeux;49.28;-0.7;12/07/2026;17:00;35.1;0;SOLEIL;4;40.9;0
Bayeux;49.28;-0.7;12/07/2026;18:00;35.1;0;SOLEIL;4;41.4;0
Bayeux;49.28;-0.7;12/07/2026;19:00;35.1;0;SOLEIL;4;40.3;0
Bayeux;49.28;-0.7;12/07/2026;20:00;29.6;0;SOLEIL;5;38.2;0
Bayeux;49.28;-0.7;12/07/2026;21:00;29.6;0;SOLEIL;5;32.8;0
Bayeux;49.28;-0.7;12/07/2026;22:00;29.6;0;SOLEIL;5;32.0;0
Bayeux;49.28;-0.7;12/07/2026;23:00;25.4;0;SOLEIL;6;31.7;0
Bayeux;49.28;-0.7;13/07/2026;00:00;25.4;0;SOLEIL;6;34.2;0
Bayeux;49.28;-0.7;13/07/2026;01:00;25.4;0;SOLEIL;6;39.6;0
Bayeux;49.28;-0.7;13/07/2026;02:00;23.1;0;SOLEIL;5;42.1;0
Bayeux;49.28;-0.7;13/07/2026;03:00;23.1;0;SOLEIL;5;43.2;0
Bayeux;49.28;-0.7;13/07/2026;04:00;23.1;0;SOLEIL;5;43.2;0
Bayeux;49.28;-0.7;13/07/2026;05:00;24.7;5;SOLEIL VOILÉ;5;42.1;0
Bayeux;49.28;-0.7;13/07/2026;06:00;24.7;5;SOLEIL VOILÉ;5;38.9;0
Bayeux;49.28;-0.7;13/07/2026;07:00;24.7;5;SOLEIL VOILÉ;5;34.9;0
Bayeux;49.28;-0.7;13/07/2026;08:00;32;5;SOLEIL VOILÉ;5;37.1;0
Bayeux;49.28;-0.7;13/07/2026;09:00;32;5;SOLEIL VOILÉ;5;37.4;0
Bayeux;49.28;-0.7;13/07/2026;10:00;32;5;SOLEIL VOILÉ;5;36.0;0
Bayeux;49.28;-0.7;13/07/2026;11:00;35.4;5;SOLEIL VOILÉ;5;38.9;0
Bayeux;49.28;-0.7;13/07/2026;12:00;35.4;5;SOLEIL VOILÉ;5;43.2;0
Bayeux;49.28;-0.7;13/07/2026;13:00;35.4;5;SOLEIL VOILÉ;5;45.7;0
Bayeux;49.28;-0.7;13/07/2026;14:00;35.6;5;SOLEIL VOILÉ;5;47.9;0
Bayeux;49.28;-0.7;13/07/2026;15:00;35.6;5;SOLEIL VOILÉ;5;47.9;0
Bayeux;49.28;-0.7;13/07/2026;16:00;35.6;5;SOLEIL VOILÉ;5;45.7;0
Bayeux;49.28;-0.7;13/07/2026;17:00;33.7;5;SOLEIL VOILÉ;4;47.5;0
Bayeux;49.28;-0.7;13/07/2026;18:00;33.7;5;SOLEIL VOILÉ;4;47.5;0
Bayeux;49.28;-0.7;13/07/2026;19:00;33.7;5;SOLEIL VOILÉ;4;43.2;0
Bayeux;49.28;-0.7;13/07/2026;20:00;28.5;5;SOLEIL VOILÉ;5;42.1;0
Bayeux;49.28;-0.7;13/07/2026;21:00;27.0;5;SOLEIL VOILÉ;5;43.6;0
Bayeux;49.28;-0.7;13/07/2026;22:00;25.5;5;SOLEIL VOILÉ;5;46.4;0
Bayeux;49.28;-0.7;13/07/2026;23:00;25;0;SOLEIL;5;47.5;0
Bayeux;49.28;-0.7;14/07/2026;00:00;25;0;SOLEIL;5;46.1;0
Bayeux;49.28;-0.7;14/07/2026;01:00;25;0;SOLEIL;5;43.2;0
Bayeux;49.28;-0.7;14/07/2026;02:00;22.4;0;SOLEIL;5;39.6;0
Bayeux;49.28;-0.7;14/07/2026;03:00;22.4;0;SOLEIL;5;35.6;0
Bayeux;49.28;-0.7;14/07/2026;04:00;22.4;0;SOLEIL;5;30.6;0
Bayeux;49.28;-0.7;14/07/2026;05:00;23.4;0;SOLEIL;3;26.3;0
Bayeux;49.28;-0.7;14/07/2026;06:00;23.4;0;SOLEIL;3;21.6;0
Bayeux;49.28;-0.7;14/07/2026;07:00;23.4;0;SOLEIL;3;16.9;0
Bayeux;49.28;-0.7;14/07/2026;08:00;25.2;0;SOLEIL;5;15.1;0
Bayeux;49.28;-0.7;14/07/2026;09:00;26.6;0;SOLEIL;5;17.6;0
Bayeux;49.28;-0.7;14/07/2026;10:00;28.0;0;SOLEIL;5;23.0;0
Bayeux;49.28;-0.7;14/07/2026;11:00;33.5;0;SOLEIL;3;28.1;0
Bayeux;49.28;-0.7;14/07/2026;12:00;33.5;0;SOLEIL;3;32.0;0
Bayeux;49.28;-0.7;14/07/2026;13:00;33.5;0;SOLEIL;3;35.6;0
Bayeux;49.28;-0.7;14/07/2026;14:00;33.6;0;SOLEIL;5;38.2;0
Bayeux;49.28;-0.7;14/07/2026;15:00;35.0;0;SOLEIL;5;39.2;0
Bayeux;49.28;-0.7;14/07/2026;16:00;33.6;0;SOLEIL;5;39.2;0
Bayeux;49.28;-0.7;14/07/2026;17:00;32;0;SOLEIL;4;38.9;0
Bayeux;49.28;-0.7;14/07/2026;18:00;32;0;SOLEIL;4;38.5;0
Bayeux;49.28;-0.7;14/07/2026;19:00;32;0;SOLEIL;4;37.4;0
Bayeux;49.28;-0.7;14/07/2026;20:00;28.0;0;SOLEIL;5;36.7;0
Bayeux;49.28;-0.7;14/07/2026;21:00;26.6;0;SOLEIL;5;36.4;0
Bayeux;49.28;-0.7;14/07/2026;22:00;25.2;0;SOLEIL;5;36.0;0
Bayeux;49.28;-0.7;14/07/2026;23:00;24.4;0;SOLEIL;3;34.6;0
Bayeux;49.28;-0.7;15/07/2026;00:00;24.4;0;SOLEIL;3;31.7;0
Bayeux;49.28;-0.7;15/07/2026;01:00;24.4;0;SOLEIL;3;27.7;0
Bayeux;49.28;-0.7;15/07/2026;02:00;22.2;2;NUAGEUX;5;24.1;0
Bayeux;49.28;-0.7;15/07/2026;03:00;22.2;2;NUAGEUX;5;20.5;0
Bayeux;49.28;-0.7;15/07/2026;04:00;22.2;2;NUAGEUX;5;17.3;0
Bayeux;49.28;-0.7;15/07/2026;05:00;23.5;0;SOLEIL;3;15.1;0
Bayeux;49.28;-0.7;15/07/2026;06:00;23.5;0;SOLEIL;3;14.0;0
Bayeux;49.28;-0.7;15/07/2026;07:00;23.5;0;SOLEIL;3;14.4;0
Bayeux;49.28;-0.7;15/07/2026;08:00;24.9;2;NUAGEUX;5;16.6;0
Bayeux;49.28;-0.7;15/07/2026;09:00;26.2;2;NUAGEUX;5;22.0;0
Bayeux;49.28;-0.7;15/07/2026;10:00;27.5;2;NUAGEUX;5;29.5;0
Bayeux;49.28;-0.7;15/07/2026;11:00;31.9;2;NUAGEUX;3;34.9;0
Bayeux;49.28;-0.7;15/07/2026;12:00;31.9;2;NUAGEUX;3;36.1;0
Bayeux;49.28;-0.7;15/07/2026;13:00;31.9;2;NUAGEUX;3;36.4;0
Bayeux;49.28;-0.7;15/07/2026;14:00;32.9;2;NUAGEUX;5;36.8;0
Bayeux;49.28;-0.7;15/07/2026;15:00;34.2;2;NUAGEUX;5;34.9;0
Bayeux;49.28;-0.7;15/07/2026;16:00;32.9;2;NUAGEUX;5;31.3;0
Bayeux;49.28;-0.7;15/07/2026;17:00;31.1;6;AVERSES;4;29.2;0
Bayeux;49.28;-0.7;15/07/2026;18:00;31.1;6;AVERSES;4;30.6;0
Bayeux;49.28;-0.7;15/07/2026;19:00;31.1;6;AVERSES;4;33.5;0
Bayeux;49.28;-0.7;15/07/2026;20:00;27.5;2;NUAGEUX;5;33.5;0
Bayeux;49.28;-0.7;15/07/2026;21:00;26.2;2;NUAGEUX;5;27.0;0
Bayeux;49.28;-0.7;15/07/2026;22:00;24.9;2;NUAGEUX;5;17.6;0
Bayeux;49.28;-0.7;15/07/2026;23:00;23.9;2;NUAGEUX;4;10.4;0
Caen;49.18;-0.37;11/07/2026;00:00;20.9;0;SOLEIL;4;31.0;0
Caen;49.18;-0.37;11/07/2026;01:00;20.6;0;SOLEIL;4;29.2;0
Caen;49.18;-0.37;11/07/2026;02:00;20.1;0;SOLEIL;3;26.6;0
Caen;49.18;-0.37;11/07/2026;03:00;19.7;0;SOLEIL;3;20.9;0
Caen;49.18;-0.37;11/07/2026;04:00;19.6;0;SOLEIL;3;17.3;0
