Ville;Latitude;Longitude;Date;Heure;temperature_2m;weathercode;Temps_Label;windspeed_10m;wind_gusts_10m;precipitation
Foix;42.96;1.6;16/07/2026;00:00;27.4;0;SOLEIL;3;18.7;0
Foix;42.96;1.6;16/07/2026;01:00;26;0;SOLEIL;2;19.8;0
Foix;42.96;1.6;16/07/2026;02:00;25.5;0;SOLEIL;2;18.7;0
Foix;42.96;1.6;16/07/2026;03:00;24.2;0;SOLEIL;2;15.1;0
Foix;42.96;1.6;16/07/2026;04:00;23.6;0;SOLEIL;2;13.0;0
Foix;42.96;1.6;16/07/2026;05:00;22.7;5;SOLEIL VOILÉ;2;13.7;0
Foix;42.96;1.6;16/07/2026;06:00;23.7;5;SOLEIL VOILÉ;2;11.9;0
Foix;42.96;1.6;16/07/2026;07:00;24.7;5;SOLEIL VOILÉ;2;10.4;0
Foix;42.96;1.6;16/07/2026;08:00;25.6;2;NUAGEUX;1;14.8;0
Foix;42.96;1.6;16/07/2026;09:00;26.6;2;NUAGEUX;2;31.3;0
Foix;42.96;1.6;16/07/2026;10:00;26.4;2;NUAGEUX;3;30.6;0
Foix;42.96;1.6;16/07/2026;11:00;27.7;2;NUAGEUX;4;11.5;0
Foix;42.96;1.6;16/07/2026;12:00;31.1;5;SOLEIL VOILÉ;6;11.9;0
Foix;42.96;1.6;16/07/2026;13:00;32.4;5;SOLEIL VOILÉ;5;11.5;0
Foix;42.96;1.6;16/07/2026;14:00;32.6;5;SOLEIL VOILÉ;6;15.5;0
Foix;42.96;1.6;16/07/2026;15:00;32.7;0;SOLEIL;6;16.2;0
Foix;42.96;1.6;16/07/2026;16:00;32.6;0;SOLEIL;4;15.1;0
Foix;42.96;1.6;16/07/2026;17:00;32.6;0;SOLEIL;4;16.6;0
Foix;42.96;1.6;16/07/2026;18:00;31.6;10;ORAGEUX;5;18.4;0
Foix;42.96;1.6;16/07/2026;19:00;29.5;10;ORAGEUX;5;16.9;0
Foix;42.96;1.6;16/07/2026;20:00;27.7;10;ORAGEUX;4;15.8;0
Foix;42.96;1.6;16/07/2026;21:00;26.9;10;ORAGEUX;4;24.5;0
Foix;42.96;1.6;16/07/2026;22:00;25.1;10;ORAGEUX;4;27.4;0
Foix;42.96;1.6;16/07/2026;23:00;24.6;10;ORAGEUX;4;27.0;0
Foix;42.96;1.6;17/07/2026;00:00;23;10;ORAGEUX;4;30.6;0
Foix;42.96;1.6;17/07/2026;01:00;23;10;ORAGEUX;4;31.0;0
Foix;42.96;1.6;17/07/2026;02:00;20.9;0;SOLEIL;3;30.2;0
Foix;42.96;1.6;17/07/2026;03:00;20.9;0;SOLEIL;3;31.3;0
Foix;42.96;1.6;17/07/2026;04:00;20.9;0;SOLEIL;3;28.8;0
Foix;42.96;1.6;17/07/2026;05:00;22;2;NUAGEUX;3;23.0;0
Foix;42.96;1.6;17/07/2026;06:00;22;2;NUAGEUX;3;22.0;0
Foix;42.96;1.6;17/07/2026;07:00;22;2;NUAGEUX;3;21.6;0
Foix;42.96;1.6;17/07/2026;08:00;23.7;2;NUAGEUX;3;20.2;0
Foix;42.96;1.6;17/07/2026;09:00;23.7;2;NUAGEUX;3;20.9;0
Foix;42.96;1.6;17/07/2026;10:00;23.7;2;NUAGEUX;3;20.2;0
Foix;42.96;1.6;17/07/2026;11:00;26.4;2;NUAGEUX;3;20.5;0
Foix;42.96;1.6;17/07/2026;12:00;26.4;2;NUAGEUX;3;23.8;0
Foix;42.96;1.6;17/07/2026;13:00;26.4;2;NUAGEUX;3;28.1;0
Foix;42.96;1.6;17/07/2026;14:00;28.5;0;SOLEIL;4;27.7;0
Foix;42.96;1.6;17/07/2026;15:00;28.5;0;SOLEIL;4;27.4;0
Foix;42.96;1.6;17/07/2026;16:00;28.5;0;SOLEIL;4;28.4;0
Foix;42.96;1.6;17/07/2026;17:00;28.5;0;SOLEIL;4;30.6;0
Foix;42.96;1.6;17/07/2026;18:00;28.5;0;SOLEIL;4;27.4;0
Foix;42.96;1.6;17/07/2026;19:00;28.5;0;SOLEIL;4;27.9;0
Foix;42.96;1.6;17/07/2026;20:00;25.5;0;SOLEIL;3;29.3;0
Foix;42.96;1.6;17/07/2026;21:00;25.5;0;SOLEIL;3;21.2;0
Foix;42.96;1.6;17/07/2026;22:00;25.5;0;SOLEIL;3;14.4;0
Foix;42.96;1.6;17/07/2026;23:00;23.5;0;SOLEIL;3;9.7;0
Foix;42.96;1.6;18/07/2026;00:00;23.5;0;SOLEIL;3;13.7;0
Foix;42.96;1.6;18/07/2026;01:00;23.5;0;SOLEIL;3;14.8;0
Foix;42.96;1.6;18/07/2026;02:00;21;0;SOLEIL;2;14.0;0
Foix;42.96;1.6;18/07/2026;03:00;21;0;SOLEIL;2;13.3;0
Foix;42.96;1.6;18/07/2026;04:00;21;0;SOLEIL;2;12.2;0
Foix;42.96;1.6;18/07/2026;05:00;21.5;0;SOLEIL;3;12.2;0
Foix;42.96;1.6;18/07/2026;06:00;21.5;0;SOLEIL;3;12.2;0
Foix;42.96;1.6;18/07/2026;07:00;21.5;0;SOLEIL;3;12.6;0
Foix;42.96;1.6;18/07/2026;08:00;25;0;SOLEIL;2;13.0;0
Foix;42.96;1.6;18/07/2026;09:00;25;0;SOLEIL;2;15.8;0
Foix;42.96;1.6;18/07/2026;10:00;25;0;SOLEIL;2;17.3;0
Foix;42.96;1.6;18/07/2026;11:00;28;0;SOLEIL;3;18.0;0
Foix;42.96;1.6;18/07/2026;12:00;28;0;SOLEIL;3;17.6;0
Foix;42.96;1.6;18/07/2026;13:00;28;0;SOLEIL;3;18.4;0
Foix;42.96;1.6;18/07/2026;14:00;30.5;0;SOLEIL;3;19.4;0
Foix;42.96;1.6;18/07/2026;15:00;30.5;0;SOLEIL;3;20.5;0
Foix;42.96;1.6;18/07/2026;16:00;30.5;0;SOLEIL;3;20.9;0
Foix;42.96;1.6;18/07/2026;17:00;29.9;0;SOLEIL;3;20.9;0
Foix;42.96;1.6;18/07/2026;18:00;29.9;0;SOLEIL;3;21.6;0
Foix;42.96;1.6;18/07/2026;19:00;29.9;0;SOLEIL;3;21.2;0
Foix;42.96;1.6;18/07/2026;20:00;25.1;0;SOLEIL;5;19.4;0
Foix;42.96;1.6;18/07/2026;21:00;23.8;0;SOLEIL;5;16.2;0
Foix;42.96;1.6;18/07/2026;22:00;22.5;0;SOLEIL;5;12.2;0
Foix;42.96;1.6;18/07/2026;23:00;24.5;0;SOLEIL;2;9.0;0
Foix;42.96;1.6;19/07/2026;00:00;24.5;0;SOLEIL;2;7.9;0
Foix;42.96;1.6;19/07/2026;01:00;24.5;0;SOLEIL;2;7.9;0
Foix;42.96;1.6;19/07/2026;02:00;21.1;0;SOLEIL;5;7.6;0
Foix;42.96;1.6;19/07/2026;03:00;21.1;0;SOLEIL;5;6.5;0
Foix;42.96;1.6;19/07/2026;04:00;21.1;0;SOLEIL;5;5.0;0
