Ville;Latitude;Longitude;Date;Heure;temperature_2m;weathercode;Temps_Label;windspeed_10m;wind_gusts_10m;precipitation
Barcelonnette;44.38;6.65;22/07/2026;00:00;27.6;0;SOLEIL;4;34.9;0
Barcelonnette;44.38;6.65;22/07/2026;01:00;26.5;0;SOLEIL;4;35.6;0
Barcelonnette;44.38;6.65;22/07/2026;02:00;24.9;0;SOLEIL;4;33.5;0
Barcelonnette;44.38;6.65;22/07/2026;03:00;24.5;0;SOLEIL;4;32.0;0
Barcelonnette;44.38;6.65;22/07/2026;04:00;23.6;0;SOLEIL;3;26.6;0
Barcelonnette;44.38;6.65;22/07/2026;05:00;23;0;SOLEIL;3;25.6;0
Barcelonnette;44.38;6.65;22/07/2026;06:00;23.2;0;SOLEIL;3;24.5;0
Barcelonnette;44.38;6.65;22/07/2026;07:00;25;0;SOLEIL;3;22.3;0
Barcelonnette;44.38;6.65;22/07/2026;08:00;26.6;0;SOLEIL;3;21.2;0
Barcelonnette;44.38;6.65;22/07/2026;09:00;27.9;0;SOLEIL;4;20.9;0
Barcelonnette;44.38;6.65;22/07/2026;10:00;29.6;0;SOLEIL;4;19.1;0
Barcelonnette;44.38;6.65;22/07/2026;11:00;30.2;0;SOLEIL;4;26.3;0
Barcelonnette;44.38;6.65;22/07/2026;12:00;30.6;0;SOLEIL;5;28.1;0
Barcelonnette;44.38;6.65;22/07/2026;13:00;31.9;0;SOLEIL;6;28.4;0
Barcelonnette;44.38;6.65;22/07/2026;14:00;32.1;0;SOLEIL;6;30.6;0
Barcelonnette;44.38;6.65;22/07/2026;15:00;32.1;0;SOLEIL;6;34.9;0
Barcelonnette;44.38;6.65;22/07/2026;16:00;32.2;0;SOLEIL;6;42.1;0
Barcelonnette;44.38;6.65;22/07/2026;17:00;33.2;0;SOLEIL;6;42.8;0
Barcelonnette;44.38;6.65;22/07/2026;18:00;32.1;0;SOLEIL;6;42.8;0
Barcelonnette;44.38;6.65;22/07/2026;19:00;29.9;0;SOLEIL;6;43.6;0
Barcelonnette;44.38;6.65;22/07/2026;20:00;28.6;0;SOLEIL;5;39.2;0
Barcelonnette;44.38;6.65;22/07/2026;21:00;28.4;0;SOLEIL;4;45.7;0
Barcelonnette;44.38;6.65;22/07/2026;22:00;28.4;0;SOLEIL;3;43.2;0
Barcelonnette;44.38;6.65;22/07/2026;23:00;27.9;0;SOLEIL;3;36.7;0
