Ville;Latitude;Longitude;Date;Heure;temperature_2m;weathercode;Temps_Label;windspeed_10m;wind_gusts_10m;precipitation
Blain;47.47;-1.76;20/07/2026;00:00;18.1;0;SOLEIL;5;43.6;0
Blain;47.47;-1.76;20/07/2026;01:00;17.6;0;SOLEIL;5;40.0;0
Blain;47.47;-1.76;20/07/2026;02:00;16.9;0;SOLEIL;4;34.9;0
Blain;47.47;-1.76;20/07/2026;03:00;16.2;0;SOLEIL;4;34.9;0
Blain;47.47;-1.76;20/07/2026;04:00;15.6;0;SOLEIL;4;33.1;0
Blain;47.47;-1.76;20/07/2026;05:00;15.5;0;SOLEIL;4;34.6;0
Blain;47.47;-1.76;20/07/2026;06:00;16.9;0;SOLEIL;5;33.5;0
Blain;47.47;-1.76;20/07/2026;07:00;18.7;0;SOLEIL;5;30.6;0
Blain;47.47;-1.76;20/07/2026;08:00;19.7;0;SOLEIL;5;31.3;0
Blain;47.47;-1.76;20/07/2026;09:00;21.5;0;SOLEIL;6;32.4;0
Blain;47.47;-1.76;20/07/2026;10:00;23;0;SOLEIL;6;33.8;0
Blain;47.47;-1.76;20/07/2026;11:00;24.5;0;SOLEIL;6;38.5;0
Blain;47.47;-1.76;20/07/2026;12:00;25;0;SOLEIL;6;41.8;0
Blain;47.47;-1.76;20/07/2026;13:00;26.2;0;SOLEIL;6;42.5;0
Blain;47.47;-1.76;20/07/2026;14:00;26.5;0;SOLEIL;6;42.5;0
Blain;47.47;-1.76;20/07/2026;15:00;27.5;0;SOLEIL;6;41.8;0
Blain;47.47;-1.76;20/07/2026;16:00;27.4;0;SOLEIL;6;41.0;0
Blain;47.47;-1.76;20/07/2026;17:00;27.4;0;SOLEIL;6;41.4;0
Blain;47.47;-1.76;20/07/2026;18:00;26.6;0;SOLEIL;6;41.4;0
Blain;47.47;-1.76;20/07/2026;19:00;25.2;0;SOLEIL;6;40.7;0
Blain;47.47;-1.76;20/07/2026;20:00;24;0;SOLEIL;5;40.0;0
Blain;47.47;-1.76;20/07/2026;21:00;22.2;0;SOLEIL;6;39.2;0
Blain;47.47;-1.76;20/07/2026;22:00;21.1;0;SOLEIL;5;37.3;0
Blain;47.47;-1.76;20/07/2026;23:00;20.1;0;SOLEIL;5;33.7;0
Blain;47.47;-1.76;21/07/2026;00:00;18.5;0;SOLEIL;5;24.8;0
Blain;47.47;-1.76;21/07/2026;01:00;18.5;0;SOLEIL;5;31.0;0
Blain;47.47;-1.76;21/07/2026;02:00;16.9;0;SOLEIL;5;30.6;0
Blain;47.47;-1.76;21/07/2026;03:00;16.9;0;SOLEIL;5;29.2;0
Blain;47.47;-1.76;21/07/2026;04:00;16.9;0;SOLEIL;5;29.5;0
Blain;47.47;-1.76;21/07/2026;05:00;16.9;0;SOLEIL;5;28.8;0
Blain;47.47;-1.76;21/07/2026;06:00;16.9;0;SOLEIL;5;27.0;0
Blain;47.47;-1.76;21/07/2026;07:00;16.9;0;SOLEIL;5;26.6;0
Blain;47.47;-1.76;21/07/2026;08:00;21.6;0;SOLEIL;6;27.7;0
Blain;47.47;-1.76;21/07/2026;09:00;21.6;0;SOLEIL;6;29.5;0
Blain;47.47;-1.76;21/07/2026;10:00;21.6;0;SOLEIL;6;31.0;0
Blain;47.47;-1.76;21/07/2026;11:00;26.1;0;SOLEIL;6;34.2;0
Blain;47.47;-1.76;21/07/2026;12:00;26.1;0;SOLEIL;6;35.6;0
Blain;47.47;-1.76;21/07/2026;13:00;26.1;0;SOLEIL;6;35.3;0
Blain;47.47;-1.76;21/07/2026;14:00;29.1;0;SOLEIL;6;36.7;0
Blain;47.47;-1.76;21/07/2026;15:00;29.1;0;SOLEIL;6;37.4;0
Blain;47.47;-1.76;21/07/2026;16:00;29.1;0;SOLEIL;6;37.8;0
Blain;47.47;-1.76;21/07/2026;17:00;27.5;0;SOLEIL;6;37.8;0
Blain;47.47;-1.76;21/07/2026;18:00;27.5;0;SOLEIL;6;40.0;0
Blain;47.47;-1.76;21/07/2026;19:00;27.5;0;SOLEIL;6;40.0;0
Blain;47.47;-1.76;21/07/2026;20:00;22.9;0;SOLEIL;5;38.9;0
Blain;47.47;-1.76;21/07/2026;21:00;22.9;0;SOLEIL;5;38.9;0
Blain;47.47;-1.76;21/07/2026;22:00;22.9;0;SOLEIL;5;37.8;0
Blain;47.47;-1.76;21/07/2026;23:00;19.2;0;SOLEIL;5;32.4;0
Blain;47.47;-1.76;22/07/2026;00:00;19.2;0;SOLEIL;5;25.9;0
Blain;47.47;-1.76;22/07/2026;01:00;19.2;0;SOLEIL;5;25.9;0
Blain;47.47;-1.76;22/07/2026;02:00;16.7;0;SOLEIL;4;26.6;0
Blain;47.47;-1.76;22/07/2026;03:00;16.7;0;SOLEIL;4;28.8;0
Blain;47.47;-1.76;22/07/2026;04:00;16.7;0;SOLEIL;4;29.5;0
Blain;47.47;-1.76;22/07/2026;05:00;17.6;0;SOLEIL;4;33.1;0
Blain;47.47;-1.76;22/07/2026;06:00;17.6;0;SOLEIL;4;32.8;0
